阿爸,a'ba
阿弟,a'di
阿哥,a'ge
阿姐,a'jie
阿妹,a'mei
阿咪,a'mi
阿奶,a'nai
半吊子,ban'diao'zi
鼻头,bi'tou
表拨我背的,biao'bo'wo'bei'de
蹩脚,bie'jiao
别苗头,bie'miao'tou
冰冰婴,bing'bing'ying
伯伯,bo'bo
拨我省省拉倒,bo'wo'sheng'sheng'la'dao
不乖,bu'guai
菜馒头,cai'man'tou
菜蔬,cai'shu
辰光,chen'guang
城隍山,cheng'huang'shan
城隍山上看火烧,cheng'huang'shan'shang'kan'huo'shao
赤膊,chi'bo
吃不落,chi'bu'luo
吃茶,chi'cha
吃盾白儿,chi'dun'bai'er
吃隔夜螺蛳,chi'ge'ye'luo'si
吃酒,chi'jiu
吃空心汤糊,chi'kong'xin'tang'hu
吃力,chi'li
吃相,chi'xiang
吃烟,chi'yan
抽斗,chou'dou
厨房师父,chu'fang'shi'fu
窗门,chuang'men
打呃得,da'e'de
大脚膀,da'jiao'bang
大姆妈,da'mu'ma
大青娘,da'qing'niang
打一记,da'yi'ji
大浴,da'yu
爹爹,die'die
跌了得来,die'le'de'lai
钉头碰铁头,ding'tou'peng'tie'tou
肚皮层,du'pi'ceng
毒头,du'tou
额角头,e'jiao'tou
发寒热,fa'han're
发靥,fa'ye
番茄,fan'qie
扶梯,fu'ti
朒猪,ga'zhu
搞七廿三,gao'qi'nian'san
高头,gao'tou
葛毛,ge'mao
桂花师傅,gui'hua'shi'fu
好好交,hao'hao'jiao
好看,hao'kan
红萝卜杖着蜡烛帐高头,hong'luo'bo'zhang'zhe'la'zhu'zhang'gao'tou
喉咙,hou'long
糊达达,hu'da'da
胡蜂,hu'feng
糊里达喇,hu'li'da'la
花头筋,hua'tou'jin
黄豆,huang'dou
回汤豆腐干,hui'tang'dou'fu'gan
活埲不起遭,huo'bang'bu'qi'zao
豁闪,huo'shan
活狲,huo'sun
记牢,ji'lao
嫁老公,jia'lao'gong
脚踝头,jiao'huai'tou
接口令,jie'kou'ling
尽该,jin'gai
舅姆,jiu'mu
旧年子,jiu'nian'zi
看毛病,kan'mao'bing
看医生,kan'yi'sheng
空老老,kong'lao'lao
滥滥湿,lan'lan'shi
郎中,lang'zhong
老倌,lao'guan
老酒,lao'jiu
老头儿,lao'tou'er
捞痒,lao'yang
勒格,le'ge
两毛,liang'mao
拎起来,lin'qi'lai
六谷,liu'gu
弄堂,long'tang
落雪,luo'xue
落雨,luo'yu
麻巧儿,ma'qiao'er
蚂蚁扛鲞头,ma'yi'kang'xiang'tou
马子,ma'zi
蛮蛮,man'man
慢慢交,man'man'jiao
茅坑,mao'keng
门分账,men'fen'zhang
面孔,mian'kong
墨墨黑,mo'mo'hei
目困觉,mu'kun'jiao
木榔豆腐,mu'lang'dou'fu
木佬佬,mu'lao'lao
姆妈,mu'ma
奶奶,nai'nai
难看,nan'kan
男人家,nan'ren'jia
难为情,nan'wei'qing
男伢儿,nan'ya'er
闹架儿,nao'jia'er
娘舅,niang'jiu
女人家,nv'ren'jia
女伢儿,nv'ya'er
毆头逼,ou'tou'bi
碰鼻头,peng'bi'tou
碰头磕脑,peng'tou'ke'nao
婆鸡,po'ji
起搁头,qi'ge'tou
起泡,qi'pao
牵煞煞,qian'sha'sha
牵头皮,qian'tou'pi
跷拐儿,qiao'guai'er
敲瓦片儿,qiao'wa'pian'er
敲竹杠,qiao'zhu'gang
曲蟮,qu'shan
人洋舞蹈,ren'yang'wu'dao
日里,ri'li
日中,ri'zhong
肉馒头,rou'man'tou
三不知头,san'bu'zhi'tou
啥地方,sha'di'fang
沙核桃儿,sha'he'tao'er
啥花头,sha'hua'tou
啥时光,sha'shi'guang
杀瘟猪,sha'wen'zhu
山高头,shan'gao'tou
上毛,shang'mao
上毛子,shang'mao'zi
上轧头,shang'ya'tou
烧饭师父,shao'fan'shi'fu
烧酒,shao'jiu
婶娘,shen'niang
生病得来,sheng'bing'de'lai
时光,shi'guang
手膀,shou'bang
寿头,shou'tou
耍子,shua'zi
讨老婆,tao'lao'po
特为,te'wei
藤头,teng'tou
天井,tian'jing
头大心慌,tou'da'xin'huang
头颈,tou'jing
头毛,tou'mao
土奉,tu'feng
推板,tui'ban
挖脚底板,wa'jiao'di'ban
歪了头由自己说,wai'le'tou'you'zi'ji'shuo
晚快边儿,wan'kuai'bian'er
晚上头,wan'shang'tou
汪颡,wang'sang
为好跌一跤,wei'hao'die'yi'jiao
瘟孙,wen'sun
温吞水,wen'tun'shui
戏文,xi'wen
洗浴,xi'yu
下底,xia'di
小伯伯,xiao'bo'bo
晓得,xiao'de
小伢儿,xiao'ya'er
歇力,xie'li
雄鸡,xiong'ji
雪烊得来,xue'yang'de'lai
寻事儿,xun'shi'er
寻着得来,xun'zhe'de'lai
眼乌珠,yan'wu'zhu
晏歇会,yan'xie'hui
洋番薯,yang'fan'shu
夜里头,ye'li'tou
一部车,yi'bu'che
一床被,yi'chuang'bei
一道,yi'dao
一滴滴,yi'di'di
一桄鱼,yi'guang'yu
一毛,yi'mao
一息息,yi'xi'xi
用场,yong'chang
有数,you'shu
早半日,zao'ban'ri
枣儿瓜,zao'er'gua
造话,zao'hua
造廿万千,zao'nian'wan'qian
早上,zao'shang
贼骨头,zei'gu'tou
粘牢,zhan'lao
丈姆娘,zhang'mu'niang
丈人,zhang'ren
自说山话,zi'shuo'shan'hua
做啥,zuo'sha
做事体,zuo'shi'ti
