安全费用,an'quan'fei'yong
保安煤柱,bao'an'mei'zhu
本安手机,ben'an'shou'ji
不易自燃,bu'yi'zi'ran
采掘工程平面图,cai'jue'gong'cheng'ping'mian'tu
采掘计划,cai'jue'ji'hua
采掘衔接,cai'jue'xian'jie
采空区,cai'kong'qu
材料副斜井,cai'liao'fu'xie'jing
超温自动洒水保护,chao'wen'zi'dong'sa'shui'bao'hu
带式输送机,dai'shi'shu'song'ji
等候室,deng'hou'shi
等积孔,deng'ji'kong
低瓦斯矿井,di'wa'si'kuang'jing
电缆,dian'lan
东光村,dong'guang'cun
东湾铁路,dong'wan'tie'lu
读卡器,du'ka'qi
堆煤保护,dui'mei'bao'hu
二氧化碳绝对涌出量,er'yang'hua'tan'jue'dui'yong'chu'liang
二氧化碳相对涌出量,er'yang'hua'tan'xiang'dui'yong'chu'liang
防爆型柴油动力单轨吊机车,fang'bao'xing'chai'you'dong'li'dan'gui'diao'ji'che
防滑保护,fang'hua'bao'hu
防灭火系统,fang'mie'huo'xi'tong
防跑偏保护,fang'pao'pian'bao'hu
防撕裂保护,fang'si'lie'bao'hu
副水仓,fu'shui'cang
副斜井,fu'xie'jing
钢芯铝铰架空线,gang'xin'lv'jiao'jia'kong'xian
隔爆兼本安型考勤定位分站,ge'bao'jian'ben'an'xing'kao'qin'ding'wei'fen'zhan
工作面,gong'zuo'mian
故障闭锁,gu'zhang'bi'suo
管子道,guan'zi'dao
黄甲坡,huang'jia'po
回采煤量,hui'cai'mei'liang
回风方向,hui'feng'fang'xiang
回风下山,hui'feng'xia'shan
回风巷,hui'feng'xiang
回风斜井,hui'feng'xie'jing
机电设备硐室,ji'dian'she'bei'dong'shi
冀中能源股份有限公司,ji'zhong'neng'yuan'gu'fen'you'xian'gong'si
甲烷断电,jia'wan'duan'dian
甲烷风电闭锁,jia'wan'feng'dian'bi'suo
兼并重组整合项目,jian'bing'chong'zu'zheng'he'xiang'mu
检修硐室,jian'xiu'dong'shi
接替表,jie'ti'biao
晋中市煤炭工业局,jin'zhong'shi'mei'tan'gong'ye'ju
井下广播系统,jing'xia'guang'bo'xi'tong
静压水池,jing'ya'shui'chi
绝对瓦斯涌出量,jue'dui'wa'si'yong'chu'liang
掘进进尺,jue'jin'jin'chi
开拓煤量,kai'tuo'mei'liang
矿用安全生产监控系统,kuang'yong'an'quan'sheng'chan'jian'kong'xi'tong
矿用隔爆兼本质安全型音箱,kuang'yong'ge'bao'jian'ben'zhi'an'quan'xing'yin'xiang
矿用阻燃电缆,kuang'yong'zu'ran'dian'lan
礼花厂,li'hua'chang
两进一回,liang'jin'yi'hui
临时避难硐室,lin'shi'bi'nan'dong'shi
煤层,mei'ceng
煤巷道,mei'hang'dao
煤矿无线通信系统,mei'kuang'wu'xian'tong'xin'xi'tong
母线段,mu'xian'duan
南沟,nan'gou
年黄海系统,nian'huang'hai'xi'tong
配风,pei'feng
平安煤业有限公司,ping'an'mei'ye'you'xian'gong'si
平舒井田,ping'shu'jing'tian
切眼,qie'yan
全部跨落法,quan'bu'kua'luo'fa
全路况卡轨车,quan'lu'kuang'ka'gui'che
任家垴,ren'jia'nao
人员定位系统,ren'yuan'ding'wei'xi'tong
人员识别卡,ren'yuan'shi'bie'ka
三个煤量,san'ge'mei'liang
三量平衡,san'liang'ping'heng
砂质泥岩,sha'zhi'ni'yan
上组煤轨道上山,shang'zu'mei'gui'dao'shang'shan
上组煤轨道巷,shang'zu'mei'gui'dao'xiang
上组煤回风上山,shang'zu'mei'hui'feng'shang'shan
上组煤运输上山,shang'zu'mei'yun'shu'shang'shan
数据传输接口,shu'ju'chuan'shu'jie'kou
数字程控交换机,shu'zi'cheng'kong'jiao'huan'ji
瓦斯等级鉴定,wa'si'deng'ji'jian'ding
外露,wai'lu
万吨年,wan'dun'nian
无线基站,wu'xian'ji'zhan
西安坐标系,xi'an'zuo'biao'xi
西轨道巷,xi'gui'dao'xiang
西回风巷,xi'hui'feng'xiang
西索马,xi'suo'ma
西运输巷,xi'yun'shu'xiang
下煤层,xia'mei'ceng
下煤巷道,xia'mei'hang'dao
先探后掘,xian'tan'hou'jue
相对瓦斯涌出量,xiang'dui'wa'si'yong'chu'liang
祥升煤业有限公司,xiang'sheng'mei'ye'you'xian'gong'si
消防材料库,xiao'fang'cai'liao'ku
型带式输送机,xing'dai'shi'shu'song'ji
型带式输送机保护,xing'dai'shi'shu'song'ji'bao'hu
型电动机,xing'dian'dong'ji
型钢丝绳芯胶带,xing'gang'si'sheng'xin'jiao'dai
型供水施救装置,xing'gong'shui'shi'jiu'zhuang'zhi
型架空乘人装置,xing'jia'kong'cheng'ren'zhuang'zhi
型矿用多级离心泵,xing'kuang'yong'duo'ji'li'xin'beng
型矿用隔爆型高压开关,xing'kuang'yong'ge'bao'xing'gao'ya'kai'guan
型煤矿乘人架空装置,xing'mei'kuang'cheng'ren'jia'kong'zhuang'zhi
型煤矿用单绳缠绕式提升机,xing'mei'kuang'yong'dan'sheng'chan'rao'shi'ti'sheng'ji
型软起动装置,xing'ruan'qi'dong'zhuang'zhi
型支架,xing'zhi'jia
烟雾保护,yan'wu'bao'hu
一采泵房,yi'cai'beng'fang
一采变电所,yi'cai'bian'dian'suo
一采辅助运输上山,yi'cai'fu'zhu'yun'shu'shang'shan
一采辅助运输下山,yi'cai'fu'zhu'yun'shu'xia'shan
一采轨道下山,yi'cai'gui'dao'xia'shan
一采回风下山,yi'cai'hui'feng'xia'shan
一采配电所,yi'cai'pei'dian'suo
一采运输下山,yi'cai'yun'shu'xia'shan
一采总回风道,yi'cai'zong'hui'feng'dao
一次采全高,yi'ci'cai'quan'gao
永久避难硐室,yong'jiu'bi'nan'dong'shi
有掘必探,you'jue'bi'tan
盂榆公路,yu'yu'gong'lu
运输下山,yun'shu'xia'shan
运输巷,yun'shu'xiang
涨紧力下降保护,zhang'jin'li'xia'jiang'bao'hu
正常涌水量,zheng'chang'yong'shui'liang
重大危险源,zhong'da'wei'xian'yuan
中粒砂岩,zhong'li'sha'yan
中央并列式,zhong'yang'bing'lie'shi
中央配电室,zhong'yang'pei'dian'shi
轴流通风机,zhou'liu'tong'feng'ji
主皮带斜井,zhu'pi'dai'xie'jing
主水仓,zhu'shui'cang
主斜井,zhu'xie'jing
准备煤量,zhun'bei'mei'liang
宗艾镇,zong'ai'zhen
综合机械化采煤法,zong'he'ji'xie'hua'cai'mei'fa
最大涌水量,zui'da'yong'shui'liang
