安监局,an'jian'ju
安全防护措施,an'quan'fang'hu'cuo'shi
安全管理转型,an'quan'guan'li'zhuan'xing
安全监察局,an'quan'jian'cha'ju
保护层,bao'hu'ceng
被保护层,bei'bao'hu'ceng
避难硐室,bi'nan'dong'shi
采场规划,cai'chang'gui'hua
充分发挥,chong'fen'fa'hui
充分发挥经济效益,chong'fen'fa'hui'jing'ji'xiao'yi
充分发挥生产能力,chong'fen'fa'hui'sheng'chan'neng'li
抽采量,chou'cai'liang
抽采率,chou'cai'lv
穿层钻,chuan'ceng'zuan
底抽巷,di'chou'xiang
顶底板巷,ding'di'ban'xiang
丁集,ding'ji
丁集矿,ding'ji'kuang
董事会防突七项决定,dong'shi'hui'fang'tu'qi'xiang'jue'ding
反向风门,fan'xiang'feng'men
防尘口罩,fang'chen'kou'zhao
放炮员,fang'pao'yuan
防突,fang'tu
防突措施,fang'tu'cuo'shi
防突督导,fang'tu'du'dao
风巷,feng'xiang
高标准,gao'biao'zhun
高抽巷,gao'chou'xiang
高值瓦斯超限,gao'zhi'wa'si'chao'xian
工作面,gong'zuo'mian
顾北,gu'bei
顾北矿,gu'bei'kuang
顾桥,gu'qiao
顾桥矿,gu'qiao'kuang
管理要创新,guan'li'yao'chuang'xin
猴车,hou'che
淮沪煤电公司,huai'hu'mei'dian'gong'si
淮南矿业集团,huai'nan'kuang'ye'ji'tuan
淮浙煤电公司,huai'zhe'mei'dian'gong'si
技术要算账,ji'shu'yao'suan'zhang
监测监控,jian'ce'jian'kong
绞车,jiao'che
解除劳动合同,jie'chu'lao'dong'he'tong
揭煤,jie'mei
经济效益,jing'ji'xiao'yi
经理层防突十七项工作安排意见,jing'li'ceng'fang'tu'shi'qi'xiang'gong'zuo'an'pai'yi'jian
经营要调控,jing'ying'yao'tiao'kong
开采,kai'cai
勘探处,kan'tan'chu
快速掘进,kuai'su'jue'jin
李一,li'yi
李一矿,li'yi'kuang
李郢孜,li'ying'zi
李郢孜矿,li'ying'zi'kuang
李嘴孜,li'zui'zi
李嘴孜矿,li'zui'zi'kuang
溜煤道,liu'mei'dao
溜煤眼,liu'mei'yan
轮眼,lun'yan
煤巷,mei'xiang
煤与瓦斯突出,mei'yu'wa'si'tu'chu
潘北,pan'bei
潘北矿,pan'bei'kuang
潘二,pan'er
潘二矿,pan'er'kuang
潘三,pan'san
潘三矿,pan'san'kuang
潘一,pan'yi
潘一矿,pan'yi'kuang
切眼,qie'yan
三违,san'wei
上山,shang'shan
生产能力,sheng'chan'neng'li
石门,shi'men
石门揭煤,shi'men'jie'mei
十三条红线,shi'san'tiao'hong'xian
双规范,shuang'gui'fan
水力冲孔,shui'li'chong'kong
顺槽,shun'cao
顺层钻,shun'ceng'zuan
舜龙公司,shun'long'gong'si
四位一体综合防突措施,si'wei'yi'ti'zong'he'fang'tu'cuo'shi
铁运处,tie'yun'chu
突出,tu'chu
突出煤层,tu'chu'mei'ceng
突出危险区,tu'chu'wei'xian'qu
突出威胁区,tu'chu'wei'xie'qu
瓦斯,wa'si
瓦斯超限,wa'si'chao'xian
瓦斯含量,wa'si'han'liang
瓦斯综合治理,wa'si'zong'he'zhi'li
误揭,wu'jie
下山,xia'shan
效果检验,xiao'guo'jian'yan
消突效果评价,xiao'tu'xiao'guo'ping'jia
谢二,xie'er
谢二矿,xie'er'kuang
谢桥,xie'qiao
谢桥矿,xie'qiao'kuang
谢三,xie'san
谢三矿,xie'san'kuang
卸压钻,xie'ya'zuan
谢一,xie'yi
谢一矿,xie'yi'kuang
新庄孜,xin'zhuang'zi
新庄孜矿,xin'zhuang'zi'kuang
压风自救装置,ya'feng'zi'jiu'zhuang'zhi
严细实,yan'xi'shi
岩巷,yan'xiang
严重三违,yan'zhong'san'wei
一矿一策,yi'kuang'yi'ce
一面一策,yi'mian'yi'ce
迎头,ying'tou
预测预报,yu'ce'yu'bao
预抽,yu'chou
远距离放炮,yuan'ju'li'fang'pao
增活力,zeng'huo'li
张集,zhang'ji
张集矿,zhang'ji'kuang
质量标准化,zhi'liang'biao'zhun'hua
重展期,zhong'zhan'qi
朱集矿,zhu'ji'kuang
转型办,zhuan'xing'ban
专业化,zhuan'ye'hua
自主,zi'zhu
自主管理,zi'zhu'guan'li
