白大千,bai'da'qian
白琉璃,bai'liu'li
白娘子,bai'niang'zi
白文柳,bai'wen'liu
贝加尔湖畔,bei'jia'er'hu'pan
不老不死,bu'lao'bu'si
参谋,can'mou
陈瑶,chen'yao
出尘子,chu'chen'zi
大道永生,da'dao'yong'sheng
大公子,da'gong'zi
大帅,da'shuai
道教,dao'jiao
道侣,dao'lv
道士,dao'shi
道术,dao'shu
道长,dao'zhang
地堡,di'bao
地洞,di'dong
地缚灵,di'fu'ling
丁大头,ding'da'tou
丁旅长,ding'lv'zhang
丁思汉,ding'si'han
丁小猫,ding'xiao'mao
丁宅,ding'zhai
洞主,dong'zhu
斗法,dou'fa
毒婴,du'ying
段三郎,duan'san'lang
法力,fa'li
法器,fa'qi
法师,fa'shi
法术,fa'shu
封印,feng'yin
符咒,fu'zhou
革命小将,ge'ming'xiao'jiang
公方敏,gong'fang'min
顾大人,gu'da'ren
顾府,gu'fu
顾国强,gu'guo'qiang
顾萌萌,gu'meng'meng
顾玄武,gu'xuan'wu
怪婴,guai'ying
鬼洞,gui'dong
闺房,gui'fang
鬼魂,gui'hun
鬼魅,gui'mei
鬼神之术,gui'shen'zhi'shu
海蛇,hai'she
韩东君,han'dong'jun
和尚,he'shang
黑发女妖,hei'fa'nv'yao
红色绣花鞋,hong'se'xiu'hua'xie
红总,hong'zong
护身符,hu'shen'fu
画符,hua'fu
黄大仙,huang'da'xian
黄符,huang'fu
魂灵,hun'ling
魂魄,hun'po
魂魄不散,hun'po'bu'san
活物,huo'wu
蒋中伟,jiang'zhong'wei
借尸还魂,jie'shi'huan'hun
金晨,jin'chen
精气,jing'qi
井水,jing'shui
掘墓,jue'mu
军阀,jun'fa
军官,jun'guan
孔连顺,kong'lian'shun
傀儡,kui'lei
烂肉,lan'rou
老巫师,lao'wu'shi
老妖公,lao'yao'gong
老妖怪,lao'yao'guai
老妖婆,lao'yao'po
老岳,lao'yue
厉鬼,li'gui
李月牙,li'yue'ya
灵魂,ling'hun
灵魂不灭,ling'hun'bu'mie
灵魂法术,ling'hun'fa'shu
灵魂永存,ling'hun'yong'cun
轮回,lun'hui
旅座,lv'zuo
迷魂,mi'hun
迷魂阵,mi'hun'zhen
民国,min'guo
木偶,mu'ou
能量,neng'liang
念咒,nian'zhou
女煞,nv'sha
女尸,nv'shi
女妖,nv'yao
皮囊,pi'nang
七块六,qi'kuai'liu
起码一块五,qi'ma'yi'kuai'wu
千佛洞,qian'fo'dong
千江有水千江月,qian'jiang'you'shui'qian'jiang'yue
青云观,qing'yun'guan
青云山,qing'yun'shan
人脑,ren'nao
人肉,ren'rou
人身,ren'shen
人盅,ren'zhong
肉身,rou'shen
肉体不死,rou'ti'bu'si
赛维,sai'wei
三郎,san'lang
杀气,sha'qi
山中精怪,shan'zhong'jing'guai
摄魂,she'hun
摄魂夺魄,she'hun'duo'po
蛇精,she'jing
胜依,sheng'yi
尸斑,shi'ban
史丹凤,shi'dan'feng
史高飞,shi'gao'fei
师叔祖,shi'shu'zu
石筱群,shi'xiao'qun
术法,shu'fa
树精,shu'jing
