奔牛镇,ben'niu'zhen
卜弋桥,bu'yi'qiao
常州市,chang'zhou'shi
村前,cun'qian
东安,dong'an
坊前,fang'qian
芙蓉,fu'rong
滆湖,ge'hu
横林镇,heng'lin'zhen
横山桥镇,heng'shan'qiao'zhen
湖塘镇,hu'tang'zhen
嘉泽镇,jia'ze'zhen
焦溪,jiao'xi
金坛区,jin'tan'qu
金坛市,jin'tan'shi
礼嘉镇,li'jia'zhen
龙虎塘,long'hu'tang
龙虎塘街道,long'hu'tang'jie'dao
洛阳镇,luo'yang'zhen
孟河镇,meng'he'zhen
南大街,nan'da'jie
南宅,nan'zhai
牛塘镇,niu'tang'zhen
戚区,qi'qu
前黄镇,qian'huang'zhen
舜山,shun'shan
太湖,tai'hu
天宁区,tian'ning'qu
万绥,wan'sui
武进区,wu'jin'qu
武进县,wu'jin'xian
西湖街道,xi'hu'jie'dao
西太湖,xi'tai'hu
新北区,xin'bei'qu
新桥镇,xin'qiao'zhen
雪堰镇,xue'yan'zhen
杨桥,yang'qiao
寨桥,zhai'qiao
钟楼区,zhong'lou'qu
