阿甲文,a'jia'wen
阿普知,a'pu'zhi
阿乌,a'wu
阿细说唱,a'xi'shuo'chang
艾捷克,ai'jie'ke
哀子,ai'zi
安徽大鼓,an'hui'da'gu
安徽青阳腔,an'hui'qing'yang'qiang
敖敦宝日,ao'dun'bao'ri
八段锦,ba'duan'jin
八角鼓,ba'jiao'gu
巴拉曼,ba'la'man
巴拉满,ba'la'man
巴朗孜阔木,ba'lang'zi'kuo'mu
巴桑顿珠,ba'sang'dun'zhu
霸王鞭,ba'wang'bian
巴乌,ba'wu
巴依尔,ba'yi'er
白俄嘎,bai'e'ga
白凤鸣,bai'feng'ming
拜共廖,bai'gong'liao
白剧,bai'ju
白面具藏戏,bai'mian'ju'zang'xi
白秀珍,bai'xiu'zhen
白玉霜,bai'yu'shuang
白云鹏,bai'yun'peng
百珍腔,bai'zhen'qiang
白族,bai'zu
斑笛,ban'di
板鼓,ban'gu
班鼓,ban'gu
板贵兴,ban'gui'xing
板胡,ban'hu
班锣,ban'luo
板腔体,ban'qiang'ti
帮半句,bang'ban'ju
梆笛,bang'di
梆胡,bang'hu
帮腔手法,bang'qiang'shou'fa
帮数字,bang'shu'zi
帮一音,bang'yi'yin
帮一字,bang'yi'zi
帮整句,bang'zheng'ju
帮重句帮整段,bang'zhong'ju'bang'zheng'duan
傍妆台,bang'zhuang'tai
梆子,bang'zi
梆子腔,bang'zi'qiang
保安族,bao'an'zu
保山渔鼓,bao'shan'yu'gu
宝音德力格尔,bao'yin'de'li'ge'er
北京京腔,bei'jing'jing'qiang
北京琴书,bei'jing'qin'shu
悲栗,bei'li
北路梆子,bei'lu'bang'zi
悲调,bei'tiao
蹦蹦,beng'beng
毕毕,bi'bi
觱达,bi'da
筚达,bi'da
笔管,bi'guan
比克,bi'ke
毕郎叨,bi'lang'dao
觱篥,bi'li
必栗,bi'li
筚篥,bi'li
比列,bi'lie
比竹,bi'zhu
变头,bian'tou
变尾,bian'wei
编钟,bian'zhong
鞭子鼓,bian'zi'gu
菠菜叶,bo'cai'ye
搏拊,bo'fu
拨奏气鸣乐器,bo'zou'qi'ming'yue'qi
步步娇,bu'bu'jiao
布姑,bu'gu
布朗族,bu'lang'zu
布累,bu'lei
布特尕,bu'te'ga
擦奏弦鸣乐器,ca'zou'xian'ming'yue'qi
采茶,cai'cha
彩调,cai'diao
菜花黄,cai'hua'huang
彩腔,cai'qiang
才让旺堆,cai'rang'wang'dui
彩陶埙,cai'tao'xun
蔡文芳,cai'wen'fang
蔡文献,cai'wen'xian
仓仓锣,cang'cang'luo
苍胡腔,cang'hu'qiang
曹宝禄,cao'bao'lu
曹东扶,cao'dong'fu
曹匹初,cao'pi'chu
曹正,cao'zheng
插帮,cha'bang
查阜西,cha'fu'xi
拆头,chai'tou
缠丝笛,chan'si'di
长安古乐谱,chang'an'gu'yue'pu
昌都藏戏,chang'du'zang'xi
长鼓,chang'gu
唱论,chang'lun
唱琵琶,chang'pi'pa
唱腔有九腔,chang'qiang'you'jiu'qiang
常澍田,chang'shu'tian
长筒,chang'tong
常香玉,chang'xiang'yu
长阳南曲,chang'yang'nan'qu
唱月琴,chang'yue'qin
潮尔,chao'er
朝天子,chao'tian'zi
朝鲜族,chao'xian'zu
朝阳歌,chao'yang'ge
潮州笛,chao'zhou'di
扯不断,che'bu'duan
车灯,che'deng
车鼓,che'gu
陈伯华,chen'bo'hua
陈书舫,chen'shu'fang
陈遇乾,chen'yu'qian
陈振铎,chen'zhen'duo
程长庚,cheng'chang'geng
呈贡花灯,cheng'gong'hua'deng
琤尼,cheng'ni
程砚秋,cheng'yan'qiu
成兆才,cheng'zhao'cai
尺八,chi'ba
舂牍,chong'du
楚雄花灯,chu'xiong'hua'deng
穿号子,chuan'hao'zi
川剧,chuan'ju
船调,chuan'tiao
床头琴,chuang'tou'qin
吹鞭,chui'bian
吹吹腔戏,chui'chui'qiang'xi
吹孔气鸣乐器,chui'kong'qi'ming'yue'qi
吹腔,chui'qiang
吹奏乐器,chui'zou'yue'qi
春牛舞,chun'niu'wu
春秋战国音乐史料,chun'qiu'zhan'guo'yin'yue'shi'liao
春调,chun'tiao
绰板,chuo'ban
次高音管,ci'gao'yin'guan
