暗渡陈仓,an'du'chen'cang
暴戾恣睢,bao'li'zi'sui
备而后动,bei'er'hou'dong
备周则意怠,bei'zhou'ze'yi'dai
逼则反兵,bi'ze'fan'bing
比之自内,bi'zhi'zi'nei
兵不血刃,bing'bu'xue'ren
兵强者,bing'qiang'zhe
不敌其力,bu'di'qi'li
不可借,bu'ke'jie
不可以敌,bu'ke'yi'di
不利有攸往,bu'li'you'you'wang
不能用者,bu'neng'yong'zhe
不伪作假知妄为,bu'wei'zuo'jia'zhi'wang'wei
不以战,bu'yi'zhan
不虞,bu'yu
不在阳之对,bu'zai'yang'zhi'dui
不自出力,bu'zi'chu'li
不自失也,bu'zi'shi'ye
察而后动,cha'er'hou'dong
常见则不疑,chang'jian'ze'bu'yi
趁火打劫,chen'huo'da'jie
乘其阴乱,cheng'qi'yin'luan
承天宠也,cheng'tian'chong'ye
乘隙插足,cheng'xi'cha'zu
抽其劲旅,chou'qi'jing'lv
摧其坚,cui'qi'jian
存其形,cun'qi'xing
打草惊蛇,da'cao'jing'she
大凌小者,da'ling'xiao'zhe
待其自败,dai'qi'zi'bai
待天以困,dai'tian'yi'kun
敌不动,di'bu'dong
敌胁以从,di'xie'yi'cong
敌阳不如敌阴,di'yang'bu'ru'di'yin
敌已明,di'yi'ming
敌之害大,di'zhi'hai'da
敌志乱萃,di'zhi'luan'cui
调虎离山,diao'hu'li'shan
断其援应,duan'qi'yuan'ying
兑下乾上之象,dui'xia'qian'shang'zhi'xiang
夺其魁,duo'qi'kui
扼其主机,e'qi'zhu'ji
而后乘之,er'hou'cheng'zhi
而消其势,er'xiao'qi'shi
伐其情,fa'qi'qing
反间计,fan'jian'ji
反客为主,fan'ke'wei'zhu
非诳也,fei'kuang'ye
匪我求童蒙,fei'wo'qiu'tong'meng
釜底抽薪,fu'di'chou'xin
刚决柔也,gang'jue'rou'ye
刚柔之际,gang'rou'zhi'ji
刚中而应,gang'zhong'er'ying
刚中柔外,gang'zhong'rou'wai
隔岸观火,ge'an'guan'huo
共敌不如分敌,gong'di'bu'ru'fen'di
攻其将,gong'qi'jiang
关门捉贼,guan'men'zhuo'zei
鸿渐于陆,hong'jian'yu'lu
环计,huan'ji
混水摸鱼,hun'shui'mo'yu
假痴不癫,jia'chi'bu'dian
假道伐虢,jia'dao'fa'guo
假真真假,jia'zhen'zhen'jia
假之以便,jia'zhi'yi'bian
间以得行,jian'yi'de'xing
渐之进也,jian'zhi'jin'ye
将多兵众,jiang'duo'bing'zhong
将弱兵颓,jiang'ruo'bing'tui
将智者,jiang'zhi'zhe
借不能用者而用之,jie'bu'neng'yong'zhe'er'yong'zhi
借刀杀人,jie'dao'sha'ren
借局布势,jie'ju'bu'shi
借尸还魂,jie'shi'huan'hun
金蝉脱壳,jin'chan'tuo'qiao
紧随勿迫,jin'sui'wu'po
静不露机,jing'bu'lu'ji
警以诱之,jing'yi'you'zhi
就势取利,jiu'shi'qu'li
空城计,kong'cheng'ji
苦肉计,ku'rou'ji
诳也,kuang'ye
困敌之势,kun'di'zhi'shi
坤下兑上之象,kun'xia'dui'shang'zhi'xiang
累其气力,lei'qi'qi'li
李代桃僵,li'dai'tao'jiang
