阿部记之,a'bu'ji'zhi
井上织姬,jing'shang'zhi'ji
精神体,jing'shen'ti
京乐队长,jing'yue'dui'chang
酒饱,jiu'bao
久保,jiu'bao
久保大人,jiu'bao'da'ren
久保带人,jiu'bao'dai'ren
久保宣章,jiu'bao'xuan'zhang
久川绫,jiu'chuan'ling
剧场版一,ju'chang'ban'yi
剧二,ju'er
拘流,ju'liu
剧三,ju'san
拘突,ju'tu
剧一,ju'yi
卷卷,juan'juan
空鹤,kong'he
空鹤大姐,kong'he'da'jie
堀内广行,ku'nei'guang'xing
蓝大,lan'da
蓝露,lan'lu
蓝染,lan'ran
蓝染惣右介,lan'ran'zong'you'jie
蓝桃,lan'tao
雷吼炮,lei'hou'pao
雷牙,lei'ya
理吉,li'ji
莉莉,li'li
莉玲,li'ling
立木文彦,li'mu'wen'yan
里挺队,li'ting'dui
恋次,lian'ci
恋露,lian'lu
恋一,lian'yi
梁田清之,liang'tian'qing'zhi
烈风,lie'feng
捩花,lie'hua
绫濑川弓亲,ling'lai'chuan'gong'qin
灵络,ling'luo
凌舞吧,ling'wu'ba
凌舞吧袖白雪,ling'wu'ba'xiu'bai'xue
另一个冰轮丸,ling'yi'ge'bing'lun'wan
灵珠核,ling'zhu'he
灵子转换机,ling'zi'zhuan'huan'ji
六番队,liu'fan'dui
流魂街,liu'hun'jie
琉璃,liu'li
琉璃酱,liu'li'jiang
琉璃千代,liu'li'qian'dai
琉璃色藤孔雀,liu'li'se'teng'kong'que
流刃若火,liu'ren'ruo'huo
六丈光牢,liu'zhang'guang'lao
龙贵,long'gui
龙纹鬼灯丸,long'wen'gui'deng'wan
鹭巣诗郎,lu'chao'shi'lang
露儿,lu'er
露后宫,lu'hou'gong
露井,lu'jing
露露,lu'lu
露露殿下,lu'lu'dian'xia
露露酱,lu'lu'jiang
露露美眉,lu'lu'mei'mei
露女王,lu'nv'wang
露琪亚,lu'qi'ya
露琪亚酱,lu'qi'ya'jiang
露琪亚节,lu'qi'ya'jie
露琪亚妹妹,lu'qi'ya'mei'mei
露琪亚小姐,lu'qi'ya'xiao'jie
露一,lu'yi
露织,lu'zhi
露总受,lu'zong'shou
乱菊,luan'ju
乱菊大姐,luan'ju'da'jie
乱装天傀,luan'zhuang'tian'kui
旅祸,lv'huo
卯大姐,mao'da'jie
茂雄,mao'xiong
