暗撑,an'cheng
暗涵,an'han
暗梁,an'liang
暗柱,an'zhu
板底,ban'di
板底钢筋,ban'di'gang'jin
板顶,ban'ding
板顶钢筋,ban'ding'gang'jin
板厚,ban'hou
板筋,ban'jin
板面,ban'mian
板配筋图,ban'pei'jin'tu
板式楼梯,ban'shi'lou'ti
板柱结构,ban'zhu'jie'gou
绑扎,bang'za
薄壁杆系,bao'bi'gan'xi
饱和土,bao'he'tu
保护层,bao'hu'ceng
抱框,bao'kuang
北立面,bei'li'mian
变标高,bian'biao'gao
变截面,bian'jie'mian
边界条件,bian'jie'tiao'jian
边框梁,bian'kuang'liang
边框柱,bian'kuang'zhu
边梁,bian'liang
边缘构件,bian'yuan'gou'jian
边柱,bian'zhu
标准冻深,biao'zhun'dong'shen
标准值,biao'zhun'zhi
标准组合,biao'zhun'zu'he
薄弱层,bo'ruo'ceng
补偿收缩混凝土,bu'chang'shou'suo'hun'ning'tu
补强,bu'qiang
不上人屋面,bu'shang'ren'wu'mian
侧移,ce'yi
层高,ceng'gao
层高表,ceng'gao'biao
层间梁,ceng'jian'liang
层间位移比,ceng'jian'wei'yi'bi
插筋,cha'jin
拆模,chai'mo
拆模板,chai'mo'ban
场地类别,chang'di'lei'bie
场地土,chang'di'tu
长跨,chang'kua
长螺旋灌注桩,chang'luo'xuan'guan'zhu'zhuang
长期刚度,chang'qi'gang'du
长细比,chang'xi'bi
超长,chao'chang
超长结构,chao'chang'jie'gou
超高,chao'gao
超筋,chao'jin
超筋超限,chao'jin'chao'xian
超限,chao'xian
沉淀池,chen'dian'chi
沉降,chen'jiang
沉降差,chen'jiang'cha
沉降缝,chen'jiang'feng
程懋堃,cheng'mao'kun
承台,cheng'tai
承载力,cheng'zai'li
承重,cheng'zhong
池壁,chi'bi
持力层,chi'li'ceng
冲切,chong'qie
冲切破坏,chong'qie'po'huai
储藏室,chu'cang'shi
初凝,chu'ning
出平面,chu'ping'mian
初设,chu'she
除锈,chu'xiu
穿管,chuan'guan
窗间墙,chuang'jian'qiang
窗井,chuang'jing
窗框,chuang'kuang
窗框墙,chuang'kuang'qiang
窗墙比,chuang'qiang'bi
纯受弯,chun'shou'wan
粗砂,cu'sha
错层,cuo'ceng
大底盘,da'di'pan
搭接,da'jie
搭接长度,da'jie'chang'du
大偏拉,da'pian'la
大偏心,da'pian'xin
大偏压,da'pian'ya
大堂,da'tang
大堂吧,da'tang'ba
大样,da'yang
大样图,da'yang'tu
单层厂房,dan'ceng'chang'fang
单向板,dan'xiang'ban
单桩承载力特征值,dan'zhuang'cheng'zai'li'te'zheng'zhi
挡墙,dang'qiang
挡土墙,dang'tu'qiang
导荷载,dao'he'zai
导流墙,dao'liu'qiang
倒楼盖,dao'lou'gai
倒楼盖模型,dao'lou'gai'mo'xing
导墙,dao'qiang
底板,di'ban
底部加强,di'bu'jia'qiang
底部加强部位,di'bu'jia'qiang'bu'wei
底部加强区,di'bu'jia'qiang'qu
地基承载力特征值,di'ji'cheng'zai'li'te'zheng'zhi
地基梁,di'ji'liang
地基应力,di'ji'ying'li
地堪,di'kan
底框,di'kuang
地梁,di'liang
地梁平面布置图,di'liang'ping'mian'bu'zhi'tu
地垄墙,di'long'qiang
地貌,di'mao
地面粗糙度,di'mian'cu'cao'du
地坪,di'ping
地下工程防水技术规范,di'xia'gong'cheng'fang'shui'ji'shu'gui'fan
地下室,di'xia'shi
地形地貌修正系数,di'xing'di'mao'xiu'zheng'xi'shu
地震组合,di'zhen'zu'he
地质资料,di'zhi'zi'liao
垫层,dian'ceng
电缆沟,dian'lan'gou
电缆井,dian'lan'jing
电缆排管,dian'lan'pai'guan
电梯机房,dian'ti'ji'fang
电梯井,dian'ti'jing
电梯厅,dian'ti'ting
电线穿管,dian'xian'chuan'guan
电子计算机房,dian'zi'ji'suan'ji'fang
吊车梁,diao'che'liang
吊顶,diao'ding
吊钩,diao'gou
吊钩梁,diao'gou'liang
吊挂,diao'gua
吊筋,diao'jin
叠合池,die'he'chi
叠合式,die'he'shi
顶板,ding'ban
顶层,ding'ceng
洞边,dong'bian
洞边加筋,dong'bian'jia'jin
洞底,dong'di
洞顶,dong'ding
东立面,dong'li'mian
动力系数,dong'li'xi'shu
冻深,dong'shen
冻土,dong'tu
独基,du'ji
短跨,duan'kua
短期刚度,duan'qi'gang'du
短肢,duan'zhi
短肢剪力墙,duan'zhi'jian'li'qiang
短肢墙,duan'zhi'qiang
端支座,duan'zhi'zuo
短柱,duan'zhu
端柱,duan'zhu
多层建筑,duo'ceng'jian'zhu
多塔,duo'ta
二泵房,er'beng'fang
二层,er'ceng
二沉池,er'chen'chi
二级钢,er'ji'gang
二阶效应,er'jie'xiao'ying
二类场地,er'lei'chang'di
二类环境,er'lei'huan'jing
筏板,fa'ban
筏基,fa'ji
阀门井,fa'men'jing
筏形,fa'xing
反冲洗,fan'chong'xi
范立礎,fan'li'chu
反梁,fan'liang
反弯点,fan'wan'dian
防护密闭门,fang'hu'mi'bi'men
防水层,fang'shui'ceng
防水剂,fang'shui'ji
放样,fang'yang
方桩,fang'zhuang
非加密区,fei'jia'mi'qu
非抗震,fei'kang'zhen
分布钢筋,fen'bu'gang'jin
分布筋,fen'bu'jin
粉土,fen'tu
粉土层,fen'tu'ceng
粉细砂,fen'xi'sha
粉质粘土,fen'zhi'nian'tu
粉质粘土层,fen'zhi'zhan'tu'ceng
风荷载,feng'he'zai
风压,feng'ya
腹板,fu'ban
扶壁式挡土墙,fu'bi'shi'dang'tu'qiang
复合箍,fu'he'gu
复合箍筋,fu'he'gu'jin
附加吊筋,fu'jia'diao'jin
附加箍筋,fu'jia'gu'jin
覆土,fu'tu
概算,gai'suan
概预算,gai'yu'suan
钢板止水带,gang'ban'zhi'shui'dai
刚度,gang'du
刚接,gang'jie
钢结构,gang'jie'gou
钢筋,gang'jin
钢筋混凝土,gang'jin'hun'ning'tu
钢筋笼长度,gang'jin'long'chang'du
钢筋锚固长度,gang'jin'mao'gu'chang'du
钢筋砼,gang'jin'tong
钢筋网,gang'jin'wang
钢筋网片,gang'jin'wang'pian
钢梁,gang'liang
钢砼,gang'tong
刚性角,gang'xing'jiao
刚性连接,gang'xing'lian'jie
钢柱,gang'zhu
高层建筑混凝土结构技术规程,gao'ceng'jian'zhu'hun'ning'tu'jie'gou'ji'shu'gui'cheng
高层民用建筑设计防火规范,gao'ceng'min'yong'jian'zhu'she'ji'fang'huo'gui'fan
高程,gao'cheng
高规,gao'gui
