艾岗乡,ai'gang'xiang
暗娼,an'chang
颁布法律,ban'bu'fa'lv
办公室,ban'gong'shi
版税,ban'shui
包庇罪,bao'bi'zui
报复陷害罪,bao'fu'xian'hai'zui
暴力,bao'li
暴力干涉婚姻自由罪,bao'li'gan'she'hun'yin'zi'you'zui
保卫部,bao'wei'bu
爆炸罪,bao'zha'zui
被告,bei'gao
背叛祖国罪,bei'pan'zu'guo'zui
备忘录,bei'wang'lu
逼供信,bi'gong'xin
逼奸,bi'jian
避难权,bi'nan'quan
逼人自杀,bi'ren'zi'sha
变造公文证件印章罪,bian'zao'gong'wen'zheng'jian'yin'zhang'zui
变造国家货币,bian'zao'guo'jia'huo'bi
秉公执法,bing'gong'zhi'fa
兵役法,bing'yi'fa
剥夺公权,bo'duo'gong'quan
剥夺勋章奖章和荣誉称号,bo'duo'xun'zhang'jiang'zhang'he'rong'yu'cheng'hao
不纯正渎职罪,bu'chun'zheng'du'zhi'zui
不当得利,bu'dang'de'li
不动产,bu'dong'chan
财产,cai'chan
财政法,cai'zheng'fa
参见罪状,can'jian'zui'zhuang
草案,cao'an
策动叛变罪,ce'dong'pan'bian'zui
策动叛乱罪,ce'dong'pan'luan'zui
策反,ce'fan
超出法律范围的,chao'chu'fa'lv'fan'wei'de
撤消,che'xiao
撤消判决,che'xiao'pan'jue
陈俊平,chen'jun'ping
诚实信用原则,cheng'shi'xin'yong'yuan'ze
持械聚众叛乱罪,chi'xie'ju'zhong'pan'luan'zui
迟营乡,chi'ying'xiang
持有物,chi'you'wu
重婚罪,chong'hun'zui
处断刑,chu'duan'xing
传授犯罪方法罪,chuan'shou'fan'zui'fang'fa'zui
纯正渎职罪,chun'zheng'du'zhi'zui
从属关系,cong'shu'guan'xi
促进社会和谐,cu'jin'she'hui'he'xie
错告,cuo'gao
大脑机能停止活动说,da'nao'ji'neng'ting'zhi'huo'dong'shuo
大王庄乡,da'wang'zhuang'xiang
党组,dang'zu
党组会,dang'zu'hui
盗伐林木罪,dao'fa'lin'mu'zui
倒卖计划供应票证罪,dao'mai'ji'hua'gong'ying'piao'zheng'zui
盗窃公文证件印章罪,dao'qie'gong'wen'zheng'jian'yin'zhang'zui
盗窃枪支弹药罪,dao'qie'qiang'zhi'dan'yao'zui
盗窃罪,dao'qie'zui
盗运珍贵文物出口罪,dao'yun'zhen'gui'wen'wu'chu'kou'zui
第三人,di'san'ren
定期刑,ding'qi'xing
定着物,ding'zhe'wu
动产,dong'chan
东王营乡,dong'wang'ying'xiang
东夏亭镇,dong'xia'ting'zhen
赌博罪,du'bo'zui
赌棍,du'gun
独立呼吸说,du'li'hu'xi'shuo
独立燃烧说,du'li'ran'shao'shuo
毒品,du'pin
赌头,du'tou
渎职案,du'zhi'an
渎职罪,du'zhi'zui
断带说,duan'dai'shuo
法案,fa'an
法的适用,fa'de'shi'yong
法典编纂,fa'dian'bian'zuan
法定代理权,fa'ding'dai'li'quan
法定刑,fa'ding'xing
法定刑上限,fa'ding'xing'shang'xian
法定刑下限,fa'ding'xing'xia'xian
法官,fa'guan
法警队,fa'jing'dui
法令,fa'ling
法律,fa'lv
法律的实施,fa'lv'de'shi'shi
法律汇编,fa'lv'hui'bian
法律监督,fa'lv'jian'du
法律监督机关,fa'lv'jian'du'ji'guan
法律政策研究室,fa'lv'zheng'ce'yan'jiu'shi
法人,fa'ren
发声说,fa'sheng'shuo
法学,fa'xue
法学家,fa'xue'jia
法学阶梯,fa'xue'jie'ti
法院,fa'yuan
法制,fa'zhi
反动会道门,fan'dong'hui'dao'men
反渎局,fan'du'ju
反渎职侵权局,fan'du'zhi'qin'quan'ju
反革命集团,fan'ge'ming'ji'tuan
反革命破坏罪,fan'ge'ming'po'huai'zui
反革命杀人罪,fan'ge'ming'sha'ren'zui
反革命伤人罪,fan'ge'ming'shang'ren'zui
反革命宣传煽动罪,fan'ge'ming'xuan'chuan'shan'dong'zui
反革命罪,fan'ge'ming'zui
反垄断法,fan'long'duan'fa
贩卖毒品罪,fan'mai'du'pin'zui
贩卖假药罪,fan'mai'jia'yao'zui
贩卖淫书淫画罪,fan'mai'yin'shu'yin'hua'zui
贩私,fan'si
反贪局,fan'tan'ju
反贪污贿赂局,fan'tan'wu'hui'lu'ju
贩运伪造的国家货币罪,fan'yun'wei'zao'de'guo'jia'huo'bi'zui
妨害公务罪,fang'hai'gong'wu'zui
妨害婚姻家庭罪,fang'hai'hun'yin'jia'ting'zui
妨害社会管理秩序罪,fang'hai'she'hui'guan'li'zhi'xu'zui
妨害邮电通讯罪,fang'hai'you'dian'tong'xun'zui
放火罪,fang'huo'zui
诽谤罪,fei'bang'zui
废除,fei'chu
非法剥夺宗教信仰自由罪,fei'fa'bo'duo'zong'jiao'xin'yang'zi'you'zui
非法捕捞水产品罪,fei'fa'bu'lao'shui'chan'pin'zui
非法管制罪,fei'fa'guan'zhi'zui
非法拘禁罪,fei'fa'ju'jin'zui
非法买卖枪支弹药罪,fei'fa'mai'mai'qiang'zhi'dan'yao'zui
非法侵入住宅罪,fei'fa'qin'ru'zhu'zhai'zui
非法狩猎罪,fei'fa'shou'lie'zui
非法搜查罪,fei'fa'sou'cha'zui
非法运输枪支弹药罪,fei'fa'yun'shu'qiang'zhi'dan'yao'zui
非法制造枪支弹药罪,fei'fa'zhi'zao'qiang'zhi'dan'yao'zui
