阿步,a'bu
阿尔克巴雷诺,a'er'ke'ba'lei'nuo
阿尔柯巴雷诺,a'er'ke'ba'lei'nuo
阿非姐,a'fei'jie
阿纲,a'gang
阿瓜,a'gua
阿扣,a'kou
阿扣君,a'kou'jun
阿扣菌,a'kou'jun
阿懒,a'lan
阿兰兰,a'lan'lan
哀君,ai'jun
哀菌,ai'jun
爱哭鬼蓝波,ai'ku'gui'lan'bo
艾丽斯,ai'li'si
哀露,ai'lu
艾斯托拉涅欧,ai'si'tuo'la'nie'ou
安翠欧,an'cui'ou
暗杀部队,an'sha'bu'dui
暗指环,an'zhi'huan
暗之守护者,an'zhi'shou'hu'zhe
巴吉尔,ba'ji'er
巴吉鲁,ba'ji'lu
巴利安,ba'li'an
巴伊沙纳,ba'yi'sha'na
巴兹,ba'zi
白纲,bai'gang
白骸,bai'hai
白兰,bai'lan
白魔咒,bai'mo'zhou
白正,bai'zheng
半彭哥列指环,ban'peng'ge'lie'zhi'huan
棒球笨蛋,bang'qiu'ben'dan
暴风雨之戒,bao'feng'yu'zhi'jie
暴蛇烈霸,bao'she'lie'ba
贝尔,bei'er
贝尔菲戈尔,bei'er'fei'ge'er
北华学园,bei'hua'xue'yuan
碧安琪,bi'an'qi
碧洋琪,bi'yang'qi
兵器匣,bing'qi'xia
并盛,bing'sheng
并盛町,bing'sheng'ding
并盛国中,bing'sheng'guo'zhong
并盛校歌,bing'sheng'xiao'ge
并盛中学,bing'sheng'zhong'xue
并中风纪委员长,bing'zhong'feng'ji'wei'yuan'zhang
并中校庆日,bing'zhong'xiao'qing'ri
波维诺,bo'wei'nuo
波维诺家族,bo'wei'nuo'jia'zu
步君,bu'jun
步菌,bu'jun
步璃,bu'li
彩虹婴儿,cai'hong'ying'er
彩虹之子,cai'hong'zhi'zi
蚕蚕,can'can
蚕君,can'jun
草壁,cao'bi
草帽君,cao'mao'jun
草帽菌,cao'mao'jun
超直感,chao'zhi'gan
车轴雨,che'zhou'yu
城岛犬,cheng'dao'quan
城君,cheng'jun
赤炎之矢,chi'yan'zhi'shi
初代首领,chu'dai'shou'ling
畜生道,chu'sheng'dao
初雾,chu'wu
初云,chu'yun
蠢牛,chun'niu
大谷美贵,da'gu'mei'gui
大空守护者,da'kong'shou'hu'zhe
大空指环,da'kong'zhi'huan
大人蓝波,da'ren'lan'bo
大人一平,da'ren'yi'ping
稲村优奈,dao'cun'you'nai
迪诺,di'nuo
帝王攻,di'wang'gong
地狱道,di'yu'dao
迪云,di'yun
电狐,dian'hu
电击角,dian'ji'jiao
电击皮肤,dian'ji'pi'fu
电气角,dian'qi'jiao
电气体质,dian'qi'ti'zhi
动物匣,dong'wu'xia
杜尔,du'er
毒蝎,du'xie
毒蝎子,du'xie'zi
多玛佐,duo'ma'zuo
多玛佐家族,duo'ma'zuo'jia'zu
饿鬼道,e'gui'dao
二叶,er'ye
二月君,er'yue'jun
繁吹雨,fan'chui'yu
饭田利信,fan'tian'li'xin
绯色晴空,fei'se'qing'kong
愤怒之炎,fen'nu'zhi'yan
风华神乐,feng'hua'shen'le
风纪委员会,feng'ji'wei'yuan'hui
风纪委员长,feng'ji'wei'yuan'zhang
凤梨教主,feng'li'jiao'zhu
凤梨头,feng'li'tou
凤梨王子,feng'li'wang'zi
风太,feng'tai
复仇者监狱,fu'chou'zhe'jian'yu
弗兰,fu'lan
浮萍拐,fu'ping'guai
附身弹,fu'shen'dan
纲吉,gang'ji
纲君,gang'jun
刚之炎,gang'zhi'yan
高桥广树,gao'qiao'guang'shu
高桥広树,gao'qiao'guang'shu
格瓜,ge'gua
戈君,ge'jun
戈菌,ge'jun
格君,ge'jun
哥拉莫斯卡,ge'la'mo'si'ka
戈少,ge'shao
戈少君,ge'shao'jun
格子大,ge'zi'da
鸽子君,ge'zi'jun
恭弥,gong'mi
瓜君,gua'jun
瓜菌,gua'jun
光崎市,guang'qi'shi
光崎市北华学园,guang'qi'shi'bei'hua'xue'yuan
鬼畜虐娘遗忘君,gui'chu'nue'niang'yi'wang'jun
国分优香里,guo'fen'you'xiang'li
骸大,hai'da
骸殿,hai'dian
骸纲,hai'gang
海猴,hai'hou
骸幻想,hai'huan'xiang
海君,hai'jun
海菌,hai'jun
骸样,hai'yang
骸鹰,hai'ying
骸云,hai'yun
骸云王道,hai'yun'wang'dao
汉我流,han'wo'liu
黑川花,hei'chuan'hua
黑魔咒,hei'mo'zhou
黑手党乐园,hei'shou'dang'le'yuan
黑曜,hei'yao
黑曜军,hei'yao'jun
黑曜篇,hei'yao'pian
黑曜中学,hei'yao'zhong'xue
候君,hou'jun
猴菌,hou'jun
花椰菜怪物,hua'ye'cai'guai'wu
幻海牛,huan'hai'niu
幻骑士,huan'qi'shi
幻术士,huan'shu'shi
混吃混喝帮,hun'chi'hun'he'bang
基尔巴特,ji'er'ba'te
吉留涅罗,ji'liu'nie'luo
吉留涅罗家族,ji'liu'nie'luo'jia'zu
吉田仁美,ji'tian'ren'mei
基西尼亚,ji'xi'ni'ya
极限太阳,ji'xian'tai'yang
极限英格拉姆,ji'xian'ying'ge'la'mu
加百罗涅,jia'bai'luo'nie
加百罗涅家族,jia'bai'luo'nie'jia'zu
家光,jia'guang
剑帝,jian'di
浆果酱,jiang'guo'jiang
浆果君,jiang'guo'jun
浆果菌,jiang'guo'jun
浆蜗牛,jiang'wo'niu
鲛冲击,jiao'chong'ji
鲛特攻,jiao'te'gong
鲛之牙,jiao'zhi'ya
饺子拳,jiao'zi'quan
杰索家族,jie'suo'jia'zu
戒指争夺战,jie'zhi'zheng'duo'zhan
津嘉,jin'jia
近藤隆,jin'teng'long
津田健次郎,jin'tian'jian'ci'lang
井上优,jing'shang'you
京子,jing'zi
囧哀,jiong'ai
卡鲁卡沙,ka'lu'ka'sha
可乐尼路,ke'le'ni'lu
可乐尼洛,ke'le'ni'luo
可乐尼诺,ke'le'ni'nuo
扣君,kou'jun
扣菌,kou'jun
库洛姆,ku'luo'mu
库洛姆髑髅,ku'luo'mu'du'lou
库洛姆骷髅,ku'luo'mu'ku'lou
拉尔,la'er
拉尔米尔琪,la'er'mi'er'qi
蓝波,lan'bo
蓝波大人,lan'bo'da'ren
兰戈,lan'ge
兰菌,lan'jun
懒君,lan'jun
懒菌,lan'jun
兰奇亚,lan'qi'ya
兰恰,lan'qia
蓝少,lan'shao
兰斯隆特,lan'si'long'te
兰桃,lan'tao
岚指环,lan'zhi'huan
岚之火焰,lan'zhi'huo'yan
岚之戒,lan'zhi'jie
岚之守护者,lan'zhi'shou'hu'zhe
岚之指环,lan'zhi'zhi'huan
兰兹阿,lan'zi'a
老海,lao'hai
乐君,le'jun
乐菌,le'jun
了平,le'ping
雷电装填,lei'dian'zhuang'tian
雷守,lei'shou
雷指环,lei'zhi'huan
雷之火焰,lei'zhi'huo'yan
雷之戒,lei'zhi'jie
雷之守护者,lei'zhi'shou'hu'zhe
雷之指环,lei'zhi'zhi'huan
里包恩,li'bao'en
里风,li'feng
璃君,li'jun
璃菌,li'jun
豊永利行,li'yong'li'xing
鎌苅健太,lian'yi'jian'tai
列恩,lie'en
列维尔坦,lie'wei'er'tan
零地点突破,ling'di'dian'tu'po
零届点突破,ling'jie'dian'tu'po
六道骸,liu'dao'hai
流君,liu'jun
流菌,liu'jun
绺君,liu'jun
绺菌,liu'jun
留客雨,liu'ke'yu
流流子,liu'liu'zi
六音,liu'yin
六音君,liu'yin'jun
六音菌,liu'yin'jun
路君,lu'jun
路菌,lu'jun
路斯利亚,lu'si'li'ya
鲁斯里亚,lu'si'li'ya
路西利亚,lu'xi'li'ya
伦迦,lun'jia
罗马利奥,luo'ma'li'ao
玛雷戒指,ma'lei'jie'zhi
玛门,ma'men
玛蒙,ma'meng
麦小依,mai'xiao'yi
曼格斯塔,man'ge'si'ta
梅洛尼基地,mei'luo'ni'ji'di
萌菌,meng'jun
米尔菲欧雷,mi'er'fei'ou'lei
米尔奇,mi'er'qi
迷恋樱花,mi'lian'ying'hua
密鲁菲奥雷,mi'lu'fei'ao'lei
密鲁菲欧雷,mi'lu'fei'ou'lei
貘良六音,mo'liang'liu'yin
魔神幻,mo'shen'huan
莫斯卡,mo'si'ka
莫斯卡王,mo'si'ka'wang
某少,mou'shao
木内秀信,mu'nei'xiu'xin
内藤玲,nei'teng'ling
内藤龙祥,nei'teng'long'xiang
逆卷雨,ni'juan'yu
拍桌,pai'zhuo
潘迪拉,pan'di'la
喷气蜗牛,pen'qi'wo'niu
彭哥列,peng'ge'lie
彭格列,peng'ge'lie
彭哥列指环,peng'ge'lie'zhi'huan
彭格列指环,peng'ge'lie'zhi'huan
批评弹,pi'ping'dan
平野贵裕,ping'ye'gui'yu
凭依弹,ping'yi'dan
妻君,qi'jun
千砂夜,qian'sha'ye
千蛇烈霸,qian'she'lie'ba
前田刚,qian'tian'gang
千紫毒万红,qian'zi'du'wan'hong
乔托,qiao'tuo
切尔贝罗,qie'er'bei'luo
晴戈,qing'ge
晴空大人,qing'kong'da'ren
晴守,qing'shou
晴指环,qing'zhi'huan
晴之火焰,qing'zhi'huo'yan
晴之戒,qing'zhi'jie
晴之守护者,qing'zhi'shou'hu'zhe
晴之指环,qing'zhi'zhi'huan
秋本圣,qiu'ben'sheng
拳击笨蛋,quan'ji'ben'dan
人间道,ren'jian'dao
溶解毒樱饼,rong'jie'du'ying'bing
柔之炎,rou'zhi'yan
入白,ru'bai
入江正一,ru'jiang'zheng'yi
三叉戟,san'cha'ji
三叉戟夏马尔,san'cha'ji'xia'ma'er
三瓶由布子,san'ping'you'bu'zi
三浦春,san'pu'chun
山本的球棒,shan'ben'de'qiu'bang
山本刚,shan'ben'gang
山本武,shan'ben'wu
山纲,shan'gang
山狱,shan'yu
山芋,shan'yu
深见梨加,shen'jian'li'jia
胜矢,sheng'shi
柿本,shi'ben
柿本千种,shi'ben'qian'zhong
十代目,shi'dai'mu
时光旅行,shi'guang'lv'xing
石井翔子,shi'jing'xiang'zi
史卡鲁,shi'ka'lu
史库瓦罗,shi'ku'wa'luo
市瀬秀和,shi'lai'xiu'he
史佩尔毕,shi'pei'er'bi
时雨苍燕流,shi'yu'cang'yan'liu
时雨金时,shi'yu'jin'shi
甩拐,shuai'guai
双氧水君,shuang'yang'shui'jun
双氧水菌,shuang'yang'shui'jun
斯贝尔比斯夸罗,si'bei'er'bi'si'kua'luo
四剑,si'jian
斯夸罗,si'kua'luo
斯帕纳,si'pa'na
死气,si'qi
死气弹,si'qi'dan
死气火焰,si'qi'huo'yan
死气丸,si'qi'wan
寺狱,si'yu
太猿,tai'yuan
叹息弹,tan'xi'dan
桃君,tao'jun
桃菌,tao'jun
特式,te'shi
笹川京子,ti'chuan'jing'zi
笹川了平,ti'chuan'le'ping
天界道,tian'jie'dao
天空之戒,tian'kong'zhi'jie
甜文,tian'wen
天野,tian'ye
天野明,tian'ye'ming
天野娘,tian'ye'niang
田中理恵,tian'zhong'li'hui
跳马迪诺,tiao'ma'di'nuo
筒子定时炸弹,tong'zi'ding'shi'zha'dan
图废,tu'fei
