安永富煤矿,an'yong'fu'mei'kuang
八道岗,ba'dao'gang
八五五,ba'wu'wu
八一五七三,ba'yi'wu'qi'san
保安仁诊所,bao'an'ren'zhen'suo
宝泰隆,bao'tai'long
北大建材,bei'da'jian'cai
北岗家属楼,bei'gang'jia'shu'lou
博爱医院,bo'ai'yi'yuan
彩城,cai'cheng
采煤队,cai'mei'dui
车辆段,che'liang'duan
城市信用社,cheng'shi'xin'yong'she
出租车管理所,chu'zu'che'guan'li'suo
大航技校,da'hang'ji'xiao
大红象,da'hong'xiang
大吉公司,da'ji'gong'si
大酱厂,da'jiang'chang
大自然,da'zi'ran
道口鱼肉馆,dao'kou'yu'rou'guan
德康口腔诊所,de'kang'kou'qiang'zhen'suo
第九中学,di'jiu'zhong'xue
地煤公司,di'mei'gong'si
第三中学,di'san'zhong'xue
第十小学,di'shi'xiao'xue
第十中学,di'shi'zhong'xue
第五小学,di'wu'xiao'xue
电厂,dian'chang
碟社,die'she
东方花园,dong'fang'hua'yuan
东方名苑,dong'fang'ming'yuan
东风村,dong'feng'cun
东风公房,dong'feng'gong'fang
东风街道社区,dong'feng'jie'dao'she'qu
东风九井,dong'feng'jiu'jing
东风矿办,dong'feng'kuang'ban
东风派出所,dong'feng'pai'chu'suo
东风四小,dong'feng'si'xiao
东风医院,dong'feng'yi'yuan
东风邮局,dong'feng'you'ju
东风中学,dong'feng'zhong'xue
东河村,dong'he'cun
东建租赁站,dong'jian'zu'lin'zhan
东辆段,dong'liang'duan
东升村,dong'sheng'cun
东胜村,dong'sheng'cun
东升道口,dong'sheng'dao'kou
东升蔬菜园,dong'sheng'shu'cai'yuan
二井道口,er'jing'dao'kou
二粮库,er'liang'ku
二塑住宅楼,er'su'zhu'zhai'lou
二砖厂,er'zhuan'chang
房产局,fang'chan'ju
风源工业园,feng'yuan'gong'ye'yuan
佛宝寺,fo'bao'si
福利院,fu'li'yuan
富强村,fu'qiang'cun
富强医院,fu'qiang'yi'yuan
富瑞得,fu'rui'de
噶陀洲,ga'tuo'zhou
缸百,gang'bai
肛肠医院,gang'chang'yi'yuan
缸窑沟街道,gang'yao'gou'jie'dao
高飞租赁站,gao'fei'zu'lin'zhan
高级中学,gao'ji'zhong'xue
葛陀洲,ge'tuo'zhou
公安局,gong'an'ju
供电站,gong'dian'zhan
公路管理站,gong'lu'guan'li'zhan
