绑扎,bang'za
比降,bi'jiang
边夯,bian'hang
边坡,bian'po
编织袋,bian'zhi'dai
编织袋砂砾石围堰,bian'zhi'dai'sha'li'shi'wei'yan
编织袋围堰,bian'zhi'dai'wei'yan
标号,biao'hao
草袋,cao'dai
草袋粘土围堰,cao'dai'nian'tu'wei'yan
草袋围堰,cao'dai'wei'yan
粗料石,cu'liao'shi
打夯,da'hang
挡墙,dang'qiang
挡土墙,dang'tu'qiang
倒运,dao'yun
陡坡,dou'po
斗渠,dou'qu
颚式破碎机,e'shi'po'sui'ji
反滤料,fan'lv'liao
翻晒,fan'shai
方块石,fang'kuai'shi
防浪墙,fang'lang'qiang
防渗墙,fang'shen'qiang
分流计,fen'liu'ji
粉砂,fen'sha
封底,feng'di
干沟,gan'gou
干砌石,gan'qi'shi
钢筋,gang'jin
钢筋笼,gang'jin'long
钢筋制安,gang'jin'zhi'an
工程量清单,gong'cheng'liang'qing'dan
勾缝,gou'feng
过渡层,guo'du'ceng
夯实,hang'shi
护岸,hu'an
护底,hu'di
护坡,hu'po
护砌,hu'qi
黄砂,huang'sha
混凝土,hun'ning'tu
混凝土拌和系统,hun'ning'tu'ban'huo'xi'tong
混凝土浇筑,hun'ning'tu'jiao'zhu
基础,ji'chu
机电设备安装,ji'dian'she'bei'an'zhuang
基坑排水,ji'keng'pai'shui
浆砌,jiang'qi
浆砌方块石,jiang'qi'fang'kuai'shi
浆砌块石,jiang'qi'kuai'shi
浆砌乱石,jiang'qi'luan'shi
浆砌石,jiang'qi'shi
浆砌条料石,jiang'qi'tiao'liao'shi
浆砌砖,jiang'qi'zhuan
胶轮车,jiao'lun'che
截渗墙,jie'shen'qiang
截水槽,jie'shui'cao
金属结构安装,jin'shu'jie'gou'an'zhuang
块石,kuai'shi
零星构件,ling'xing'gou'jian
路沿石,lu'yan'shi
乱石,luan'shi
卵石,luan'shi
履带拖拉机,lv'dai'tuo'la'ji
滤料,lv'liao
滤体,lv'ti
毛渠,mao'qu
帽石,mao'shi
毛石,mao'shi
抹面,mo'mian
粘土心墙,nian'tu'xin'qiang
碾压,nian'ya
扭面,niu'mian
扭坡,niu'po
农渠,nong'qu
农用分流计,nong'yong'fen'liu'ji
抛石,pao'shi
启闭机,qi'bi'ji
弃土,qi'tu
铅丝笼,qian'si'long
清基,qing'ji
洒水车,sa'shui'che
砂垫层,sha'dian'ceng
砂砾料,sha'li'liao
砂砾石,sha'li'shi
砂石料筛分系统,sha'shi'liao'shai'fen'xi'tong
伸缩缝,shen'suo'feng
石粉,shi'fen
石英砂,shi'ying'sha
石子,shi'zi
碎石,sui'shi
碎石垫层,sui'shi'dian'ceng
台班,tai'ban
台日,tai'ri
抬运,tai'yun
填石,tian'shi
条料石,tiao'liao'shi
调直机,tiao'zhi'ji
铜止水,tong'zhi'shui
土石方开挖,tu'shi'fang'kai'wa
土石方填筑,tu'shi'fang'tian'zhu
蛙式打夯机,wa'shi'da'hang'ji
挖土,wa'tu
挖运,wa'yun
帷幕灌浆,wei'mu'guan'jiang
围堰,wei'yan
细度模数,xi'du'mo'shu
细料石,xi'liao'shi
细砂,xi'sha
细石,xi'shi
橡胶止水,xiang'jiao'zhi'shui
镶面,xiang'mian
心墙,xin'qiang
压顶,ya'ding
压顶石,ya'ding'shi
羊角碾,yang'jiao'nian
溢流坝,yi'liu'ba
溢流面,yi'liu'mian
翼墙,yi'qiang
鱼道,yu'dao
运土,yun'tu
凿毛,zao'mao
闸塘,zha'tang
支沟,zhi'gou
支渠,zhi'qu
中砂,zhong'sha
筑堤,zhu'di
铸铁闸门,zhu'tie'zha'men
紫铜止水,zi'tong'zhi'shui
自卸汽车,zi'xie'qi'che
