阿柏怪,a'bai'guai
阿柏蛇,a'bai'she
阿笔,a'bi
阿勃梭鲁,a'bo'suo'lu
阿锦,a'jin
阿桔,a'ju
阿利多斯,a'li'duo'si
阿蜜,a'mi
阿四,a'si
阿速,a'su
阿杏,a'xing
阿义,a'yi
艾比郎,ai'bi'lang
爱哭树,ai'ku'shu
艾莉嘉,ai'li'jia
爱心鱼,ai'xin'yu
安瓢虫,an'piao'chong
暗器槌,an'qi'chui
奥黛莉,ao'dai'li
奥多马雷,ao'duo'ma'lei
傲骨燕,ao'gu'yan
巴大蝴,ba'da'hu
巴尔郎,ba'er'lang
芭瓢虫,ba'piao'chong
巴特勒,ba'te'le
霸王花,ba'wang'hua
百变怪,bai'bian'guai
白海狮,bai'hai'shi
百万吨飞踢,bai'wan'dun'fei'ti
百万吨拳击,bai'wan'dun'quan'ji
百万吨吸收,bai'wan'dun'xi'shou
白雾,bai'wu
白银山,bai'yin'shan
班吉拉,ban'ji'la
阪木,ban'mu
绑紧,bang'jin
帮助,bang'zhu
宝宝丁,bao'bao'ding
宝贝龙,bao'bei'long
报仇,bao'chou
报恩,bao'en
暴风雪,bao'feng'xue
保护色,bao'hu'se
暴鲤龙,bao'li'long
爆裂拳,bao'lie'quan
暴蝾螈,bao'rong'yuan
宝石海星,bao'shi'hai'xing
保守,bao'shou
爆音怪,bao'yin'guai
保育家,bao'yu'jia
爆炸燃烧,bao'zha'ran'shao
孢子,bao'zi
贝壳盔甲,bei'ke'kui'jia
笨笨鱼,ben'ben'yu
本葛雷,ben'ge'lei
比比鸟,bi'bi'niao
比雕,bi'diao
避雷针,bi'lei'zhen
必杀门牙,bi'sha'men'ya
比夏斯,bi'xia'si
变色,bian'se
变身,bian'shen
变小,bian'xiao
变性,bian'xing
变隐龙,bian'yin'long
表面涂层,biao'mian'tu'ceng
冰雹,bing'bao
冰鬼护,bing'gui'hu
冰块攻击,bing'kuai'gong'ji
冰球,bing'qiu
冰针,bing'zhen
冰之牙,bing'zhi'ya
波波,bo'bo
波导弹,bo'dao'dan
波克比,bo'ke'bi
波克基古,bo'ke'ji'gu
波妮,bo'ni
波士可多拉,bo'shi'ke'duo'la
薄雾球,bo'wu'qiu
不可思议的迷宫,bu'ke'si'yi'de'mi'gong
布卢,bu'lu
布卢皇,bu'lu'huang
彩虹市,cai'hong'shi
裁决飞石,cai'jue'fei'shi
草笛魔音,cao'di'mo'yin
草结,cao'jie
叉字蝠,cha'zi'fu
长鼻叶,chang'bi'ye
长翅鸥,chang'chi'ou
唱歌,chang'ge
长毛猪,chang'mao'zhu
常磐森林,chang'pan'sen'lin
常磐市,chang'pan'shi
长尾怪手,chang'wei'guai'shou
朝北鼻,chao'bei'bi
超击,chao'ji
超级吸收,chao'ji'xi'shou
超力王,chao'li'wang
超梦,chao'meng
吵闹,chao'nao
潮水,chao'shui
潮漩,chao'xuan
超音波,chao'yin'bo
超音波幼虫,chao'yin'bo'you'chong
超音蝠,chao'yin'fu
晨光,chen'guang
沈着,chen'zhe
城都,cheng'dou
城都地方,cheng'dou'di'fang
橙华森林,cheng'hua'sen'lin
橙华市,cheng'hua'shi
乘龙,cheng'long
翅膀攻击,chi'bang'gong'ji
迟钝,chi'dun
赤焰松,chi'yan'song
充电,chong'dian
充电光束,chong'dian'guang'shu
冲击,chong'ji
冲浪,chong'lang
虫鸣,chong'ming
宠物小精灵,chong'wu'xiao'jing'ling
虫蛀,chong'zhu
冲钻,chong'zuan
臭臭花,chou'chou'hua
臭臭泥,chou'chou'ni
臭泥,chou'ni
臭泥爆弹,chou'ni'bao'tan
储存,chu'cun
处罚,chu'fa
触手百合,chu'shou'bai'he
储水,chu'shui
除雾,chu'wu
穿山鼠,chuan'shan'shu
穿山王,chuan'shan'wang
纯一,chun'yi
次郎,ci'lang
磁力,ci'li
刺龙王,ci'long'wang
磁铁炸弹,ci'tie'zha'dan
刺尾虫,ci'wei'chong
催眠术,cui'mian'shu
催醒,cui'xing
大爆炸,da'bao'zha
大葱鸭,da'cong'ya
大胆,da'dan
大地之力,da'di'zhi'li
大颚蚁,da'e'yi
大钢蛇,da'gang'she
大谷育江,da'gu'yu'jiang
打鼾,da'han
大甲,da'jia
大菊花,da'ju'hua
达拉,da'la
大狼犬,da'lang'quan
打雷,da'lei
大力鳄,da'li'e
大力士,da'li'shi
达马岚其会长,da'ma'lan'qi'hui'zhang
大木博士,da'mu'bo'shi
大奶罐,da'nai'guan
大钳蟹,da'qian'xie
大晴天,da'qing'tian
大舌贝,da'she'bei
大蛇瞪眼,da'she'deng'yan
