北固街口,bei'gu'jie'kou
北固乡,bei'gu'xiang
北固小学,bei'gu'xiao'xue
北固医院,bei'gu'yi'yuan
滨江中路,bin'jiang'zhong'lu
殡仪馆,bin'yi'guan
岔路口,cha'lu'kou
城北粮站,cheng'bei'liang'zhan
城北小学,cheng'bei'xiao'xue
船山公园,chuan'shan'gong'yuan
川中大市场,chuan'zhong'da'shi'chang
慈音寺,ci'yin'si
大东街,da'dong'jie
大桥东头,da'qiao'dong'tou
大石头岔口,da'shi'tou'cha'kou
德胜路东,de'sheng'lu'dong
德胜路东段,de'sheng'lu'dong'duan
德胜路西口,de'sheng'lu'xi'kou
电江路,dian'jiang'lu
电江路口,dian'jiang'lu'kou
斗城商都,dou'cheng'shang'du
二井沟口,er'jing'gou'kou
二中新校区,er'zhong'xin'xiao'qu
飞机坪上口,fei'ji'ping'shang'kou
飞机坪下口,fei'ji'ping'xia'kou
涪江二桥东头,fu'jiang'er'qiao'dong'tou
涪江二桥西头,fu'jiang'er'qiao'xi'tou
涪江三桥东,fu'jiang'san'qiao'dong
涪江三桥东头,fu'jiang'san'qiao'dong'tou
涪江三桥西头,fu'jiang'san'qiao'xi'tou
富源路口,fu'yuan'lu'kou
富源路招呼站,fu'yuan'lu'zhao'hu'zhan
工商局,gong'shang'ju
公园口,gong'yuan'kou
公园桥,gong'yuan'qiao
广德寺,guang'de'si
广德小区,guang'de'xiao'qu
和平路,he'ping'lu
和平路东口,he'ping'lu'dong'kou
和平路口,he'ping'lu'kou
和平路西口,he'ping'lu'xi'kou
红十字医院,hong'shi'zi'yi'yuan
化工厂,hua'gong'chang
火车站,huo'che'zhan
机电校,ji'dian'xiao
嘉禾桥,jia'he'qiao
界福路东口,jie'fu'lu'dong'kou
介福路西口,jie'fu'lu'xi'kou
界福桥,jie'fu'qiao
街市花园,jie'shi'hua'yuan
金诚街,jin'cheng'jie
九莲街,jiu'lian'jie
军休所,jun'xiu'suo
凯东家具城,kai'dong'jia'ju'cheng
开善寺,kai'shan'si
凯旋东路口,kai'xuan'dong'lu'kou
康年大酒店,kang'nian'da'jiu'dian
雷达站,lei'da'zhan
灵泉风景区,ling'quan'feng'jing'qu
灵泉寺,ling'quan'si
灵应寺,ling'ying'si
龙坪,long'ping
龙坪小学,long'ping'xiao'xue
龙坪中学,long'ping'zhong'xue
龙神庙,long'shen'miao
龙尾堰,long'wei'yan
美宁食品,mei'ning'shi'pin
米家桥,mi'jia'qiao
明清织布厂,ming'qing'zhi'bu'chang
明月西路口,ming'yue'xi'lu'kou
南坝车间,nan'ba'che'jian
南坝路口,nan'ba'lu'kou
南航路口,nan'hang'lu'kou
南津桥,nan'jin'qiao
南津桥招呼站,nan'jin'qiao'zhao'hu'zhan
南门车站,nan'men'che'zhan
南坪岔路,nan'ping'cha'lu
南小区,nan'xiao'qu
南小区菜市场,nan'xiao'qu'cai'shi'chang
南垭寺,nan'ya'si
南转盘,nan'zhuan'pan
蓬溪大厦,peng'xi'da'sha
啤酒厂,pi'jiu'chang
旗山村,qi'shan'cun
千佛岩,qian'fo'yan
仁里场,ren'li'chang
仁里场开发区,ren'li'chang'kai'fa'qu
仁里镇,ren'li'zhen
三清街,san'qing'jie
商步街,shang'bu'jie
商业步行街,shang'ye'bu'xing'jie
盛世锦城,sheng'shi'jin'cheng
市法院,shi'fa'yuan
市法院招呼站,shi'fa'yuan'zhao'hu'zhan
市环保局,shi'huan'bao'ju
市检察院,shi'jian'cha'yuan
市交警支队,shi'jiao'jing'zhi'dui
市人大,shi'ren'da
市人民医院,shi'ren'min'yi'yuan
师校,shi'xiao
实验高中,shi'yan'gao'zhong
实验中学,shi'yan'zhong'xue
市政府,shi'zheng'fu
市职中,shi'zhi'zhong
市中医院,shi'zhong'yi'yuan
双拱桥村,shuang'gong'qiao'cun
顺安驾校,shun'an'jia'xiao
四川职业技术学院,si'chuan'zhi'ye'ji'shu'xue'yuan
遂宁市委,sui'ning'shi'wei
遂中路,sui'zhong'lu
遂中外语校,sui'zhong'wai'yu'xiao
遂州商场,sui'zhou'shang'chang
泰佳尔阳光城,tai'jia'er'yang'guang'cheng
桃花山,tao'hua'shan
体育馆,ti'yu'guan
体育馆大桥头,ti'yu'guan'da'qiao'tou
天宫路,tian'gong'lu
天龙山公墓,tian'long'shan'gong'mu
天星坝村,tian'xing'ba'cun
天友宾馆,tian'you'bin'guan
铁路桥,tie'lu'qiao
通慧桥招呼站,tong'hui'qiao'zhao'hu'zhan
通泉街口,tong'quan'jie'kou
桐子桠,tong'zi'ya
桐梓垭,tong'zi'ya
桐梓垭超市,tong'zi'ya'chao'shi
王家湾,wang'jia'wan
吴家湾,wu'jia'wan
五里垭,wu'li'ya
污水厂,wu'shui'chang
洗车厂,xi'che'chang
犀牛广场,xi'niu'guang'chang
消防支队,xiao'fang'zhi'dui
肖家垭口,xiao'jia'ya'kou
鑫乐塑料,xin'le'su'liao
新市场,xin'shi'chang
畜牧局,xu'mu'ju
丫字路口,ya'zi'lu'kou
燕山小学,yan'shan'xiao'xue
银河嘉园,yin'he'jia'yuan
银河家园,yin'he'jia'yuan
尹家花园,yin'jia'hua'yuan
永盛桥,yong'sheng'qiao
永兴镇,yong'xing'zhen
永逸家居,yong'yi'jia'ju
油房街东口,you'fang'jie'dong'kou
邮政宾馆,you'zheng'bin'guan
育才东路,yu'cai'dong'lu
育才路,yu'cai'lu
育才路西口,yu'cai'lu'xi'kou
瑜新纺织,yu'xin'fang'zhi
曾家沟村,zeng'jia'gou'cun
张飞良村,zhang'fei'liang'cun
招呼站,zhao'hu'zhan
轴瓦厂,zhou'wa'chang
朱家湾,zhu'jia'wan
紫东街东口,zi'dong'jie'dong'kou
