阿卜杜,a'bu'du
奥瓦伦斯航空,ao'wa'lun'si'hang'kong
巴巴卡,ba'ba'ka
巴巴卡卡马拉,ba'ba'ka'ka'ma'la
巴博萨,ba'bo'sa
巴蒂,ba'di
巴蒂尔,ba'di'er
巴蒂斯塔,ba'di'si'ta
巴格纳尼,ba'ge'na'ni
巴克利,ba'ke'li
巴克曼,ba'ke'man
巴克纳,ba'ke'na
巴雷特,ba'lei'te
巴里,ba'li
巴龙,ba'long
巴伦西亚帕梅萨,ba'lun'xi'ya'pa'mei'sa
巴内斯,ba'nei'si
巴瑞尔,ba'rui'er
巴塞罗纳,ba'sai'luo'na
巴斯,ba'si
巴斯顿,ba'si'dun
巴特勒,ba'te'le
八一,ba'yi
八一队,ba'yi'dui
八一双鹿电池,ba'yi'shuang'lu'dian'chi
八一双鹿电池队,ba'yi'shuang'lu'dian'chi'dui
白帆,bai'fan
拜伦,bai'lun
拜伦戴维斯,bai'lun'dai'wei'si
拜姆,bai'mu
拜纳姆,bai'na'mu
班贝格布罗斯,ban'bei'ge'bu'luo'si
板凳球员,ban'deng'qiu'yuan
班克斯,ban'ke'si
邦奇,bang'qi
邦奇维尔士,bang'qi'wei'er'shi
邦奇威尔斯,bang'qi'wei'er'si
保奥希斯,bao'ao'xi'si
鲍比,bao'bi
鲍比杰克逊,bao'bi'jie'ke'xun
鲍比琼斯,bao'bi'qiong'si
鲍比西蒙斯,bao'bi'xi'meng'si
保加利亚卢考伊学院,bao'jia'li'ya'lu'kao'yi'xue'yuan
保罗,bao'luo
保罗戴维斯,bao'luo'dai'wei'si
保罗加索尔,bao'luo'jia'suo'er
保罗米尔萨普,bao'luo'mi'er'sa'pu
保罗皮尔斯,bao'luo'pi'er'si
鲍威尔,bao'wei'er
鲍文,bao'wen
贝尔,bei'er
贝尔格莱德红星,bei'er'ge'lai'de'hong'xing
贝尔格莱德游击队,bei'er'ge'lai'de'you'ji'dui
背后换手运球,bei'hou'huan'shou'yun'qiu
北京金隅,bei'jing'jin'yu
北京金隅队,bei'jing'jin'yu'dui
贝克,bei'ke
贝里内利,bei'li'nei'li
背身灌篮,bei'shen'guan'lan
贝西克塔斯,bei'xi'ke'ta'si
本高登,ben'gao'deng
本戈登,ben'ge'deng
本华莱士,ben'hua'lai'shi
毕比,bi'bi
比德林斯,bi'de'lin'si
比利时查雷罗,bi'li'shi'cha'lei'luo
比利斯奥斯坦德泰林达斯,bi'li'si'ao'si'tan'de'tai'lin'da'si
比利托马斯,bi'li'tuo'ma'si
比卢普斯,bi'lu'pu'si
比诺,bi'nuo
比诺尤德里,bi'nuo'you'de'li
比赛篇,bi'sai'pian
比赛用时钟,bi'sai'yong'shi'zhong
边强,bian'qiang
博奥特罗,bo'ao'te'luo
博甘斯,bo'gan'si
博格特,bo'ge'te
伯克,bo'ke
波拉德,bo'la'de
博拉奇,bo'la'qi
波兰安维尔,bo'lan'an'wei'er
波兰斯拉斯克,bo'lan'si'la'si'ke
波兰索波特,bo'lan'suo'bo'te
波兰图罗夫,bo'lan'tu'luo'fu
博列森,bo'lie'sen
柏林晨曲,bo'lin'chen'qu
博洛尼亚维迪维奇,bo'luo'ni'ya'wei'di'wei'qi
博洛尼亚乌比姆,bo'luo'ni'ya'wu'bi'mu
伯纳德罗宾逊,bo'na'de'luo'bin'xun
博纳尔,bo'na'er
博尼费斯涅顿,bo'ni'fei'si'nie'dun
伯什,bo'shen
波什,bo'shen
波士顿凯尔特人,bo'shi'dun'kai'er'te'ren
波士顿凯尔特人队,bo'shi'dun'kai'er'te'ren'dui
波斯简,bo'si'jian
波斯简诺克巴,bo'si'jian'nuo'ke'ba
波斯纳,bo'si'na
波斯尼亚波斯纳,bo'si'ni'ya'bo'si'na
波塔潘科,bo'ta'pan'ke
