北斗镇,bei'dou'zhen
北口村,bei'kou'cun
草湖,cao'hu
长安村,chang'an'cun
大村,da'cun
大肚溪,da'du'xi
大竹村,da'zhu'cun
大竹里,da'zhu'li
顶五庄,ding'wu'zhuang
东北里,dong'bei'li
东口,dong'kou
东社,dong'she
东势,dong'shi
二林镇,er'lin'zhen
二水,er'shui
芳苑,fang'yuan
芬园,fen'yuan
福宝村,fu'bao'cun
福兴,fu'xing
公厝,gong'cuo
鹤鸣村,he'ming'cun
柯厝,ke'cuo
陆丰村,lu'feng'cun
鹿港镇,lu'gang'zhen
南安里,nan'an'li
埤头,pi'tou
平和村,ping'he'cun
埔尾,pu'wei
埔心,pu'xin
埔盐,pu'yan
桥头村,qiao'tou'cun
三民里,san'min'li
三条村,san'tiao'cun
社头,she'tou
伸港,shen'gang
水尾,shui'wei
水源地,shui'yuan'di
田尾,tian'wei
田中镇,tian'zhong'zhen
铁山里,tie'shan'li
挖仔,wa'zai
万兴,wan'xing
湾子口,wan'zi'kou
王功,wang'gong
文德村,wen'de'cun
梧凤村,wu'feng'cun
西港,xi'gang
溪湖镇,xi'hu'zhen
西寮,xi'liao
溪州,xi'zhou
下寮,xia'liao
下庄,xia'zhuang
线西,xian'xi
新宝村,xin'bao'cun
新港,xin'gang
新街村,xin'jie'cun
新水村,xin'shui'cun
新兴村,xin'xing'cun
新庄,xin'zhuang
新庄村,xin'zhuang'cun
秀水,xiu'shui
永靖,yong'jing
永兴村,yong'xing'cun
原斗,yuan'dou
员林镇,yuan'lin'zhen
元中村,yuan'zhong'cun
彰化县,zhang'hua'xian
中和村,zhong'he'cun
竹塘,zhu'tang
