阿丹,a'dan
安南村,an'nan'cun
八角亭,ba'jiao'ting
褒忠,bao'zhong
北港镇,bei'gang'zhen
草湖,cao'hu
草岭,cao'ling
重兴村,chong'xing'cun
大埔尾,da'bu'wei
大湖口,da'hu'kou
大仑,da'lun
大埤,da'pi
大山村,da'shan'cun
大新里,da'xin'li
大有,da'you
定安村,ding'an'cun
东和村,dong'he'cun
东势,dong'shi
东屯,dong'tun
斗南镇,dou'nan'zhen
二仑,er'lun
蕃薯,fan'shu
丰荣,feng'rong
复兴村,fu'xing'cun
港尾,gang'wei
古坑,gu'keng
广兴里,guang'xing'li
过港村,guo'gang'cun
海丰村,hai'feng'cun
好收,hao'shou
后沟,hou'gou
后庄子,hou'zhuang'zi
湖山村,hu'shan'cun
虎尾溪,hu'wei'xi
虎尾镇,hu'wei'zhen
惠来里,hui'lai'li
金湖,jin'hu
九安里,jiu'an'li
开垦地,kai'ken'di
口湖,kou'hu
林厝寮,lin'cuo'liao
林内,lin'nei
鹿场,lu'chang
六合村,lu'he'cun
仑子,lun'zi
马光,ma'guang
马鸣山,ma'ming'shan
麦寮,mai'liao
梅林村,mei'lin'cun
埔心,pu'xin
饶平村,rao'ping'cun
山寮,shan'liao
水林,shui'lin
四湖,si'hu
松林,song'lin
台西,tai'xi
田头,tian'tou
土库镇,tu'ku'zhen
外湖,wai'hu
吴厝,wu'cuo
无底潭,wu'di'tan
西螺镇,xi'luo'zhen
西庄,xi'zhuang
下街子,xia'jie'zi
下仑,xia'lun
下湳,xia'nan
新安里,xin'an'li
新店,xin'dian
新仑,xin'lun
新庄子,xin'zhuang'zi
义庄村,yi'zhuang'cun
永定村,yong'ding'cun
元长,yuan'chang
云林县,yun'lin'xian
