阿万音铃羽,a'wan'yin'ling'yu
阿万音由纪,a'wan'yin'you'ji
比屋定真帆,bi'wu'ding'zhen'fan
比翼连理,bi'yi'lian'li
打工战士,da'gong'zhan'shi
电话烤箱,dian'hua'kao'xiang
嘟嘟噜,du'du'lu
菲利斯,fei'li'si
凤凰院凶真,feng'huang'yuan'xiong'zhen
冈部伦太郎,gang'bu'lun'tai'lang
克里斯,ke'li'si
克里斯蒂娜,ke'li'si'di'na
克里斯汀娜,ke'li'si'ting'na
麻由喜,ma'you'xi
萌郁,meng'yu
命运石之门,ming'yun'shi'zhi'men
牧濑红莉栖,mu'lai'hong'li'qi
漆原琉华,qi'yuan'liu'hua
桥田铃羽,qiao'tian'ling'yu
桥田至,qiao'tian'zhi
秋叶留未穂,qiu'ye'liu'wei'sui
闪光的指压师,shan'guang'de'zhi'ya'shi
世界线,shi'jie'xian
提托,ti'tuo
天王寺绹,tian'wang'si'tao
天王寺裕吾,tian'wang'si'yu'wu
桐生萌郁,tong'sheng'meng'yu
桶子,tong'zi
未来道具研究所,wei'lai'dao'ju'yan'jiu'suo
凶真,xiong'zhen
胸针,xiong'zhen
妖刀五月雨,yao'dao'wu'yue'yu
约翰提托,yue'han'ti'tuo
真由喜,zhen'you'xi
中钵博士,zhong'bo'bo'shi
助手,zhu'shou
椎名真由理,zhui'ming'zhen'you'li
