阿黑与阿诗玛,a'hei'yu'a'shi'ma
阿双全,a'shuang'quan
阿彦涛,a'yan'tao
艾世菊,ai'shi'ju
爱恬,ai'tian
暗场,an'chang
安康道情,an'kang'dao'qing
安康曲子,an'kang'qu'zi
安平,an'ping
庵堂认母,an'tang'ren'mu
安天会,an'tian'hui
八步景,ba'bu'jing
八岔,ba'cha
把场,ba'chang
八答仓,ba'da'cang
八大锤,ba'da'chui
八卦衣,ba'gua'yi
扒豁子,ba'huo'zi
八蜡庙,ba'la'miao
巴陵戏,ba'ling'xi
巴骆和,ba'luo'he
灞桥挑袍,ba'qiao'tiao'pao
霸王别姬,ba'wang'bie'ji
霸王庄,ba'wang'zhuang
罢宴,ba'yan
扒字调,ba'zi'diao
把子功,ba'zi'gong
白,bai
白葆亭,bai'bao'ting
白帝城,bai'di'cheng
白桦,bai'hua
白甲白盔白旗号,bai'jia'bai'kui'bai'qi'hao
白家林,bai'jia'lin
白剧,bai'ju
白良关,bai'liang'guan
百凉楼,bai'liang'lou
白绫记,bai'ling'ji
白龙岩,bai'long'yan
白马坡,bai'ma'po
白蟒台,bai'mang'tai
白毛女,bai'mao'nv
白门楼,bai'men'lou
白朴,bai'pu
百骑劫魏营,bai'qi'jie'wei'ying
摆砌末,bai'qie'mo
白全福,bai'quan'fu
白蛇传,bai'she'zhuan
百寿图,bai'shou'tu
摆台,bai'tai
百戏,bai'xi
白晓芳,bai'xiao'fang
白英杰,bai'ying'jie
白永蔚,bai'yong'wei
白玉,bai'yu
白玉霜,bai'yu'shuang
拜月亭,bai'yue'ting
白字戏,bai'zi'xi
板,ban
半霸,ban'ba
班德贵,ban'de'gui
班底,ban'di
班规,ban'gui
板式,ban'shi
班松麟,ban'song'lin
板眼,ban'yan
傍角儿,bang'jue'er
帮腔,bang'qiang
梆子吹打,bang'zi'chui'da
梆子腔,bang'zi'qiang
包长春,bao'chang'chun
包袱,bao'fu
宝刚,bao'gang
宝卷,bao'juan
宝莲灯,bao'lian'deng
包龙图打坐在开封府,bao'long'tu'da'zuo'zai'kai'feng'fu
报名一锣,bao'ming'yi'luo
宝寿华,bao'shou'hua
包头,bao'tou
包文年,bao'wen'nian
包银,bao'yin
报子,bao'zi
报子旗,bao'zi'qi
背凳,bei'deng
背工音,bei'gong'yin
北昆,bei'kun
孛老,bei'lao
北曲,bei'qu
背娃入府,bei'wa'ru'fu
本嗓,ben'sang
本戏,ben'xi
本应当随母亲镐京避难,ben'ying'dang'sui'mu'qin'hao'jing'bi'nan
崩登仓,beng'deng'cang
逼上梁山,bi'shang'liang'shan
毕学祥,bi'xue'xiang
毕英奇,bi'ying'qi
碧玉簪,bi'yu'zan
编辫子,bian'bian'zi
变脸,bian'lian
边振新,bian'zhen'xin
表白,biao'bai
镖囊,biao'nang
镖旗,biao'qi
标旗,biao'qi
表演程式,biao'yan'cheng'shi
别宫祭江,bie'gong'ji'jiang
宾,bin
宾福,bin'fu
斌庆社,bin'qing'she
钹,bo
卜儿,bo'er
钵盂,bo'yu
布城,bu'cheng
不搭调,bu'da'diao
布衣戏,bu'yi'xi
布帐,bu'zhang
蔡家庄,cai'jia'zhuang
踩蹻,cai'jiao
彩剧,cai'ju
彩排,cai'pai
蔡培生,cai'pei'sheng
彩匣子,cai'xia'zi
彩鞋,cai'xie
蔡玉衡,cai'yu'heng
参军戏,can'jun'xi
藏剧,cang'ju
曹宝春,cao'bao'chun
曹操与杨修,cao'cao'yu'yang'xiu
曹鹤阳,cao'he'yang
曹金星,cao'jin'xing
曹俊清,cao'jun'qing
草桥关,cao'qiao'guan
曹庆波,cao'qing'bo
草原英雄小姐妹,cao'yuan'ying'xiong'xiao'jie'mei
曹云金,cao'yun'jin
曹中民,cao'zhong'min
曾开言我的泪双流,ceng'kai'yan'wo'de'lei'shuang'liu
茬平花鼓戏,cha'ping'hua'gu'xi
柴桑关,chai'sang'guan
钗头凤,chai'tou'feng
长坂坡,chang'ban'po
常葆臣,chang'bao'chen
常宝丰,chang'bao'feng
常宝华,chang'bao'hua
常宝堃,chang'bao'kun
常宝霖,chang'bao'lin
常宝霆,chang'bao'ting
常德汉剧,chang'de'han'ju
常德丝弦,chang'de'si'xian
常福荃,chang'fu'quan
唱功戏,chang'gong'xi
常贵德,chang'gui'de
常贵田,chang'gui'tian
长尖,chang'jian
长吭,chang'keng
常连安,chang'lian'an
唱念做打,chang'nian'zuo'da
常佩业,chang'pei'ye
常秋月,chang'qiu'yue
长沙花鼓戏,chang'sha'hua'gu'xi
长生殿,chang'sheng'dian
长丝头,chang'si'tou
长亭会,chang'ting'hui
常香玉,chang'xiang'yu
常越,chang'yue
常帐,chang'zhang
唱赚,chang'zhuan
潮剧,chao'ju
朝天镫,chao'tian'deng
潮州影戏,chao'zhou'ying'xi
车旗,che'qi
车文通,che'wen'tong
陈宝泰,chen'bao'tai
陈秉文,chen'bing'wen
臣不奏前三皇后代五帝,chen'bu'zou'qian'san'huang'hou'dai'wu'di
陈德霖,chen'de'lin
陈东国,chen'dong'guo
陈风鸣,chen'feng'ming
陈冠义,chen'guan'yi
陈桂林,chen'gui'lin
陈桂鑫,chen'gui'xin
陈国华,chen'guo'hua
陈寒柏,chen'han'bai
辰河戏,chen'he'xi
陈进山,chen'jin'shan
陈君志,chen'jun'zhi
陈连仲,chen'lian'zhong
陈鲁平,chen'lu'ping
陈鸣志,chen'ming'zhi
陈佩斯,chen'pei'si
陈庆,chen'qing
陈庆升,chen'qing'sheng
陈三两爬堂,chen'san'liang'pa'tang
陈尚忠,chen'shang'zhong
陈少云,chen'shao'yun
陈世魁,chen'shi'kui
陈世智,chen'shi'zhi
陈述,chen'shu
陈树桐,chen'shu'tong
陈松波,chen'song'bo
尘团字,chen'tuan'zi
陈文光,chen'wen'guang
陈文潇,chen'wen'xiao
陈文彦,chen'wen'yan
谌笑宇,chen'xiao'yu
陈学富,chen'xue'fu
陈逸安,chen'yi'an
陈永海,chen'yong'hai
陈永清,chen'yong'qing
陈涌泉,chen'yong'quan
陈永忠,chen'yong'zhong
陈幼新,chen'you'xin
陈雨亭,chen'yu'ting
陈州粜米,chen'zhou'tiao'mi
陈紫荃,chen'zi'quan
陈子贞,chen'zi'zhen
承伯,cheng'bo
程长庚,cheng'chang'geng
程光德,cheng'guang'de
程继仙,cheng'ji'xian
程式,cheng'shi
程砚秋,cheng'yan'qiu
成兆才,cheng'zhao'cai
程之,cheng'zhi
赤壁之战,chi'bi'zhi'zhan
赤桑镇,chi'sang'zhen
迟小秋,chi'xiao'qiu
翅子功,chi'zi'gong
崇寿峰,chong'shou'feng
冲头,chong'tou
崇雅社,chong'ya'she
丑,chou
仇君,chou'jun
抽签,chou'qian
抽头,chou'tou
出,chu
楚剧,chu'ju
除三害,chu'san'hai
处州乱弹,chu'zhou'luan'tan
川拨棹,chuan'bo'zhao
串锤,chuan'chui
船桨,chuan'jiang
川剧,chuan'ju
穿林海跨雪原,chuan'lin'hai'kua'xue'yuan
串龙珠,chuan'long'zhu
传奇,chuan'qi
吹打曲牌,chui'da'qu'pai
吹腔,chui'qiang
吹台,chui'tai
锤震金蝉子,chui'zhen'jin'chan'zi
春草闯堂,chun'cao'chuang'tang
春长隆,chun'chang'long
春灯谜,chun'deng'mi
春闺梦,chun'gui'meng
春秋笔,chun'qiu'bi
春秋配,chun'qiu'pei
春秋亭外风雨暴,chun'qiu'ting'wai'feng'yu'bao
春日景和,chun'ri'jing'he
春香传,chun'xiang'chuan
春香闹学,chun'xiang'nao'xue
刺巴杰,ci'ba'jie
词话,ci'hua
词明戏,ci'ming'xi
此时间不可闹笑话,ci'shi'jian'bu'ke'nao'xiao'hua
刺王僚,ci'wang'liao
崔伯光,cui'bo'guang
崔长武,cui'chang'wu
翠地锦裆,cui'di'jin'dang
崔怀禄,cui'huai'lu
崔金泉,cui'jin'quan
翠屏山,cui'ping'shan
崔琦来,cui'qi'lai
脆头,cui'tou
崔喜跃,cui'xi'yue
崔亚轩,cui'ya'xuan
崔艺东,cui'yi'dong
崔裕宽,cui'yu'kuan
错报家门,cuo'bao'jia'men
搓锤,cuo'chui
大霸,da'ba
大保国,da'bao'guo
大边,da'bian
大兵,da'bing
打曹豹,da'cao'bao
打城隍,da'cheng'huang
打出手,da'chu'shou
打刀,da'dao
大纛旗,da'dao'qi
大登殿,da'deng'dian
打登州,da'deng'zhou
大笛子逻逻,da'di'zi'luo'luo
打杠子,da'gang'zi
大鼓,da'gu
打瓜园,da'gua'yuan
打花鼓,da'hua'gu
大花脸,da'hua'lian
大回朝,da'hui'chao
搭架子,da'jia'zi
打金枝,da'jin'zhi
打金砖,da'jin'zhuan
大铠,da'kai
大柳摇金,da'liu'yao'jin
打龙袍,da'long'pao
打龙棚,da'long'peng
打鸾驾,da'luan'jia
大锣,da'luo
大锣打上,da'luo'da'shang
大锣打下,da'luo'da'xia
大锣夺头,da'luo'duo'tou
大锣两击,da'luo'liang'ji
大锣三击,da'luo'san'ji
大锣水底鱼,da'luo'shui'di'yu
打孟良,da'meng'liang
打面缸,da'mian'gang
大名府,da'ming'fu
大拿,da'na
大炮三声如雷震,da'pao'san'sheng'ru'lei'zhen
打炮戏,da'pao'xi
大棚戏,da'peng'xi
大劈棺,da'pi'guan
大嗓,da'sang
打砂锅,da'sha'guo
大山,da'shan
大堂鼓,da'tang'gu
打通,da'tong
大戏,da'xi
大雪飘扑人面,da'xue'piao'pu'ren'mian
打严嵩,da'yan'song
大衣箱,da'yi'xiang
打樱桃,da'ying'tao
打鱼杀家,da'yu'sha'jia
打渔杀家,da'yu'sha'jia
打灶王,da'zao'wang
大帐子,da'zhang'zi
大轴,da'zhou
打猪草,da'zhu'cao
搭桌戏,da'zhuo'xi
大字牌子,da'zi'pai'zi
戴宝康,dai'bao'kang
戴福月,dai'fu'yue
傣剧,dai'ju
带锣,dai'luo
黛诺,dai'nuo
戴少甫,dai'shao'fu
黛玉葬花,dai'yu'zang'hua
戴志诚,dai'zhi'cheng
戴致斋,dai'zhi'zhai
旦,dan
单刀会,dan'dao'hui
单叫头,dan'jiao'tou
丹剧,dan'ju
单口,dan'kou
单联丽,dan'lian'li
单皮鼓,dan'pi'gu
单人起霸,dan'ren'qi'ba
单人趟马,dan'ren'tang'ma
单人走边,dan'ren'zou'bian
单上场,dan'shang'chang
旦上场,dan'shang'chang
单松亭,dan'song'ting
单搜场,dan'sou'chang
丹田音,dan'tian'yin
单弦,dan'xian
荡湖船,dang'hu'chuan
挡马,dang'ma
倒霸,dao'ba
导板,dao'ban
导板头,dao'ban'tou
倒彩,dao'cai
刀斧手,dao'fu'shou
盗魂铃,dao'hun'ling
盗库,dao'ku
刀马旦,dao'ma'dan
刀劈三关,dao'pi'san'guan
盗王坟,dao'wang'fen
盗仙草,dao'xian'cao
盗御马,dao'yu'ma
倒字,dao'zi
盗宗卷,dao'zong'juan
德珺如,de'jun'ru
得意缘,de'yi'yuan
德云社,de'yun'she
灯彩戏,deng'cai'xi
邓继曾,deng'ji'ceng
邓继增,deng'ji'zeng
灯笼,deng'long
邓沐玮,deng'mu'wei
邓世杰,deng'shi'jie
邓文丰,deng'wen'feng
邓霞姑,deng'xia'gu
邓小林,deng'xiao'lin
底,di
笛,di
狄青风雪夺征衣,di'qing'feng'xue'duo'zheng'yi
笛曲傍妆台,di'qu'bang'zhuang'tai
笛曲朝天子,di'qu'chao'tian'zi
笛曲节节高,di'qu'jie'jie'gao
笛曲哭皇天,di'qu'ku'huang'tian
笛曲老八板,di'qu'lao'ba'ban
笛曲柳摇金,di'qu'liu'yao'jin
笛曲哪吒令,di'qu'ne'zha'ling
