大法官会议,da'fa'guan'hui'yi
代书,dai'shu
地方各级人民法院,di'fang'ge'ji'ren'min'fa'yuan
地方各级人民检察院,di'fang'ge'ji'ren'min'jian'cha'yuan
独立行使检察权,du'li'xing'shi'jian'cha'quan
法官,fa'guan
法纪检察,fa'ji'jian'cha
法纪监督,fa'ji'jian'du
法警,fa'jing
法律顾问处,fa'lv'gu'wen'chu
法律监督,fa'lv'jian'du
法庭,fa'ting
法院,fa'yuan
法院组织,fa'yuan'zu'zhi
高级人民法院,gao'ji'ren'min'fa'yuan
公安机关,gong'an'ji'guan
公安派出所,gong'an'pai'chu'suo
国家安全机关,guo'jia'an'quan'ji'guan
基层人民法院,ji'ceng'ren'min'fa'yuan
检察官,jian'cha'guan
检察机关,jian'cha'ji'guan
检察权,jian'cha'quan
检查委员会,jian'cha'wei'yuan'hui
检察委员会委员,jian'cha'wei'yuan'hui'wei'yuan
检察员,jian'cha'yuan
检查院派出机构,jian'cha'yuan'pai'chu'ji'gou
检察长,jian'cha'zhang
检察制度,jian'cha'zhi'du
检察组织,jian'cha'zu'zhi
监所检察,jian'suo'jian'cha
监所监督,jian'suo'jian'du
见习律师,jian'xi'lv'shi
兼职律师,jian'zhi'lv'shi
警察组织,jing'cha'zu'zhi
经济检察,jing'ji'jian'cha
军事法院,jun'shi'fa'yuan
军事检察院,jun'shi'jian'cha'yuan
看守所,kan'shou'suo
律师,lv'shi
律师法,lv'shi'fa
律师工作者,lv'shi'gong'zuo'zhe
律师机构,lv'shi'ji'gou
律师强制主义,lv'shi'qiang'zhi'zhu'yi
律师权利,lv'shi'quan'li
律师事务所,lv'shi'shi'wu'suo
律师协会,lv'shi'xie'hui
律师刑事代理,lv'shi'xing'shi'dai'li
律师义务,lv'shi'yi'wu
律师资格,lv'shi'zi'ge
秘密警察,mi'mi'jing'cha
普通法纪检察,pu'tong'fa'ji'jian'cha
人民法院,ren'min'fa'yuan
人民检察院,ren'min'jian'cha'yuan
人民警察,ren'min'jing'cha
人民陪审员,ren'min'pei'shen'yuan
森林法院,sen'lin'fa'yuan
审级制度,shen'ji'zhi'du
审判独立,shen'pan'du'li
审判机关,shen'pan'ji'guan
审判监督,shen'pan'jian'du
审判权,shen'pan'quan
审判人员,shen'pan'ren'yuan
审判委员会,shen'pan'wei'yuan'hui
审判员,shen'pan'yuan
实习律师,shi'xi'lv'shi
书记员,shu'ji'yuan
司法部,si'fa'bu
司法部门,si'fa'bu'men
司法档案,si'fa'dang'an
司法独立,si'fa'du'li
司法机关,si'fa'ji'guan
司法权,si'fa'quan
司法统计,si'fa'tong'ji
司法行政,si'fa'xing'zheng
司法行政机关,si'fa'xing'zheng'ji'guan
司法院,si'fa'yuan
司法助理员,si'fa'zhu'li'yuan
特别法庭,te'bie'fa'ting
特别检察厅,te'bie'jian'cha'ting
特殊法纪检察,te'shu'fa'ji'jian'cha
铁道运输检察院,tie'dao'yun'shu'jian'cha'yuan
铁路运输法院,tie'lu'yun'shu'fa'yuan
武装警察,wu'zhuang'jing'cha
刑事法庭,xing'shi'fa'ting
刑事检察,xing'shi'jian'cha
刑事监督,xing'shi'jian'du
刑事警察,xing'shi'jing'cha
刑事审判庭,xing'shi'shen'pan'ting
刑庭,xing'ting
一般监督,yi'ban'jian'du
侦查机关,zhen'cha'ji'guan
侦查监督,zhen'cha'jian'du
中级人民法院,zhong'ji'ren'min'fa'yuan
助理检察员,zhu'li'jian'cha'yuan
助理审判员,zhu'li'shen'pan'yuan
主任律师,zhu'ren'lv'shi
专门人民法院,zhuan'men'ren'min'fa'yuan
专门人民检察院,zhuan'men'ren'min'jian'cha'yuan
最高人民法院,zui'gao'ren'min'fa'yuan
最高人民检察院,zui'gao'ren'min'jian'cha'yuan
