哀叫楚山裂,ai'jiao'chu'shan'lie
哀吾生之须臾,ai'wu'sheng'zhi'xu'yu
黯黯梦云惊断,an'an'meng'yun'jing'duan
安石在东海,an'shi'zai'dong'hai
把酒问青天,ba'jiu'wen'qing'tian
把盏凄然北望,ba'zhan'qi'ran'bei'wang
白露横江,bai'lu'heng'jiang
白雨跳珠乱入船,bai'yu'tiao'zhu'luan'ru'chuan
半壕春水一城花,ban'hao'chun'shui'yi'cheng'hua
抱明月而长终,bao'ming'yue'er'chang'zhong
杯盘狼籍,bei'pan'lang'ji
便欲乘风,bian'yu'cheng'feng
鬓如霜,bin'ru'shuang
鬓微霜,bin'wei'shuang
冰姿自有仙风,bing'zi'zi'you'xian'feng
不恨此花飞尽,bu'hen'ci'hua'fei'jin
不绝如缕,bu'jue'ru'lv
不识庐山真面目,bu'shi'lu'shan'zhen'mian'mu
不是杨花,bu'shi'yang'hua
不思量,bu'si'liang
不应有恨,bu'ying'you'hen
不用诉离觞,bu'yong'su'li'shang
不与梨花同梦,bu'yu'li'hua'tong'meng
不语书空,bu'yu'shu'kong
不知东方之既白,bu'zhi'dong'fang'zhi'ji'bai
不知天上宫阙,bu'zhi'tian'shang'gong'que
步自雪堂,bu'zi'xue'tang
长恨此身非我有,chang'hen'ci'shen'fei'wo'you
长记平山堂上,chang'ji'ping'shan'tang'shang
常羡人间琢玉郎,chang'xian'ren'jian'zhuo'yu'lang
朝来庭下,chao'lai'ting'xia
尘满面,chen'man'mian
乘鸾来去,cheng'luan'lai'qu
赤壁怀古,chi'bi'huai'gu
持节云中,chi'jie'yun'zhong
重重叠叠上瑶台,chong'chong'die'die'shang'yao'tai
惆怅东栏一株雪,chou'chang'dong'lan'yi'zhu'xue
惆怅孤帆连夜发,chou'chang'gu'fan'lian'ye'fa
楚人悲屈原,chu'ren'bei'qu'yuan
窗户湿青红,chuang'hu'shi'qing'hong
春江水暖鸭先知,chun'jiang'shui'nuan'ya'xian'zhi
春色三分,chun'se'san'fen
春未老,chun'wei'lao
春宵一刻值千金,chun'xiao'yi'ke'zhi'qian'jin
此非曹孟德之诗乎,ci'fei'cao'meng'de'zhi'shi'hu
此非孟德之困于周郎者乎,ci'fei'meng'de'zhi'kun'yu'zhou'lang'zhe'hu
此生此夜不长好,ci'sheng'ci'ye'bu'zhang'hao
此事古难全,ci'shi'gu'nan'quan
此事虽无凭,ci'shi'sui'wu'ping
此心安处是吾乡,ci'xin'an'chu'shi'wu'xiang
此意固已切,ci'yi'gu'yi'qie
从事鬓惊秋,cong'shi'bin'jing'qiu
粗缯大布裹生涯,cu'zeng'da'bu'guo'sheng'ya
村南村北响缲车,cun'nan'cun'bei'xiang'sao'che
村舍外,cun'she'wai
大江东去,da'jiang'dong'qu
大夫知此理,dai'fu'zhi'ci'li
但看低昂烟雨里,dan'kan'di'ang'yan'yu'li
但空江,dan'kong'jiang
紞如三鼓,dan'ru'san'gu
但少闲人如吾两人者耳,dan'shao'xian'ren'ru'wu'liang'ren'zhe'er
淡烟疏柳媚晴滩,dan'yan'shu'liu'mei'qing'tan
但一回醉,dan'yi'hui'zui
但有旧欢新怨,dan'you'jiu'huan'xin'yuan
