哎哟哟,ai'yo'yo
奥特曼,ao'te'man
凹凸曼,ao'tu'man
拜托啦人,bai'tuo'la'ren
抱抱,bao'bao
抱抱爻,bao'bao'yao
包在我身上,bao'zai'wo'shen'shang
鼻毛,bi'mao
鄙视你,bi'shi'ni
辫子,bian'zi
瘪嘴,bie'zui
冰天雪地掩面泪奔,bing'tian'xue'di'yan'mian'lei'ben
啵啵,bo'bo
不吃,bu'chi
不懂,bu'dong
不满,bu'man
不是我干的,bu'shi'wo'gan'de
不屑,bu'xie
不要,bu'yao
擦眼泪,ca'yan'lei
财神爷,cai'shen'ye
惨了,can'le
叉腰,cha'yao
吃我一鞭,chi'wo'yi'bian
吃药,chi'yao
冲出皿,chong'chu'min
抽泣,chou'qi
臭蚊子,chou'wen'zi
穿墙过去,chuan'qiang'guo'qu
呆滞,dai'zhi
淡定,dan'ding
单行的格式,dan'xing'de'ge'shi
当然,dang'ran
刀疤,dao'ba
等等我我我,deng'deng'wo'wo'wo
低落,di'luo
低头,di'tou
点头,dian'tou
嘟嘴,du'zui
对不起,dui'bu'qi
多行的格式,duo'hang'de'ge'shi
多行短语,duo'hang'duan'yu
呃被发现了,e'bei'fa'xian'le
呃我,e'wo
翻桌,fan'zhuo
防御一,fang'yu'yi
飞吻,fei'wen
分裂,fen'lie
分中文零二零八十五二十八,fen'zhong'wen'ling'er'ling'ba'shi'wu'er'shi'ba
风魔法,feng'mo'fa
乀乀去去去,fu'fu'qu'qu'qu
复活,fu'huo
扶眼镜,fu'yan'jing
嘎嘎嘎,ga'ga'ga
干杯,gan'bei
高实在是高,gao'shi'zai'shi'gao
告状,gao'zhuang
歌啦啦啦,ge'la'la'la
跟你说厚,gen'ni'shuo'hou
狗狗,gou'gou
鼓掌,gu'zhang
鼓掌鼓掌,gu'zhang'gu'zhang
咳咳,hai'hai
含泪挥手帕,han'lei'hui'shou'pa
函数表如下,han'shu'biao'ru'xia
函数含义举例,han'shu'han'yi'ju'li
好吧,hao'ba
好苦,hao'ku
好香,hao'xiang
好主意,hao'zhu'yi
河马,he'ma
喝西北风彡,he'xi'bei'feng'san
黑客帝国下腰,hei'ke'di'guo'xia'yao
呼唤,hu'huan
呼幸好幸好,hu'xing'hao'xing'hao
欢迎,huan'ying
幻影术,huan'ying'shu
挥手帕,hui'shou'pa
火箭筒发射皿口口口,huo'jian'tong'fa'she'min'kou'kou'kou
击掌人,ji'zhang'ren
金盾,jin'dun
就你,jiu'ni
就你好了,jiu'ni'hao'le
就是他,jiu'shi'ta
举手,ju'shou
举手投降,ju'shou'tou'xiang
具体格式可以参考下面的实例,ju'ti'ge'shi'ke'yi'can'kao'xia'mian'de'shi'li
看好你哦,kan'hao'ni'o
看我忍者镖卍卍卍卍卍卍,kan'wo'ren'zhe'biao'wan'wan'wan'wan'wan'wan
靠什么东西,kao'shen'me'dong'xi
苦恼,ku'nao
困揉眼睛,kun'rou'yan'jing
啦啦啦,la'la'la
来啊挑衅,lai'a'tiao'xin
来呀挑衅,lai'ya'tiao'xin
冷笑,leng'xiao
楞住,leng'zhu
脸红掩面,lian'hong'yan'mian
两罐纸星星,liang'guan'zhi'xing'xing
列队,lie'dui
铃铃铃,ling'ling'ling
没办法,mei'ban'fa
没人在哦,mei'ren'zai'o
媚眼,mei'yan
咪咪人,mi'mi'ren
秘密一一,mi'mi'yi'yi
秒中文零二零八十五二十八,miao'zhong'wen'ling'er'ling'ba'shi'wu'er'shi'ba
咩哈哈哈哈,mie'ha'ha'ha'ha
蔑视,mie'shi
皿哪里跑,min'na'li'pao
命苦,ming'ku
膜拜,mo'bai
摸摸头,mo'mo'tou
那边那个,na'bian'na'ge
你给我回来,ni'gei'wo'hui'lai
你回来啦,ni'hui'lai'la
溺水,ni'shui
年位,nian'wei
年中文位二六,nian'zhong'wen'wei'er'liu
年中文位六,nian'zhong'wen'wei'liu
捏耳朵,nie'er'duo
怕怕爻,pa'pa'yao
拍手拍手,pai'shou'pai'shou
拍桌狂笑,pai'zhuo'kuang'xiao
丬别走啊,pan'bie'zou'a
飘飘然,piao'piao'ran
乒乓球,ping'pang'qiu
起床,qi'chuang
起床啦,qi'chuang'la
期待,qi'dai
亲亲,qin'qin
去去去,qu'qu'qu
去下厕厕,qu'xia'ce'ce
人拜佛,ren'bai'fo
人击掌,ren'ji'zhang
忍术隐人人,ren'shu'yin'ren'ren
日此函数在输入法版之后含有效,ri'ci'han'shu'zai'shu'ru'fa'ban'zhi'hou'han'you'xiao
日中文三十三二十二,ri'zhong'wen'san'shi'san'er'shi'er
撒花,sa'hua
散弹发射一,san'dan'fa'she'yi
彡彡衰,san'san'shuai
闪人,shan'ren
上午下午中文上午下午,shang'wu'xia'wu'zhong'wen'shang'wu'xia'wu
伤心,shang'xin
射箭,she'jian
神啊,shen'a
是不是你,shi'bu'shi'ni
石化,shi'hua
时间函数功能具体定义格式如下,shi'jian'han'shu'gong'neng'ju'ti'ding'yi'ge'shi'ru'xia
视力表旦呃,shi'li'biao'dan'e
失落,shi'luo
时小时制,shi'xiao'shi'zhi
时中文时制二八十三二十三,shi'zhong'wen'shi'zhi'er'ba'shi'san'er'shi'san
时中文时制二八一十一,shi'zhong'wen'shi'zhi'er'ba'yi'shi'yi
手榴弹,shou'liu'dan
手指戳戳,shou'zhi'chuo'chuo
手肘戳戳,shou'zhou'chuo'chuo
死亡中,si'wang'zhong
他不起来,ta'bu'qi'lai
台大鼻子,tai'da'bi'zi
