安居,an'ju
柏溪,bai'xi
长宁,chang'ning
重庆,chong'qing
大足,da'zu
德昌,de'chang
富顺,fu'shun
甘洛,gan'luo
广安北,guang'an'bei
广安南,guang'an'nan
汉源,han'yuan
合川,he'chuan
合江,he'jiang
华蓥,hua'ying
会东,hui'dong
会理,hui'li
江安,jiang'an
江津,jiang'jin
九乡,jiu'xiang
昆明,kun'ming
邻水,lin'shui
隆昌,long'chang
龙水,long'shui
泸沽,lu'gu
泸县,lu'xian
泸州,lu'zhou
米易,mi'yi
冕宁,mian'ning
沐川,mu'chuan
纳溪,na'xi
南部,nan'bu
南充,nan'chong
南溪,nan'xi
攀枝花,pan'zhi'hua
蓬安,peng'an
屏山,ping'shan
荣昌,rong'chang
石棉,shi'mian
水富,shui'fu
绥江,sui'jiang
天全,tian'quan
铜梁,tong'liang
武胜,wu'sheng
西昌,xi'chang
叙永,xu'yong
盐边,yan'bian
宜宾,yi'bin
仪陇,yi'long
荥经,ying'jing
营山,ying'shan
永川,yong'chuan
永善,yong'shan
岳池,yue'chi
昭通,zhao'tong
自贡,zi'gong
资中,zi'zhong
