成神,cheng'shen
重塑级,chong'su'ji
二十四大天灵,er'shi'si'da'tian'ling
固元级,gu'yuan'ji
护灵级,hu'ling'ji
化仙级,hua'xian'ji
幻形级,huan'xing'ji
火系一脉,huo'xi'yi'mai
聚灵级,ju'ling'ji
林雨纷,lin'yu'fen
莫佑雎,mo'you'ju
莫则城,mo'ze'cheng
凝灵级,ning'ling'ji
凝形级,ning'xing'ji
破空级,po'kong'ji
破形级,po'xing'ji
清灵级,qing'ling'ji
润灵级,run'ling'ji
神丹,shen'dan
圣灵级,sheng'ling'ji
水系一脉,shui'xi'yi'mai
天灵级,tian'ling'ji
天形级,tian'xing'ji
仙丹,xian'dan
药系一脉,yao'xi'yi'mai
玉灵级,yu'ling'ji
源力一脉,yuan'li'yi'mai
月夕柔,yue'xi'rou
重劫级,zhong'jie'ji
