阿巴耶卡罗笈多,a'ba'ye'ka'luo'ji'duo
阿部肇一,a'bu'zhao'yi
阿道,a'dao
阿地瞿多,a'di'qu'duo
阿底峡,a'di'xia
阿闍世王,a'du'shi'wang
阿克巴,a'ke'ba
阿罗逻迦兰,a'luo'luo'jia'lan
阿那律,a'na'lv
阿难,a'nan
阿尼哥,a'ni'ge
阿奴律陀,a'nu'lv'tuo
阿诺德,a'nuo'de
阿耆多翅舍钦婆罗,a'qi'duo'chi'she'qin'po'luo
阿若憍陈如,a'ruo'jiao'chen'ru
阿说示,a'shuo'shi
阿私陀仙,a'si'tuo'xian
阿王老藏,a'wang'lao'cang
阿旺洛桑,a'wang'luo'sang
阿旺洛桑丹巴坚赞,a'wang'luo'sang'dan'ba'jian'zan
阿旺曲培,a'wang'qu'pei
阿逸多,a'yi'duo
阿育王,a'yu'wang
艾略特,ai'lue'te
艾泽顿,ai'ze'dun
安贝卡,an'bei'ka
安澄,an'cheng
安法钦,an'fa'qin
安含,an'han
安慧,an'hui
安克迭都培龙,an'ke'die'dou'pei'long
安廪,an'lin
安尼伯森夫人,an'ni'bo'sen'fu'ren
安然,an'ran
安世高,an'shi'gao
安藤俊雄,an'teng'jun'xiong
安玄,an'xuan
鞍作鸟,an'zuo'niao
巴操尼玛札,ba'cao'ni'ma'zha
巴达利,ba'da'li
八大山人,ba'da'shan'ren
巴丹闍梨,ba'dan'du'li
巴德拉巴夫,ba'de'la'ba'fu
巴壶天,ba'hu'tian
八思巴,ba'si'ba
拔希,ba'xi
八指头陀,ba'zhi'tou'tuo
巴宙,ba'zhou
白居易,bai'ju'yi
白龙,bai'long
白龙城,bai'long'cheng
白圣,bai'sheng
保参玉泉,bao'can'yu'quan
宝唱,bao'chang
宝称,bao'cheng
薄拘罗,bao'ju'luo
宝亮,bao'liang
薄瞑,bao'ming
宝云,bao'yun
保志,bao'zhi
宝作寂,bao'zuo'ji
杯渡,bei'du
卑摩罗叉,bei'mo'luo'cha
北条时赖,bei'tiao'shi'lai
北条时宗,bei'tiao'shi'zong
北周武帝,bei'zhou'wu'di
本高,ben'gao
本寂,ben'ji
本济,ben'ji
本如,ben'ru
本田义英,ben'tian'yi'ying
辨长,bian'chang
辨庆,bian'qing
辨喜,bian'xi
帛法祖,bo'fa'zu
波罗颇迦罗蜜多罗,bo'luo'po'jia'luo'mi'duo'luo
帛尸梨蜜多罗,bo'shi'li'mi'duo'luo
波斯匿王,bo'si'ni'wang
伯希和,bo'xi'he
布顿,bu'dun
布赫诺夫,bu'he'nuo'fu
不空,bu'kong
布勒,bu'le
不迁,bu'qian
不如密多,bu'ru'mi'duo
蔡巴贡噶多杰,cai'ba'gong'ga'duo'jie
蔡荣婷,cai'rong'ting
蔡运辰,cai'yun'chen
粲英,can'ying
璨幽,can'you
忏云,chan'yun
长井真琴,chang'jing'zhen'qin
长松清风,chang'song'qing'feng
长尾雅人,chang'wei'ya'ren
长西,chang'xi
长爪梵志,chang'zhao'fan'zhi
承澄,cheng'cheng
澄观,cheng'guan
称念,cheng'nian
承远,cheng'yuan
澄远,cheng'yuan
承珠,cheng'zhu
持松,chi'song
祇陀太子,chi'tuo'tai'zi
楚金,chu'jin
楚俊,chu'jun
楚王英,chu'wang'ying
楚圆,chu'yuan
传道,chuan'dao
传灯,chuan'deng
传悔,chuan'hui
传孝,chuan'xiao
传顗,chuan'yi
慈藏,ci'cang
慈昌,ci'chang
慈观,ci'guan
慈航,ci'hang
慈惠,ci'hui
慈蓉,ci'rong
慈怡,ci'yi
慈舟,ci'zhou
慈庄,ci'zhuang
存奖,cun'jiang
存牛,cun'niu
存易,cun'yi
达超,da'chao
大川隆法,da'chuan'long'fa
大村西崖,da'cun'xi'ya
大道长安,da'dao'chang'an
大定,da'ding
达尔喀,da'er'ka
大谷光瑞,da'gu'guang'rui
大观,da'guan
达和,da'he
达赖喇嘛,da'lai'la'ma
达摩波罗,da'mo'bo'luo
达摩多罗,da'mo'duo'luo
达摩笈多,da'mo'ji'duo
达磨遮提,da'mo'zhe'ti
达斯,da'si
达斯笈多,da'si'ji'duo
大天,da'tian
大同,da'tong
大我,da'wo
大訢,da'xi
大贤,da'xian
达信王,da'xin'wang
大醒,da'xing
大雄,da'xiong
大勇,da'yong
大佑,da'you
戴传贤,dai'chuan'xian
戴逵,dai'kui
戴密微,dai'mi'wei
戴维斯,dai'wei'si
胆巴,dan'ba
担当,dan'dang
丹霞天然,dan'xia'tian'ran
当巴桑结,dang'ba'sang'jie
道安,dao'an
道白,dao'bai
道宠,dao'chong
道绰,dao'chuo
道端良秀,dao'duan'liang'xiu
道机,dao'ji
道济,dao'ji
道阶,dao'jie
道开,dao'kai
道楷,dao'kai
道朗,dao'lang
道林,dao'lin
道隆,dao'long
道伦,dao'lun
道忞,dao'min
道霈,dao'pei
道钦,dao'qin
道融,dao'rong
道诜,dao'shen
道生,dao'sheng
道盛,dao'sheng
道世,dao'shi
道邃,dao'sui
道悟,dao'wu
道信,dao'xin
道宣,dao'xuan
道璇,dao'xuan
道衍,dao'yan
道一,dao'yi
道义,dao'yi
道膺,dao'ying
道元,dao'yuan
道源,dao'yuan
道昭,dao'zhao
道忠,dao'zhong
德光,de'guang
德慧,de'hui
德俭,de'jian
德清,de'qing
德僧,de'seng
德韶,de'shao
德异,de'yi
邓克铭,deng'ke'ming
谛观,di'guan
地华,di'hua
帝失罗叉,di'shi'luo'cha
谛闲,di'xian
定宾,ding'bin
定朝,ding'chao
定琛,ding'chen
丁福保,ding'fu'bao
定西,ding'xi
东初,dong'chu
笃补巴,du'bu'ba
闍那崛多,du'na'jue'duo
闍耶跋摩七世,du'ye'ba'mo'qi'shi
端美三菩提,duan'mei'san'pu'ti
兑律,dui'lv
朵尔杰,duo'er'jie
多杰觉拔,duo'jie'jue'ba
多罗那他,duo'luo'na'ta
多玛斯,duo'ma'si
二十亿耳,er'shi'yi'er
法宝,fa'bao
法藏,fa'cang
法常,fa'chang
法成,fa'cheng
法称,fa'cheng
法持,fa'chi
法冲,fa'chong
法舫,fa'fang
法恭,fa'gong
法果,fa'guo
法护,fa'hu
法朗,fa'lang
法砺,fa'li
法琳,fa'lin
法全,fa'quan
法融,fa'rong
法如,fa'ru
法上,fa'shang
法胜,fa'sheng
法盛,fa'sheng
法顺,fa'shun
法泰,fa'tai
法天,fa'tian
法显,fa'xian
法献,fa'xian
法演,fa'yan
法业,fa'ye
法勇,fa'yong
法远,fa'yuan
法月,fa'yue
法云,fa'yun
法照,fa'zhao
法真,fa'zhen
法尊,fa'zun
芳村修基,fang'cun'xiu'ji
方汉岩,fang'han'yan
方会,fang'hui
方净,fang'jing
方以智,fang'yi'zhi
飞锡,fei'xi
非浊,fei'zhuo
丰干,feng'gan
佛大先,fo'da'xian
佛护,fo'hu
佛库,fo'ku
佛使,fo'shi
佛授,fo'shou
佛图澄,fo'tu'cheng
佛驮跋陀罗,fo'tuo'ba'tuo'luo
佛陀波利,fo'tuo'bo'li
佛陀禅师,fo'tuo'chan'shi
佛陀扇多,fo'tuo'shan'duo
佛陀耶舍,fo'tuo'ye'she
佛榭,fo'xie
佛印,fo'yin
佛哲,fo'zhe
服部正明,fu'bu'zheng'ming
福慧,fu'hui
福井康顺,fu'jing'kang'shun
福井文雅,fu'jing'wen'ya
福聚,fu'ju
弗劳瓦尔纳,fu'lao'wa'er'na
弗若多罗,fu'ruo'duo'luo
弗沙蜜多罗王,fu'sha'mi'duo'luo'wang
福原亮严,fu'yuan'liang'yan
甘丹赤巴,gan'dan'chi'ba
甘地,gan'di
甘露饭王,gan'lu'fan'wang
干潟龙祥,gan'xi'long'xiang
冈波巴,gang'bo'ba
冈野正道,gang'ye'zheng'dao
功德直,gong'de'zhi
公巖,gong'yan
弓裔,gong'yi
古崑,gu'kun
古月,gu'yue
关口真大,guan'kou'zhen'da
关世谦,guan'shi'qian
管主八,guan'zhu'ba
广定,guang'ding
光谦,guang'qian
广钦,guang'qin
广心,guang'xin
广元,guang'yuan
韩龙云,han'long'yun
韩清净,han'qing'jing
韩愈,han'yu
赫吉森,he'ji'sen
河口慧海,he'kou'hui'hai
横超慧日,heng'chao'hui'ri
弘储,hong'chu
宏船,hong'chuan
洪镜,hong'jing
弘忍,hong'ren
洪如,hong'ru
弘一,hong'yi
弘赞,hong'zan
洪遵,hong'zun
忽滑谷快天,hu'hua'gu'kuai'tian
胡适,hu'shi
花山信胜,hua'shan'xin'sheng
怀感,huai'gan
怀海,huai'hai
怀琏,huai'lian
怀让,huai'rang
怀素,huai'su
怀问,huai'wen
怀信,huai'xin
怀恽,huai'yun
寰中,huan'zhong
慧安,hui'an
慧布,hui'bu
慧才,hui'cai
慧超,hui'chao
慧彻,hui'che
慧谌,hui'chen
慧方,hui'fang
慧峰,hui'feng
慧观,hui'guan
慧光,hui'guang
慧海,hui'hai
慧鹤,hui'he
慧基,hui'ji
慧寂,hui'ji
慧皎,hui'jiao
慧经,hui'jing
慧可,hui'ke
慧立,hui'li
慧琳,hui'lin
慧律,hui'lv
慧明,hui'ming
慧南,hui'nan
慧能,hui'neng
慧年,hui'nian
慧勤,hui'qin
会泉,hui'quan
慧日,hui'ri
慧三,hui'san
慧生,hui'sheng
慧思,hui'si
慧威,hui'wei
慧文,hui'wen
会性,hui'xing
慧严,hui'yan
慧永,hui'yong
慧苑,hui'yuan
慧远,hui'yuan
慧岳,hui'yue
慧沼,hui'zhao
慧忠,hui'zhong
霍韬晦,huo'tao'hui
吉藏,ji'cang
吉达利,ji'da'li
己和,ji'he
吉山,ji'shan
季羡林,ji'xian'lin
嘉曹杰,jia'cao'jie
迦多衍尼子,jia'duo'yan'ni'zi
迦梨陀沙,jia'li'tuo'sha
迦留陀夷,jia'liu'tuo'yi
迦罗育王,jia'luo'yu'wang
嘉木样一世,jia'mu'yang'yi'shi
迦腻色迦王,jia'ni'se'jia'wang
加藤精神,jia'teng'jing'shen
迦叶,jia'ye
迦旃延,jia'zhan'yan
江岛惠教,jiang'dao'hui'jiao
蒋贡康楚,jiang'gong'kang'chu
江味农,jiang'wei'nong
蒋维乔,jiang'wei'qiao
蒋义斌,jiang'yi'bin
憍梵波提,jiao'fan'bo'ti
介清,jie'qing
金仓圆照,jin'cang'yuan'zhao
金城公主,jin'cheng'gong'zhu
今村惠猛,jin'cun'hui'meng
金大城,jin'da'cheng
金地藏,jin'di'cang
金东华,jin'dong'hua
金法麟,jin'fa'lin
金刚智,jin'gang'zhi
金慧眼,jin'hui'yan
金克木,jin'ke'mu
金南泉,jin'nan'quan
金山活佛,jin'shan'huo'fo
今释,jin'shi
金吞虚,jin'tun'xu
金子大荣,jin'zi'da'rong
静权,jing'quan
井上靖,jing'shang'jing
井上日召,jing'shang'ri'zhao
井上圆了,jing'shang'yuan'le
井上哲次郎,jing'shang'zhe'ci'lang
靖嵩,jing'song
静琬,jing'wan
憬兴,jing'xing
敬雄,jing'xiong
境野哲,jing'ye'zhe
久保角太郎,jiu'bao'jiao'tai'lang
鸠摩利罗,jiu'mo'li'luo
鸠摩罗多,jiu'mo'luo'duo
鸠摩罗什,jiu'mo'luo'shen
久松真一,jiu'song'zhen'yi
居简,ju'jian
拘那罗太子,ju'na'luo'tai'zi
沮渠京声,ju'qu'jing'sheng
橘瑞超,ju'rui'chao
具生吉祥,ju'sheng'ji'xiang
巨赞,ju'zan
觉岸,jue'an
觉力,jue'li
觉天,jue'tian
觉心,jue'xin
觉性,jue'xing
觉音,jue'yin
均如,jun'ru
卡卢,ka'lu
考底利耶,kao'di'li'ye
克恩,ke'en
克利须那穆尔提,ke'li'xu'na'mu'er'ti
克勤,ke'qin
克文,ke'wen
克雪曼德拉,ke'xue'man'de'la
空海,kong'hai
空也,kong'ye
孔滋,kong'zi
宽朝,kuan'chao
窥基,kui'ji
昆达昆达,kun'da'kun'da
拉藏汗,la'cang'han
拉达克里希南,la'da'ke'li'xi'nan
拉露,la'lu
拉玛四世,la'ma'si'shi
拉玛一世,la'ma'yi'shi
拉莫特,la'mo'te
拉森,la'sen
来复,lai'fu
来果,lai'guo
赖鹏举,lai'peng'ju
赖瑜,lai'yu
赖咤和罗,lai'zha'he'luo
蓝吉富,lan'ji'fu
老藏丹贝,lao'cang'dan'bei
乐崇辉,le'chong'hui
了的,le'de
乐观,le'guan
了惠,le'hui
了派,le'pai
了世,le'shi
了万,le'wan
了午,le'wu
了义,le'yi
立花俊道,li'hua'jun'dao
离婆多,li'po'duo
利涉,li'she
立信,li'xin
利言,li'yan
利严,li'yan
莲航,lian'hang
莲华戒,lian'hua'jie
莲华色,lian'hua'se
莲华生,lian'hua'sheng
莲如,lian'ru
鎌田茂雄,lian'tian'mao'xiong
了然,liao'ran
林藜光,lin'li'guang
林秋梧,lin'qiu'wu
林彦明,lin'yan'ming
铃木大拙,ling'mu'da'zhuo
铃木正三,ling'mu'zheng'san
柳本尊,liu'ben'zun
刘贵杰,liu'gui'jie
刘国香,liu'guo'xiang
刘虬,liu'qiu
刘锐之,liu'rui'zhi
柳田圣山,liu'tian'sheng'shan
柳宗元,liu'zong'yuan
龙清巴,long'qing'ba
龙树,long'shu
龙智,long'zhi
卢梅楚臣喜饶,lu'mei'chu'chen'xi'rao
罗侯罗,luo'hou'luo
罗侯罗跋陀罗,luo'hou'luo'ba'tuo'luo
罗迦陵,luo'jia'ling
罗摩克里希纳,luo'mo'ke'li'xi'na
罗摩难陀,luo'mo'nan'tuo
