阿黛尔,a'dai'er
阿蛮,a'man
暗羽,an'yu
白帝,bai'di
白骨之舞,bai'gu'zhi'wu
白螺,bai'luo
白薇,bai'wei
白璎,bai'ying
拜月教,bai'yue'jiao
碧城,bi'cheng
碧落,bi'luo
碧落海,bi'luo'hai
比夏,bi'xia
冰菱,bing'ling
冰梅,bing'mei
沧澜江,cang'lan'jiang
沧流,cang'liu
苍梧之渊,cang'wu'zhi'yuan
沉沙谷,chen'sha'gu
沉婴,chen'ying
吹花小筑,chui'hua'xiao'zhu
纯公主,chun'gong'zhu
纯煌,chun'huang
黛丝,dai'si
鼎剑阁,ding'jian'ge
丁宁,ding'ning
方之玠,fang'zhi'jie
方之珉,fang'zhi'min
飞廉,fei'lian
分血大发,fen'xue'da'fa
风隼,feng'sun
风涯,feng'ya
风雨组织,feng'yu'zu'zhi
浮罗山庄,fu'luo'shan'zhuang
扶南,fu'nan
高欢,gao'huan
高梦非,gao'meng'fei
公子楚,gong'zi'chu
公子连城,gong'zi'lian'cheng
公子舒夜,gong'zi'shu'ye
公子苏,gong'zi'su
公子昭,gong'zi'zhao
孤光,gu'guang
海国,hai'guo
海因,hai'yin
寒洲,han'zhou
昊天,hao'tian
红尘,hong'chen
红莲烈火,hong'lian'lie'huo
桦火,hua'huo
华莲,hua'lian
花蕊夫人,hua'rui'fu'ren
黄泉,huang'quan
凰羽夫人,huang'yu'fu'ren
霍恩,huo'en
霍图部,huo'tu'bu
霍展白,huo'zhan'bai
迦楼罗,jia'lou'luo
迦若,jia'ruo
迦香,jia'xiang
江楚歌,jiang'chu'ge
江千媚,jiang'qian'mei
鲛人,jiao'ren
金碧辉,jin'bi'hui
镜湖,jing'hu
九嶷山,jiu'yi'shan
菊花之刺,ju'hua'zhi'ci
卡莲,ka'lian
空寂之山,kong'ji'zhi'shan
空桑,kong'sang
琅轩,lang'xuan
灵鷲宫,ling'jiu'gong
灵修,ling'xiu
流光,liu'guang
龙首原,long'shou'yuan
罗莱仕,luo'lai'shi
曼青,man'qing
梅倪雅,mei'ni'ya
米格尔,mi'ge'er
妙风,miao'feng
妙火,miao'huo
妙空,miao'kong
妙水,miao'shui
明河,ming'he
明介,ming'jie
明茉,ming'mo
墨香,mo'xiang
慕容修,mu'rong'xiu
慕士塔格峰,mu'shi'ta'ge'feng
慕湮,mu'yan
那笙,na'sheng
南楚,nan'chu
南宫陌,nan'gong'mo
南疆,nan'jiang
宁凉,ning'liang
弄玉公主,nong'yu'gong'zhu
裴迪亚斯,pei'di'ya'si
裴冷翠,pei'leng'cui
缥碧,piao'bi
破军,po'jun
七叶明芝,qi'ye'ming'zhi
伽蓝,qie'lan
清辉,qing'hui
青岚,qing'lan
青鸾花,qing'luan'hua
青羽,qing'yu
秋护玉,qiu'hu'yu
燃雅,ran'ya
任飞扬,ren'fei'yang
弱水,ruo'shui
萨日娜,sa'ri'na
沙曼华,sha'man'hua
闪闪,shan'shan
山中老人,shan'zhong'lao'ren
神澈,shen'che
沈洵,shen'xun
圣湖,sheng'hu
十巫,shi'wu
舒靖容,shu'jing'rong
舒骏,shu'jun
舜华,shun'hua
苏摩,su'mo
苏诺,su'nuo
探丸郎,tan'wan'lang
天狼,tian'lang
天阙,tian'que
天心轮,tian'xin'lun
听雪楼,ting'xue'lou
万年龙血赤寒珠,wan'nian'long'xue'chi'han'zhu
卫子康,wei'zi'kang
舞倪,wu'ni
无色城,wu'se'cheng
西京,xi'jing
夕影,xi'ying
西泽尔,xi'ze'er
萧忆情,xiao'yi'qing
谢鸿影,xie'hong'ying
谢少卿,xie'shao'qing
谢少渊,xie'shao'yuan
星尊帝,xing'zun'di
血鬼降,xue'gui'jiang
雪怀,xue'huai
血魔,xue'mo
薛青茗,xue'qing'ming
血薇,xue'wei
薛紫夜,xue'zi'ye
雅弥,ya'mi
颜白,yan'bai
严累,yan'lei
魇魔,yan'mo
炎汐,yan'xi
药师谷,yao'shi'gu
叶城,ye'cheng
叶风砂,ye'feng'sha
叶赛尔,ye'sai'er
叶天籁,ye'tian'lai
叶天征,ye'tian'zheng
音格尔,yin'ge'er
玉箫,yu'xiao
羽扬,yu'yang
月魄,yue'po
云焕,yun'huan
云泉,yun'quan
昀息,yun'xi
云焰,yun'yan
云炷,yun'zhu
长孙思远,zhang'sun'si'yuan
昭明,zhao'ming
真岚,zhen'lan
止裴冷翠,zhi'pei'leng'cui
止水,zhi'shui
钟木桦,zhong'mu'hua
中州,zhong'zhou
朱儿,zhu'er
紫黛,zi'dai
紫陌,zi'mo
