安德门,an'de'men
奥体东,ao'ti'dong
奥体中心,ao'ti'zhong'xin
百家湖,bai'jia'hu
大行宫,da'xing'gong
高铁南京南站,gao'tie'nan'jing'nan'zhan
鼓楼,gu'lou
汉中路,han'zhong'lu
河定桥,he'ding'qiao
红山动物园,hong'shan'dong'wu'yuan
花神庙,hua'shen'miao
集庆门大街,ji'qing'men'da'jie
金马路,jin'ma'lu
经天路,jing'tian'lu
龙眠大道,long'mian'da'dao
马群,ma'qun
迈皋桥,mai'gao'qiao
明故宫,ming'gu'gong
莫愁湖,mo'chou'hu
苜蓿园大街,mu'xu'yuan'da'jie
南大仙林校区,nan'da'xian'lin'xiao'qu
南京火车站,nan'jing'huo'che'zhan
南京交院,nan'jing'jiao'yuan
软件大道,ruan'jian'da'dao
三山街,san'shan'jie
上海路,shang'hai'lu
胜太路,sheng'tai'lu
双龙大道,shuang'long'da'dao
天隆寺,tian'long'si
天印大道,tian'yin'da'dao
西安门,xi'an'men
下马坊,xia'ma'fang
仙鹤门,xian'he'men
仙林中心,xian'lin'zhong'xin
小行,xiao'hang
孝陵卫,xiao'ling'wei
小龙湾,xiao'long'wan
新街口,xin'jie'kou
新模范马路,xin'mo'fan'ma'lu
兴隆街,xing'long'jie
玄武门,xuan'wu'men
学则路,xue'ze'lu
羊山公园,yang'shan'gong'yuan
油坊桥,you'fang'qiao
雨润大街,yu'run'da'jie
元通,yuan'tong
云锦路,yun'jin'lu
张府园,zhang'fu'yuan
中国药科大学,zhong'guo'yao'ke'da'xue
中华门,zhong'hua'men
钟灵街,zhong'ling'jie
中胜,zhong'sheng
珠江路,zhu'jiang'lu
竹山路,zhu'shan'lu
