矮子斋,ai'zi'zhai
白家肥肠粉,bai'jia'fei'chang'fen
白面锅盔,bai'mian'guo'kui
玻璃烧麦,bo'li'shao'mai
陈麻婆豆腐,chen'ma'po'dou'fu
成都餐厅,cheng'du'can'ting
成都炒面,cheng'du'chao'mian
成都担担面,cheng'du'dan'dan'mian
成都三花茉莉花茶,cheng'du'san'hua'mo'li'hua'cha
成都油茶,cheng'du'you'cha
崇州荞面,chong'zhou'qiao'mian
川北凉粉,chuan'bei'liang'fen
串串香,chuan'chuan'xiang
川味凉面,chuan'wei'liang'mian
糍粑,ci'ba
脆绍面,cui'shao'mian
蛋烘糕,dan'hong'gao
灯影牛肉,deng'ying'niu'rou
冻糕,dong'gao
洞子口张凉粉,dong'zi'kou'zhang'liang'fen
豆腐帘子,dou'fu'lian'zi
豆花面,dou'hua'mian
豆汤饭,dou'tang'fan
都江堰尤兔头,du'jiang'yan'you'tu'tou
二姐兔丁,er'jie'tu'ding
肥肠粉,fei'chang'fen
肥肠面,fei'chang'mian
夫妻肺片,fu'qi'fei'pian
芙蓉餐厅,fu'rong'can'ting
古月胡,gu'yue'hu
古月胡三合泥,gu'yue'hu'san'he'ni
怪味兔头,guai'wei'tu'tou
广汉缠丝兔,guang'han'chan'si'tu
广汉金丝面,guang'han'jin'si'mian
郭汤圆,guo'tang'yuan
海味面,hai'wei'mian
韩包子,han'bao'zi
耗子洞樟茶鸭,hao'zi'dong'zhang'cha'ya
贺水饺,he'shui'jiao
红糖锅盔,hong'tang'guo'kui
红星兔丁,hong'xing'tu'ding
红油兔丁,hong'you'tu'ding
怀远三绝,huai'yuan'san'jue
回民餐厅,hui'min'can'ting
混糖锅魁,hun'tang'guo'kui
鸡丝凉面,ji'si'liang'mian
鸡杂面,ji'za'mian
鸡汁锅贴,ji'zhi'guo'tie
椒盐锅盔,jiao'yan'guo'kui
锦城露芽,jin'cheng'lu'ya
竟成园,jing'cheng'yuan
军屯锅魁,jun'tun'guo'kui
赖汤圆,lai'tang'yuan
龙抄手,long'chao'shou
龙眼包子,long'yan'bao'zi
卤肉锅盔,lu'rou'guo'kui
卤肉夹锅魁,lu'rou'jia'guo'kui
麻辣烫,ma'la'tang
麻辣兔头,ma'la'tu'tou
牛肉焦饼,niu'rou'jiao'bing
努力餐,nu'li'can
盘餐市,pan'can'shi
盘餐市卤肉夹锅魁,pan'can'shi'lu'rou'jia'guo'kui
彭州九尺板鸭,peng'zhou'jiu'chi'ban'ya
郫县豆瓣,pi'xian'dou'ban
蒲江米花糖,pu'jiang'mi'hua'tang
青城泡菜,qing'cheng'pao'cai
青城山洞天乳酒,qing'cheng'shan'dong'tian'ru'jiu
邛崃文君酒,qiong'lai'wen'jun'jiu
荣乐园,rong'le'yuan
肉锅盔,rou'guo'kui
三大炮,san'da'pao
三合泥,san'he'ni
三鲜面,san'xian'mian
三義园,san'yi'yuan
三義园牛肉焦饼,san'yi'yuan'niu'rou'jiao'bing
闪子,shan'zi
伤心凉粉,shang'xin'liang'fen
师友面,shi'you'mian
双流老妈兔头,shuang'liu'lao'ma'tu'tou
四川泡菜,si'chuan'pao'cai
宋嫂面,song'sao'mian
酥锅盔,su'guo'kui
素椒杂酱面,su'jiao'za'jiang'mian
酸辣豆花,suan'la'dou'hua
酸辣粉,suan'la'fen
谭豆花,tan'dou'hua
糖饼,tang'bing
唐场豆腐乳,tang'chang'dou'fu'ru
唐昌酱油,tang'chang'jiang'you
甜水面,tian'shui'mian
天主堂鸡片,tian'zhu'tang'ji'pian
铜井巷素面,tong'jing'xiang'su'mian
味之臾,wei'zhi'yu
温江万春卤菜,wen'jiang'wan'chun'lu'cai
五香兔头,wu'xiang'tu'tou
犀浦酱油,xi'pu'jiang'you
熙园,xi'yuan
小笼包子,xiao'long'bao'zi
小笼蒸牛肉,xiao'long'zheng'niu'rou
新都桂花糕,xin'du'gui'hua'gao
新都姜糖,xin'du'jiang'tang
旋子锅盔,xuan'zi'guo'kui
耀华西餐厅,yao'hua'xi'can'ting
叶耳粑,ye'er'ba
粤香村,yue'xiang'cun
樟茶鸭,zhang'cha'ya
珍珠元子,zhen'zhu'yuan'zi
蒸蒸糕,zheng'zheng'gao
治德号,zhi'de'hao
治德号牛肉,zhi'de'hao'niu'rou
痔胡子包子,zhi'hu'zi'bao'zi
钟水饺,zhong'shui'jiao
