按季通报,an'ji'tong'bao
按月评分,an'yue'ping'fen
白条抵库,bai'tiao'di'ku
包括直接参与者,bao'kuo'zhi'jie'can'yu'zhe
不收,bu'shou
查库,cha'ku
拆封,chai'feng
抽换,chou'huan
出纳人员,chu'na'ren'yuan
次月,ci'yue
存放中央银行款项,cun'fang'zhong'yang'yin'hang'kuan'xiang
存款人,cun'kuan'ren
大额支付系统,da'e'zhi'fu'xi'tong
当面点清,dang'mian'dian'qing
当日至迟下一个法定工作日上午,dang'ri'zhi'chi'xia'yi'ge'fa'ding'gong'zuo'ri'shang'wu
登记手续,deng'ji'shou'xu
登记注销,deng'ji'zhu'xiao
递延资产,di'yan'zi'chan
防有害生物,fang'you'hai'sheng'wu
分类,fen'lei
分配清单,fen'pei'qing'dan
管理,guan'li
合并,he'bing
合同文本,he'tong'wen'ben
红蓝字同方向,hong'lan'zi'tong'fang'xiang
红字冲正,hong'zi'chong'zheng
换人复点,huan'ren'fu'dian
换人复核,huan'ren'fu'he
汇票到期日,hui'piao'dao'qi'ri
回执信息,hui'zhi'xin'xi
基本存款账户,ji'ben'cun'kuan'zhang'hu
基本存款账账户,ji'ben'cun'kuan'zhang'zhang'hu
稽核,ji'he
加强监督,jia'qiang'jian'du
监督,jian'du
监交,jian'jiao
借记回执信息,jie'ji'hui'zhi'xin'xi
借记支付业务,jie'ji'zhi'fu'ye'wu
借走,jie'zou
经费存款,jing'fei'cun'kuan
净借记限额,jing'jie'ji'xian'e
开户行,kai'hu'hang
库存现金,ku'cun'xian'jin
会计报表,kuai'ji'bao'biao
会计档案保管,kuai'ji'dang'an'bao'guan
会计分录,kuai'ji'fen'lu
会计机构负责人,kuai'ji'ji'gou'fu'ze'ren
会计凭证,kuai'ji'ping'zheng
会计账簿,kuai'ji'zhang'bu
蓝字补结,lan'zi'bu'jie
蓝字反方向,lan'zi'fan'fang'xiang
隶属单位证明,li'shu'dan'wei'zheng'ming
量化考核,liang'hua'kao'he
内部传递,nei'bu'chuan'di
挪用库款,nuo'yong'ku'kuan
批量包,pi'liang'bao
其他会计资料,qi'ta'kuai'ji'zi'liao
其它凭证,qi'ta'ping'zheng
其他银行和非银行金额机构之间,qi'ta'yin'hang'he'fei'yin'hang'jin'e'ji'gou'zhi'jian
其他应收款,qi'ta'ying'shou'kuan
强化服务,qiang'hua'fu'wu
人民币活期,ren'min'bi'huo'qi
人民银行,ren'min'yin'hang
人总行,ren'zong'hang
日间调整即时生效,ri'jian'tiao'zheng'ji'shi'sheng'xiao
上级行会计部门,shang'ji'xing'kuai'ji'bu'men
收购资金专用存款账户,shou'gou'zi'jin'zhuan'yong'cun'kuan'zhang'hu
收款人,shou'kuan'ren
授信额度,shou'xin'e'du
双签制,shuang'qian'zhi
双人临柜,shuang'ren'lin'gui
算头不算尾,suan'tou'bu'suan'wei
特许参与者,te'xu'can'yu'zhe
统一标准,tong'yi'biao'zhun
涂画,tu'hua
外借,wai'jie
完整性,wan'zheng'xing
系统维护员,xi'tong'wei'hu'yuan
先急后缓,xian'ji'hou'huan
先外后内,xian'wai'hou'nei
小额查复查询书,xiao'e'cha'fu'cha'xun'shu
小额汇入报文接受打印,xiao'e'hui'ru'bao'wen'jie'shou'da'yin
小额客户账户,xiao'e'ke'hu'zhang'hu
小额支付系统,xiao'e'zhi'fu'xi'tong
销售,xiao'shou
新旧科目结转对照表,xin'jiu'ke'mu'jie'zhuan'dui'zhao'biao
验收证明,yan'shou'zheng'ming
业务管理,ye'wu'guan'li
业务截止通知,ye'wu'jie'zhi'tong'zhi
一般存款账户,yi'ban'cun'kuan'zhang'hu
异地收购,yi'di'shou'gou
异地业务,yi'di'ye'wu
一户一清,yi'hu'yi'qing
银行结算账户管理协议,yin'hang'jie'suan'zhang'hu'guan'li'xie'yi
应收利息,ying'shou'li'xi
轧差,zha'cha
扎差净额,zha'cha'jing'e
真实性,zhen'shi'xing
正确核算,zheng'que'he'suan
正式公文介绍,zheng'shi'gong'wen'jie'shao
支付交易序号,zhi'fu'jiao'yi'xu'hao
支票领用登记簿,zhi'piao'ling'yong'deng'ji'bu
只收不付,zhi'shou'bu'fu
质押品,zhi'ya'pin
中国人民银行,zhong'guo'ren'min'yin'hang
重要空白凭证使用登记簿,zhong'yao'kong'bai'ping'zheng'shi'yong'deng'ji'bu
逐笔授,zhu'bi'shou
主管或上级机构主管,zhu'guan'huo'shang'ji'ji'gou'zhu'guan
综合会计应用系统,zong'he'kuai'ji'ying'yong'xi'tong
