安神合剂,an'shen'he'ji
败黄肝宁合剂,bai'huang'gan'ning'he'ji
白英清脉合剂,bai'ying'qing'mai'he'ji
白芷酊,bai'zhi'ding
半夏调中颗粒,ban'xia'tiao'zhong'ke'li
苯酚甘油滴耳液,ben'fen'gan'you'di'er'ye
鼻炎合剂,bi'yan'he'ji
鳖甲软肝丸,bie'jia'ruan'gan'wan
博心通软胶囊,bo'xin'tong'ruan'jiao'nang
丹参白疕消丸,dan'shen'bai'bi'xiao'wan
地黄明睛糖浆,di'huang'ming'jing'tang'jiang
碘化钾口服溶液,dian'hua'jia'kou'fu'rong'ye
杜仲腰康合剂,du'zhong'yao'kang'he'ji
二氧化钛乳膏,er'yang'hua'tai'ru'gao
肺咳停合剂,fei'ke'ting'he'ji
痱子水,fei'zi'shui
复方苯甲酸酊,fu'fang'ben'jia'suan'ding
复方薄荷脑滴鼻液,fu'fang'bo'he'nao'di'bi'ye
复方薄荷脑酊,fu'fang'bo'he'nao'ding
复方薄荷脑洗剂,fu'fang'bo'he'nao'xi'ji
复方醋酸曲安奈德乳膏,fu'fang'cu'suan'qu'an'nai'de'ru'gao
复方间苯二酚搽剂,fu'fang'jian'ben'er'fen'cha'ji
复方间苯二酚发用醑,fu'fang'jian'ben'er'fen'fa'yong'xu
复方硫磺糊,fu'fang'liu'huang'hu
复方炉甘石洗剂,fu'fang'lu'gan'shi'xi'ji
复方明矾洗剂,fu'fang'ming'fan'xi'ji
复方水硫洗剂,fu'fang'shui'liu'xi'ji
复方水杨酸碘酚酊,fu'fang'shui'yang'suan'dian'fen'ding
复方酮康唑洗剂,fu'fang'tong'kang'zuo'xi'ji
复方氧化锌散,fu'fang'yang'hua'xin'san
妇科洗剂,fu'ke'xi'ji
葛根颈痛合剂,ge'gen'jing'tong'he'ji
归芪补肾合剂,gui'qi'bu'shen'he'ji
硅油乳膏,gui'you'ru'gao
黄角愈风糖浆,huang'jiao'yu'feng'tang'jiang
解毒止痛合剂,jie'du'zhi'tong'he'ji
洁肤液,jie'fu'ye
洁口净含漱液,jie'kou'jing'han'shu'ye
金霉素甘油搽剂,jin'mei'su'gan'you'cha'ji
九味益胃合剂,jiu'wei'yi'wei'he'ji
开胃消食合剂,kai'wei'xiao'shi'he'ji
抗敏茶,kang'min'cha
抗脂洁尔乳膏,kang'zhi'jie'er'ru'gao
口炎清合剂,kou'yan'qing'he'ji
凉血消疕合剂,liang'xue'xiao'bi'he'ji
灵丹片,ling'dan'pian
硫磺乳膏,liu'huang'ru'gao
硫酸链霉素滴鼻液,liu'suan'lian'mei'su'di'bi'ye
氯化钾口服溶液,lv'hua'jia'kou'fu'rong'ye
麻甘口服液,ma'gan'kou'fu'ye
煤焦油软膏,mei'jiao'you'ruan'gao
尿素乳膏,niao'su'ru'gao
排石茶,pai'shi'cha
硼酸滴耳液,peng'suan'di'er'ye
青娥养颜胶囊,qing'e'yang'yan'jiao'nang
清热解毒灌肠液,qing're'jie'du'guan'chang'ye
清血解毒合剂,qing'xue'jie'du'he'ji
清疣洗剂,qing'you'xi'ji
祛白合剂,qu'bai'he'ji
鞣酸软膏,rou'suan'ruan'gao
上感糖浆,shang'gan'tang'jiang
参芪肾衰合剂,shen'qi'shen'shuai'he'ji
十味柴黄合剂,shi'wei'chai'huang'he'ji
十五味乳病合剂,shi'wu'wei'ru'bing'he'ji
水杨酸酊,shui'yang'suan'ding
水杨酸甘油酊,shui'yang'suan'gan'you'ding
水杨酸软膏,shui'yang'suan'ruan'gao
太子参产宁合剂,tai'zi'shen'chan'ning'he'ji
檀香通脉胶囊,tan'xiang'tong'mai'jiao'nang
桃红白灵片,tao'hong'bai'ling'pian
通腑排气合剂,tong'fu'pai'qi'he'ji
消痤合剂,xiao'cuo'he'ji
辛夷鼻通合剂,xin'yi'bi'tong'he'ji
徐长卿合剂,xu'chang'qing'he'ji
续断骨伤合剂,xu'duan'gu'shang'he'ji
盐酸麻黄碱滴鼻液,yan'suan'ma'huang'jian'di'bi'ye
咽炎合剂,yan'yan'he'ji
氧化锌搽剂,yang'hua'xin'cha'ji
洋参抗衰合剂,yang'shen'kang'shuai'he'ji
茵黄清木合剂,yin'huang'qing'mu'he'ji
元通合剂,yuan'tong'he'ji
樟脑乳膏,zhang'nao'ru'gao
樟脑软膏,zhang'nao'ruan'gao
止咳糖浆,zhi'ke'tang'jiang
止痒洗剂,zhi'yang'xi'ji
紫草解毒软膏,zi'cao'jie'du'ruan'gao
紫草油搽剂,zi'cao'you'cha'ji
足粉,zu'fen
