贝格,bei'ge
贝路显影液,bei'lu'xian'ying'ye
贝雅德,bei'ya'de
比例加厚,bi'li'jia'hou
比例减薄,bi'li'jian'bao
比色密度,bi'se'mi'du
不集心慧形像差,bu'ji'xin'hui'xing'xiang'cha
不集心像差,bu'ji'xin'xiang'cha
不均匀变形,bu'jun'yun'bian'xing
不可见射线,bu'ke'jian'she'xian
大光纸,da'guang'zhi
大口径镜头,da'kou'jing'jing'tou
大四开照相机,da'si'kai'zhao'xiang'ji
大苏打,da'su'da
大型照相机,da'xing'zhao'xiang'ji
大众摄影,da'zhong'she'ying
丁醇,ding'chun
丁酮,ding'tong
二次电子电导摄像管,er'ci'dian'zi'dian'dao'she'xiang'guan
二当量成色剂,er'dang'liang'cheng'se'ji
二甘醇,er'gan'chun
二色性灰雾,er'se'xing'hui'wu
二向色滤光片,er'xiang'se'lv'guang'pian
二氧化钛感光材料,er'yang'hua'tai'gan'guang'cai'liao
二乙基氧碳菁碘盐,er'yi'ji'yang'tan'jing'dian'yan
反差,fan'cha
反差测量自动调焦,fan'cha'ce'liang'zi'dong'tiao'jiao
反差滤色镜,fan'cha'lv'se'jing
反差平衡,fan'cha'ping'heng
反差系数,fan'cha'xi'shu
反差系数极限,fan'cha'xi'shu'ji'xian
反差指数,fan'cha'zhi'shu
反衬效果,fan'chen'xiao'guo
反光聚焦器,fan'guang'ju'jiao'qi
反光伞,fan'guang'san
反光式平视取景器,fan'guang'shi'ping'shi'qu'jing'qi
反光照相机,fan'guang'zhao'xiang'ji
反射,fan'she
反射定律,fan'she'ding'lv
反射光,fan'she'guang
反射光栅,fan'she'guang'shan
反射角,fan'she'jiao
反射率,fan'she'lv
反射密度,fan'she'mi'du
反射全息照片,fan'she'quan'xi'zhao'pian
反射式测光表,fan'she'shi'ce'guang'biao
反射式天文摄影镜头,fan'she'shi'tian'wen'she'ying'jing'tou
反射式远摄镜头,fan'she'shi'yuan'she'jing'tou
反射印相,fan'she'yin'xiang
反像,fan'xiang
反转曝光,fan'zhuan'bao'guang
反转曝光量,fan'zhuan'bao'guang'liang
反转浮雕,fan'zhuan'fu'diao
反转密度,fan'zhuan'mi'du
反转片,fan'zhuan'pian
反转望远镜头,fan'zhuan'wang'yuan'jing'tou
反转照相纸,fan'zhuan'zhao'xiang'zhi
方幅画面,fang'fu'hua'mian
方和斐线,fang'he'fei'xian
方盒照相机,fang'he'zhao'xiang'ji
方向效应,fang'xiang'xiao'ying
分调照片,fen'diao'zhao'pian
分光膜,fen'guang'mo
分离派,fen'li'pai
分区柔光镜,fen'qu'rou'guang'jing
分散圈,fen'san'quan
分色模片,fen'se'mo'pian
分色片,fen'se'pian
分色照相机,fen'se'zhao'xiang'ji
分析密度,fen'xi'mi'du
分像镜,fen'xiang'jing
风景摄影,feng'jing'she'ying
干法重氮纸,gan'fa'zhong'dan'zhi
干酪素,gan'lao'su
干酪素加膜,gan'lao'su'jia'mo
干涉滤光片,gan'she'lv'guang'pian
干性油,gan'xing'you
干银纸,gan'yin'zhi
干燥,gan'zao
戈公振,ge'gong'zhen
工业电视,gong'ye'dian'shi
工业摄影,gong'ye'she'ying
工作液,gong'zuo'ye
广告摄影,guang'gao'she'ying
广角变焦镜头,guang'jiao'bian'jiao'jing'tou
广角放大镜头,guang'jiao'fang'da'jing'tou
广角镜头,guang'jiao'jing'tou
互换接环,hu'huan'jie'huan
互易律,hu'yi'lv
互易效应,hu'yi'xiao'ying
化出化入,hua'chu'hua'ru
化淡法,hua'dan'fa
化学成熟,hua'xue'cheng'shu
化学灰雾,hua'xue'hui'wu
化学加厚,hua'xue'jia'hou
化学闪光灯,hua'xue'shan'guang'deng
化学显影,hua'xue'xian'ying
化学增感,hua'xue'zeng'gan
化学增感剂,hua'xue'zeng'gan'ji
化学着色,hua'xue'zhuo'se
火花,huo'hua
火棉胶,huo'mian'jiao
火棉胶乳剂法,huo'mian'jiao'ru'ji'fa
火棉胶摄影术,huo'mian'jiao'she'ying'shu
几何光学,ji'he'guang'xue
几奴尼,ji'nu'ni
九根法,jiu'gen'fa
九宫格构图,jiu'gong'ge'gou'tu
巨型变焦镜头,ju'xing'bian'jiao'jing'tou
巨型照相机,ju'xing'zhao'xiang'ji
开警勒望远镜,kai'jing'le'wang'yuan'jing
口径,kou'jing
六偏磷酸钠,liu'pian'lin'suan'na
马达卷片器,ma'da'juan'pian'qi
马丁,ma'ding
马克法逊,ma'ke'fa'xun
马斯克,ma'si'ke
马斯克不足,ma'si'ke'bu'zu
马斯克过度,ma'si'ke'guo'du
