阿婆井,a'po'jing
埃武拉街,ai'wu'la'jie
澳氹大桥,ao'dang'da'qiao
奥林匹克大马路,ao'lin'pi'ke'da'ma'lu
澳门大会堂,ao'men'da'hui'tang
澳门大学,ao'men'da'xue
澳门赛马场,ao'men'sai'ma'chang
澳门运动场,ao'men'yun'dong'chang
巴波沙大马路,ba'bo'sha'da'ma'lu
巴波沙坊,ba'bo'sha'fang
巴黎街,ba'li'jie
巴素打尔古街,ba'su'da'er'gu'jie
白鸽巢公园,bai'ge'chao'gong'yuan
柏家街,bai'jia'jie
北安大马路,bei'an'da'ma'lu
波尔图街,bo'er'tu'jie
伯林街,bo'lin'jie
布拉干萨街,bu'la'gan'sa'jie
布鲁赛尔街,bu'lu'sai'er'jie
菜园街,cai'yuan'jie
菜园涌边街,cai'yuan'yong'bian'jie
长寿大马路,chang'shou'da'ma'lu
成都街,cheng'du'jie
城市日大马路,cheng'shi'ri'da'ma'lu
大连街,da'lian'jie
大潭山,da'tan'shan
大潭山公园,da'tan'shan'gong'yuan
戴维拉街,dai'wei'la'jie
氹仔,dang'zai
凼仔龙环葡韵,dang'zai'long'huan'pu'yun
氹仔龙环葡韵,dang'zai'long'huan'pu'yun
得胜花园,de'sheng'hua'yuan
地堡街,di'bao'jie
电厂巷,dian'chang'xiang
东北大马路,dong'bei'da'ma'lu
东华新村,dong'hua'xin'cun
渡船街,du'chuan'jie
恩尼斯总统前地,en'ni'si'zong'tong'qian'di
二龙喉公园,er'long'hou'gong'yuan
飞南第街,fei'nan'di'jie
高励雅马路,gao'li'ya'ma'lu
高楼街,gao'lou'jie
高士德大马路,gao'shi'de'da'ma'lu
高园街,gao'yuan'jie
姑娘街,gu'niang'jie
关前后街,guan'qian'hou'jie
观音岩,guan'yin'yan
关闸广场,guan'zha'guang'chang
关闸马路,guan'zha'ma'lu
广东大马路,guang'dong'da'ma'lu
国父纪念馆,guo'fu'ji'nian'guan
国庆节大马路,guo'qing'jie'da'ma'lu
海边新街,hai'bian'xin'jie
海事博物馆,hai'shi'bo'wu'guan
海洋花园大马路,hai'yang'hua'yuan'da'ma'lu
荷兰园大马路,he'lan'yuan'da'ma'lu
何贤爵士大马路,he'xian'jue'shi'da'ma'lu
黑沙公园,hei'sha'gong'yuan
黑沙海滩,hei'sha'hai'tan
黑沙环海边巷,hei'sha'huan'hai'bian'xiang
黑沙环新街,hei'sha'huan'xin'jie
黑沙环中街,hei'sha'huan'zhong'jie
黑沙湾,hei'sha'wan
花城公园,hua'cheng'gong'yuan
花地玛圣母堂,hua'di'ma'sheng'mu'tang
花王堂街,hua'wang'tang'jie
回力娱乐场,hui'li'yu'le'chang
火船头街,huo'chuan'tou'jie
鸡颈马路,ji'jing'ma'lu
纪念孙中山市政公园,ji'nian'sun'zhong'shan'shi'zheng'gong'yuan
贾伯乐提督街,jia'bo'le'ti'du'jie
镜湖马路,jing'hu'ma'lu
九澳村,jiu'ao'cun
九澳发电厂,jiu'ao'fa'dian'chang
九澳高顶烧烤公园,jiu'ao'gao'ding'shao'kao'gong'yuan
九澳马路,jiu'ao'ma'lu
九澳水库,jiu'ao'shui'ku
九澳油库,jiu'ao'you'ku
康公庙,kang'gong'miao
科英不拉街,ke'ying'bu'la'jie
筷子基,kuai'zi'ji
来来超市,lai'lai'chao'shi
劳动节大马路,lao'dong'jie'da'ma'lu
劳动节街,lao'dong'jie'jie
李宝椿街,li'bao'chun'jie
荔枝碗,li'zhi'wan
莲花大桥,lian'hua'da'qiao
连胜街,lian'sheng'jie
林茂海边大马路,lin'mao'hai'bian'da'ma'lu
留声机博物馆,liu'sheng'ji'bo'wu'guan
路氹,lu'dang
路氹大马路,lu'dang'da'ma'lu
路氹连贯公路,lu'dang'lian'guan'gong'lu
路环,lu'huan
卢廉若公园,lu'lian'ruo'gong'yuan
卢廉若马路,lu'lian'ruo'ma'lu
伦敦街,lun'dun'jie
伦斯泰特大马路,lun'si'tai'te'da'ma'lu
罗理基博士大马路,luo'li'ji'bo'shi'da'ma'lu
罗马街,luo'ma'jie
螺丝山,luo'si'shan
旅游观光塔,lv'you'guan'guang'ta
旅游文化活动中心,lv'you'wen'hua'huo'dong'zhong'xin
马场北大马路,ma'chang'bei'da'ma'lu
马场东大马路,ma'chang'dong'da'ma'lu
马场海边大马路,ma'chang'hai'bian'da'ma'lu
马德里街,ma'de'li'jie
妈阁山,ma'ge'shan
妈阁上街,ma'ge'shang'jie
马交石炮台马路,ma'jiao'shi'pao'tai'ma'lu
马拉斯大马路,ma'la'si'da'ma'lu
码头花园,ma'tou'hua'yuan
美副将大马路,mei'fu'jiang'da'ma'lu
米尼奥街,mi'ni'ao'jie
民国大马路,min'guo'da'ma'lu
慕拉士,mu'la'shi
慕拉士大马路,mu'la'shi'da'ma'lu
慕拉士巷,mu'la'shi'xiang
南京大马路,nan'jing'da'ma'lu
南京街,nan'jing'jie
南湾湖,nan'wan'hu
区神父街,ou'shen'fu'jie
普济禅院,pu'ji'chan'yuan
葡京酒店,pu'jing'jiu'dian
菩提园,pu'ti'yuan
七潭公路,qi'tan'gong'lu
青洲,qing'zhou
青洲大马路,qing'zhou'da'ma'lu
青洲坊,qing'zhou'fang
融合门,rong'he'men
瑞昌超市,rui'chang'chao'shi
三盏灯,san'zhan'deng
沙格斯大马路,sha'ge'si'da'ma'lu
沙栏仔街,sha'lan'zai'jie
圣德伦街,sheng'de'lun'jie
圣若瑟劳工主保堂,sheng'ruo'se'lao'gong'zhu'bao'tang
史伯泰海军马路,shi'bo'tai'hai'jun'ma'lu
士多鸟拜斯大马路,shi'duo'niao'bai'si'da'ma'lu
十月初五街,shi'yue'chu'wu'jie
水塘,shui'tang
四面佛,si'mian'fo
松山,song'shan
松山缆车,song'shan'lan'che
松山市政公园,song'shan'shi'zheng'gong'yuan
苏雅利斯博士大马路,su'ya'li'si'bo'shi'da'ma'lu
孙逸仙博士大马路,sun'yi'xian'bo'shi'da'ma'lu
孙逸仙大马路,sun'yi'xian'da'ma'lu
塔石艺文馆,ta'shi'yi'wen'guan
谭公庙,tan'gong'miao
天后古庙,tian'hou'gu'miao
通讯博物馆,tong'xun'bo'wu'guan
外交部驻澳机构,wai'jiao'bu'zhu'ao'ji'gou
望德圣母大马路,wang'de'sheng'mu'da'ma'lu
望德堂,wang'de'tang
望厦,wang'sha
伟龙马路,wei'long'ma'lu
西坟马路,xi'fen'ma'lu
西湾大桥,xi'wan'da'qiao
西湾湖,xi'wan'hu
下环街,xia'huan'jie
冼星海大马路,xian'xing'hai'da'ma'lu
消防员前地,xiao'fang'yuan'qian'di
孝思坟场,xiao'si'fen'chang
小潭山,xiao'tan'shan
信安马路,xin'an'ma'lu
新八佰伴,xin'ba'bai'ban
新胜街,xin'sheng'jie
新益花园,xin'yi'hua'yuan
雅廉访大马路,ya'lian'fang'da'ma'lu
亚马喇嘛路,ya'ma'la'ma'lu
鸭涌河,ya'yong'he
涌河新街,yong'he'xin'jie
永乐戏院,yong'le'xi'yuan
永利,yong'li
祐汉街市,you'han'jie'shi
祐汉新村第二街,you'han'xin'cun'di'er'jie
祐汉新村第一街,you'han'xin'cun'di'yi'jie
友谊大马路,you'yi'da'ma'lu
友谊大桥,you'yi'da'qiao
友谊桥大马路,you'yi'qiao'da'ma'lu
渔翁街,yu'weng'jie
运动场道,yun'dong'chang'dao
主教山教堂,zhu'jiao'shan'jiao'tang
竹湾泳池,zhu'wan'yong'chi
卓家村,zhuo'jia'cun
