阿倍野桥魔法商店街,a'bei'ye'qiao'mo'fa'shang'dian'jie
阿波特战记,a'bo'te'zhan'ji
阿基拉,a'ji'la
阿拉蕾,a'la'lei
阿拉蕾博士,a'la'lei'bo'shi
阿滋漫画大王,a'zi'man'hua'da'wang
爱的魔法,ai'de'mo'fa
埃及王子,ai'ji'wang'zi
艾莉森与莉莉亚,ai'li'sen'yu'li'li'ya
爱丽丝学园,ai'li'si'xue'yuan
爱丽丝学院,ai'li'si'xue'yuan
艾莉斯学园,ai'li'si'xue'yuan
爱情泡泡糖,ai'qing'pao'pao'tang
爱天使传说,ai'tian'shi'chuan'shuo
爱心眼带的秘密,ai'xin'yan'dai'de'mi'mi
爱之天使,ai'zhi'tian'shi
爱之天使安琪莉可,ai'zhi'tian'shi'an'qi'li'ke
爱之天使安琪莉可闪光的明日,ai'zhi'tian'shi'an'qi'li'ke'shan'guang'de'ming'ri
安倍桥魔法商店街,an'bei'qiao'mo'fa'shang'dian'jie
安达卢西亚之夏,an'da'lu'xi'ya'zhi'xia
安琪莉可,an'qi'li'ke
暗夜第六感,an'ye'di'liu'gan
暗影编年史,an'ying'bian'nian'shi
暗与帽子与书之旅人,an'yu'mao'zi'yu'shu'zhi'lv'ren
暗之末裔,an'zhi'mo'yi
霸王爱人,ba'wang'ai'ren
八叶抄,ba'ye'chao
百变狸猫,bai'bian'li'mao
百变小樱,bai'bian'xiao'ying
百变小樱魔卡少女,bai'bian'xiao'ying'mo'ka'shao'nv
百变之星,bai'bian'zhi'xing
百鬼夜行抄,bai'gui'ye'xing'chao
白色猎人,bai'se'lie'ren
拜托了老师,bai'tuo'le'lao'shi
拜托了双子星,bai'tuo'le'shuang'zi'xing
棒球英豪,bang'qiu'ying'hao
爆弹小新娘,bao'dan'xiao'xin'niang
暴风雨之夜,bao'feng'yu'zhi'ye
爆裂鼻毛真拳,bao'lie'bi'mao'zhen'quan
爆裂天使,bao'lie'tian'shi
宝瓶时代,bao'ping'shi'dai
爆转陀螺王,bao'zhuan'tuo'luo'wang
暴走猎人,bao'zou'lie'ren
备长炭,bei'chang'tan
北斗神拳,bei'dou'shen'quan
贝克街的亡灵,bei'ke'jie'de'wang'ling
贝克拉,bei'ke'la
被诅咒的圣剑,bei'zu'zhou'de'sheng'jian
彼男彼女的故事,bi'nan'bi'nv'de'gu'shi
蝙蝠侠,bian'fu'xia
边境王子,bian'jing'wang'zi
变身席格那,bian'shen'xi'ge'na
变身侦探,bian'shen'zhen'tan
变形金刚,bian'xing'jin'gang
变形金钢之银河军队,bian'xing'jin'gang'zhi'yin'he'jun'dui
缤纷之翼,bin'fen'zhi'yi
玻璃假面,bo'li'jia'mian
玻璃舰队,bo'li'jian'dui
玻子汽水,bo'zi'qi'shui
布布恰恰,bu'bu'qia'qia
不公正抽签,bu'gong'zheng'chou'qian
不可思议的教室,bu'ke'si'yi'de'jiao'shi
不可思议的游戏,bu'ke'si'yi'de'you'xi
不可思议之国的美幸,bu'ke'si'yi'zhi'guo'de'mei'xing
不要撒娇哦,bu'yao'sa'jiao'o
部长岛耕作,bu'zhang'dao'geng'zuo
菜菜子解体诊书,cai'cai'zi'jie'ti'zhen'shu
彩虹的浪漫,cai'hong'de'lang'man
苍穹的法芙娜,cang'qiong'de'fa'fu'na
苍穹之法芙娜,cang'qiong'zhi'fa'fu'na
苍天之拳,cang'tian'zhi'quan
苍之瞳的少女,cang'zhi'tong'de'shao'nv
草莓百分百,cao'mei'bai'fen'bai
草莓棉花糖,cao'mei'mian'hua'tang
侧耳倾听,ce'er'qing'ting
曾经的我们,ceng'jing'de'wo'men
柴犬阿旺的和式生活,chai'quan'a'wang'de'he'shi'sheng'huo
颤栗的乐谱,chan'li'de'yue'pu
长今梦,chang'jin'meng
超变身祈斗士,chao'bian'shen'qi'dou'shi
超级机器人大战,chao'ji'ji'qi'ren'da'zhan
超时空要塞,chao'shi'kong'yao'sai
超寿兰,chao'shou'lan
超越時空的障壁,chao'yue'shi'kong'de'zhang'bi
超重神,chao'zhong'shen
沉默的未知,chen'mo'de'wei'zhi
沉默之瞳,chen'mo'zhi'tong
臣士魔法剧场,chen'shi'mo'fa'ju'chang
成惠的世界,cheng'hui'de'shi'jie
冲吧彻之进,chong'ba'che'zhi'jin
铳墓,chong'mu
虫孽,chong'nie
重生的天空,chong'sheng'de'tian'kong
虫师,chong'shi
宠物小精灵,chong'wu'xiao'jing'ling
丑小鸭王子,chou'xiao'ya'wang'zi
初瓣,chu'ban
出包王女,chu'bao'wang'nv
楚楚可怜少女组,chu'chu'ke'lian'shao'nv'zu
初恋限定,chu'lian'xian'ding
除魔美少女,chu'mo'mei'shao'nv
处女任务,chu'nv'ren'wu
初夏,chu'xia
初音岛,chu'yin'dao
初音岛第二季,chu'yin'dao'di'er'ji
出云传奇,chu'yun'chuan'qi
出云战记,chu'yun'zhan'ji
传颂之物,chuan'song'zhi'wu
穿越时空的少女,chuan'yue'shi'kong'de'shao'nv
穿越时空之壁,chuan'yue'shi'kong'zhi'bi
创圣之阿克艾利欧,chuang'sheng'zhi'a'ke'ai'li'ou
纯情房东俏房客,chun'qing'fang'dong'qiao'fang'ke
