艾显平,ai'xian'ping
安家熠,an'jia'yi
安思源,an'si'yuan
百局满珠,bai'ju'man'zhu
白欣,bai'xin
败着,bai'zhe
阪本弘氏,ban'ben'hong'shi
包春枝,bao'chun'zhi
变着,bian'zhe
补杀,bu'sha
蔡力捷,cai'li'jie
残月,can'yue
曹冬,cao'dong
曹洪,cao'hong
曹洪平,cao'hong'ping
曾杨锋,ceng'yang'feng
长勾阵,chang'gou'zhen
长谷川一人,chang'gu'chuan'yi'ren
长连,chang'lian
长星,chang'xing
陈戈,chen'ge
陈嘉炜,chen'jia'wei
陈靖,chen'jing
陈科翰,chen'ke'han
陈亮,chen'liang
陈霖,chen'lin
陈品才,chen'pin'cai
陈荣望,chen'rong'wang
陈涛,chen'tao
陈伟,chen'wei
陈希有,chen'xi'you
陈新,chen'xin
陈玉银,chen'yu'yin
陈柱,chen'zhu
陈子豪,chen'zi'hao
成顺洪,cheng'shun'hong
冲四,chong'si
仇宝义,chou'bao'yi
仇云飞,chou'yun'fei
褚彪,chu'biao
串珠,chuan'zhu
崔炳鑫,cui'bing'xin
打点,da'dian
打谱,da'pu
戴如周,dai'ru'zhou
戴晓涵,dai'xiao'han
戴宇轩,dai'yu'xuan
邓德志,deng'de'zhi
等着,deng'zhe
丁炯,ding'jiong
丁配龙,ding'pei'long
定式,ding'shi
董佳钰,dong'jia'yu
董伟伟,dong'wei'wei
董行,dong'xing
堵慈源,du'ci'yuan
杜卫鹏,du'wei'peng
段然,duan'ran
二打,er'da
范嘉扬,fan'jia'yang
反三,fan'san
反四,fan'si
饭尾义弘,fan'wei'yi'hong
樊星岑,fan'xing'cen
樊毅默,fan'yi'mo
房艺黠,fang'yi'xia
风车胜,feng'che'sheng
冯华升,feng'hua'sheng
冯李子,feng'li'zi
丰伟诚,feng'wei'cheng
冯小峰,feng'xiao'feng
傅亮,fu'liang
复盘,fu'pan
冈部宽,gang'bu'kuan
高金辉,gao'jin'hui
戈翀宇,ge'chong'yu
葛凌峰,ge'ling'feng
宫川淳三,gong'chuan'chun'san
龚胜,gong'sheng
顾工波,gu'gong'bo
顾佶淳,gu'ji'chun
顾婉卿,gu'wan'qing
顾炜,gu'wei
顾伟国,gu'wei'guo
顾闻一,gu'wen'yi
顾贤睿,gu'xian'rui
顾燕萍,gu'yan'ping
管东健,guan'dong'jian
桂打,gui'da
郭成日,guo'cheng'ri
郭锋,guo'feng
郭海森,guo'hai'sen
郭睿,guo'rui
韩帅,han'shuai
寒星,han'xing
含着,han'zhe
贺程,he'cheng
河村典彦,he'cun'dian'yan
贺启发,he'qi'fa
何其强,he'qi'qiang
贺骞,he'qian
何耀文,he'yao'wen
黑石,hei'shi
洪汇,hong'hui
洪士光,hong'shi'guang
侯新元,hou'xin'yuan
胡劼,hu'jie
胡夕,hu'xi
胡瑜,hu'yu
呼珠,hu'zhu
花月,hua'yue
黄丹霖,huang'dan'lin
黄荟文,huang'hui'wen
黄健光,huang'jian'guang
黄金贤,huang'jin'xian
黄立勤,huang'li'qin
黄琼莹,huang'qiong'ying
黄荣华,huang'rong'hua
黄圣明,huang'sheng'ming
黄宇峰,huang'yu'feng
活二,huo'er
霍九旭,huo'jiu'xu
霍馗,huo'kui
活三,huo'san
活四,huo'si
矶部泰山,ji'bu'tai'shan
假活二,jia'huo'er
假活三,jia'huo'san
假禁手,jia'jin'shou
间打,jian'da
见合,jian'he
剑阵,jian'zhen
江齐文,jiang'qi'wen
蒋思雨,jiang'si'yu
蒋晓华,jiang'xiao'hua
江寅坤,jiang'yin'kun
解村,jie'cun
解禁,jie'jin
金秉允,jin'bing'yun
靳博,jin'bo
禁点,jin'dian
金洪俐,jin'hong'li
禁手,jin'shou
京棋,jing'qi
荆卫军,jing'wei'jun
康岩,kang'yan
孔鹏,kong'peng
岚月,lan'yue
李昂,li'ang
李德正,li'de'zheng
李东,li'dong
李非,li'fei
李浩榕,li'hao'rong
李洪斌,li'hong'bin
李婕,li'jie
李洁,li'jie
李磊,li'lei
李丽英,li'li'ying
李亮,li'liang
李萌,li'meng
李鹏,li'peng
李琦,li'qi
李强,li'qiang
李时桢,li'shi'zhen
李涛,li'tao
李旭峰,li'xu'feng
李洋,li'yang
李一,li'yi
李毅云,li'yi'yun
李永刚,li'yong'gang
连打,lian'da
梁大伟,liang'da'wei
两头蛇,liang'tou'she
粱卫,liang'wei
林皇羽,lin'huang'yu
林金顺,lin'jin'shun
林杉,lin'shan
林圣闵,lin'sheng'min
林挺伟,lin'ting'wei
林曦,lin'xi
林雅致,lin'ya'zhi
林越,lin'yue
林智彤,lin'zhi'tong
刘超,liu'chao
刘翀,liu'chong
六腐,liu'fu
刘昊,liu'hao
刘经良,liu'jing'liang
刘俊杰,liu'jun'jie
刘磊宁,liu'lei'ning
刘良,liu'liang
刘新,liu'xin
刘恂,liu'xun
刘昭,liu'zhao
龙梓锋,long'zi'feng
芦海,lu'hai
芦鹏飞,lu'peng'fei
卢申捷,lu'shen'jie
卢炜元,lu'wei'yuan
卢先耀,lu'xian'yao
罗洪飞,luo'hong'fei
罗锦伟,luo'jin'wei
罗煜,luo'yu
罗峥,luo'zheng
吕才超,lv'cai'chao
马少红,ma'shao'hong
马世卫,ma'shi'wei
毛亦李,mao'yi'li
梅凡,mei'fan
梅花阵,mei'hua'zhen
眠二,mian'er
眠三,mian'san
明月,ming'yue
穆宏远,mu'hong'yuan
穆瑞,mu'rui
穆帅,mu'shuai
穆远,mu'yuan
奈良秀树,nai'liang'xiu'shu
聂淼,nie'miao
宁安文,ning'an'wen
潘军,pan'jun
潘仲良,pan'zhong'liang
骗着,pian'zhe
迫下取胜,po'xia'qu'sheng
蒲月,pu'yue
谱纸,pu'zhi
祁观,qi'guan
齐骥,qi'ji
七手三打,qi'shou'san'da
棋钟,qi'zhong
钱坤,qian'kun
嵌四,qian'si
邱德鸣,qiu'de'ming
邱淮富,qiu'huai'fu
丘月,qiu'yue
趣向,qu'xiang
饶肇平,rao'zhao'ping
任继航,ren'ji'hang
任贻江,ren'yi'jiang
瑞星,rui'xing
三打,san'da
三换两打,san'huan'liang'da
三三,san'san
三森政男,san'sen'zheng'nan
三手交换,san'shou'jiao'huan
山口规则,shan'kou'gui'ze
山口釉水,shan'kou'you'shui
山口真琴,shan'kou'zhen'qin
山月,shan'yue
申杰,shen'jie
沈毅,shen'yi
沈瓒,shen'zan
申着,shen'zhe
胜定,sheng'ding
盛宏安,sheng'hong'an
石谷信一,shi'gu'xin'yi
石剑峰,shi'jian'feng
师晓林,shi'xiao'lin
史玉彤,shi'yu'tong
示着,shi'zhe
手筋,shou'jin
疏星,shu'xing
双防,shuang'fang
双三,shuang'san
双杀,shuang'sha
双四,shuang'si
水月,shui'yue
四打,si'da
四三胜,si'san'sheng
四四,si'si
宋爽,song'shuang
宋玉亭,song'yu'ting
松月,song'yue
隋云亮,sui'yun'liang
孙嘉弘,sun'jia'hong
孙立京,sun'li'jing
孙倩,sun'qian
孙宇航,sun'yu'hang
谭鑫麟,tan'xin'lin
谭志锋,tan'zhi'feng
特眠二,te'mian'er
特眠三,te'mian'san
田丰,tian'feng
田汉法,tian'han'fa
田鑫宇,tian'xin'yu
跳眠三,tiao'mian'san
佟明宇,tong'ming'yu
佟卓男,tong'zhuo'nan
王辰,wang'chen
王承荣,wang'cheng'rong
王海波,wang'hai'bo
王昊天,wang'hao'tian
王洪军,wang'hong'jun
王俊波,wang'jun'bo
王凯凯,wang'kai'kai
王立群,wang'li'qun
王启超,wang'qi'chao
汪清清,wang'qing'qing
王荣生,wang'rong'sheng
王硕,wang'shuo
王腾飞,wang'teng'fei
王向东,wang'xiang'dong
王晓,wang'xiao
汪晓敏,wang'xiao'min
王轩,wang'xuan
王烨林,wang'ye'lin
王莹,wang'ying
王有志,wang'you'zhi
王兆强,wang'zhao'qiang
王梓,wang'zi
魏强,wei'qiang
韦振强,wei'zhen'qiang
吴博,wu'bo
武成岩,wu'cheng'yan
五打,wu'da
吴镝,wu'di
吴刚,wu'gang
吴昊,wu'hao
吴杰,wu'jie
吴恺,wu'kai
吴侃,wu'kan
吴明昊,wu'ming'hao
五目碰,wu'mu'peng
吴莎,wu'sha
五石,wu'shi
五手两打,wu'shou'liang'da
吴晓宁,wu'xiao'ning
吴言,wu'yan
吴志琴,wu'zhi'qin
西村敏雄,xi'cun'min'xiong
溪月,xi'yue
奚振扬,xi'zhen'yang
峡月,xia'yue
夏止,xia'zhi
相乐俊,xiang'le'jun
肖迪,xiao'di
小野孝之,xiao'ye'xiao'zhi
谢军,xie'jun
谢磊,xie'lei
谢维祥,xie'wei'xiang
谢雨晨,xie'yu'chen
斜月,xie'yue
谢增忠,xie'zeng'zhong
斜指,xie'zhi
徐白,xu'bai
许斌,xu'bin
徐丹,xu'dan
许国昌,xu'guo'chang
徐嘉琦,xu'jia'qi
徐坤,xu'kun
徐玲琴,xu'ling'qin
徐涛,xu'tao
徐永伟,xu'yong'wei
薛文曦,xue'wen'xi
闫浩,yan'hao
燕阵,yan'zhen
杨爱国,yang'ai'guo
杨皓麟,yang'hao'lin
杨建锐,yang'jian'rui
杨柳,yang'liu
杨娜,yang'na
杨伟光,yang'wei'guang
杨武,yang'wu
阳线,yang'xian
杨彦希,yang'yan'xi
杨镒萌,yang'yi'meng
杨乐,yang'yue
姚金蕊,yao'jin'rui
叶冬,ye'dong
叶冬宁,ye'dong'ning
一打,yi'da
易海立,yi'hai'li
易伊神,yi'yi'shen
尹嘉,yin'jia
殷立成,yin'li'cheng
殷桐,yin'tong
阴线,yin'xian
银月,yin'yue
引着,yin'zhe
游星,you'xing
余刚,yu'gang
喻兰芹,yu'lan'qin
于亮,yu'liang
俞满江,yu'man'jiang
于亚君,yu'ya'jun
雨月,yu'yue
袁金丰,yuan'jin'feng
云月,yun'yue
张才,zhang'cai
张珵,zhang'cheng
张殿强,zhang'dian'qiang
张冬,zhang'dong
张红梅,zhang'hong'mei
张纪国,zhang'ji'guo
张建业,zhang'jian'ye
张进宇,zhang'jin'yu
张俊杰,zhang'jun'jie
张萌森,zhang'meng'sen
张楠,zhang'nan
张睿婷,zhang'rui'ting
张绍何,zhang'shao'he
张铁良,zhang'tie'liang
张卫国,zhang'wei'guo
张校玮,zhang'xiao'wei
张轶峰,zhang'yi'feng
张择晓,zhang'ze'xiao
张真,zhang'zhen
张钟元,zhang'zhong'yuan
赵方凯,zhao'fang'kai
赵辉,zhao'hui
赵嘉,zhao'jia
赵京京,zhao'jing'jing
赵敏,zhao'min
赵孙超,zhao'sun'chao
赵雨桐,zhao'yu'tong
郑蔚楠,zheng'wei'nan
郑旭阳,zheng'xu'yang
郑逸宁,zheng'yi'ning
郑勇,zheng'yong
直指,zhi'zhi
中村茂,zhong'cun'mao
周光乐,zhou'guang'le
周家奇,zhou'jia'qi
周嘉硕,zhou'jia'shuo
周可鼎,zhou'ke'ding
周阳,zhou'yang
朱佳晨,zhu'jia'chen
朱建锋,zhu'jian'feng
诸杰,zhu'jie
朱凯,zhu'kai
朱立巍,zhu'li'wei
朱相如,zhu'xiang'ru
朱肖琴,zhu'xiao'qin
抓禁,zhua'jin
追胜,zhui'sheng
追下取胜,zhui'xia'qu'sheng
卓淼隽,zhuo'miao'juan
邹卫华,zou'wei'hua
做棋,zuo'qi
