阿谁买与猪肝食,a'shui'mai'yu'zhu'gan'shi
皑皑轻趁步,ai'ai'qing'chen'bu
哀旌一片阿谁铭,ai'jing'yi'pian'a'shui'ming
爱君诗笔有奇气,ai'jun'shi'bi'you'qi'qi
安得返魂香一缕,an'de'fan'hun'xiang'yi'lv
暗洒闲抛却为谁,an'sa'xian'pao'que'wei'shui
俺只念木石前盟,an'zhi'nian'mu'shi'qian'meng
鳌愁坤轴陷,ao'chou'kun'zhou'xian
坳垤审夷险,ao'die'shen'yi'xian
螯封嫩玉双双满,ao'feng'nen'yu'shuang'shuang'man
傲骨如君世已奇,ao'gu'ru'jun'shi'yi'qi
傲世也因同气味,ao'shi'ye'yin'tong'qi'wei
把芳魂消耗望家乡,ba'fang'hun'xiao'hao'wang'jia'xiang
把骨肉家园齐来抛闪,ba'gu'rou'jia'yuan'qi'lai'pao'shan
八旗诗集,ba'qi'shi'ji
拔取金钗当酒筹,ba'qu'jin'chai'dang'jiu'chou
把万事全抛,ba'wan'shi'quan'pao
把这韶华打灭,ba'zhe'shao'hua'da'mie
白傅诗灵应喜甚,bai'fu'shi'ling'ying'xi'shen
百科女史,bai'ke'nv'shi
白梅懒赋赋红梅,bai'mei'lan'fu'fu'hong'mei
白雪歌,bai'xue'ge
白雪歌残,bai'xue'ge'can
白雪歌残梦正长,bai'xue'ge'can'meng'zheng'chang
白杨村里人呜咽,bai'yang'cun'li'ren'wu'ye
白玉堂前春解舞,bai'yu'tang'qian'chun'jie'wu
半床落月蛩声病,ban'chuang'luo'yue'qiong'sheng'bing
半卷湘帘半掩门,ban'juan'xiang'lian'ban'yan'men
半轮鸡唱五更残,ban'lun'ji'chang'wu'geng'can
半为怜春半恼春,ban'wei'lian'chun'ban'nao'chun
榜人能唱湘江浪,bang'ren'neng'chang'xiang'jiang'lang
保不定日后作强梁,bao'bu'ding'ri'hou'zuo'qiang'liang
宝钗黛玉,bao'chai'dai'yu
抱得秋情不忍眠,bao'de'qiu'qing'bu'ren'mian
抱衾婢至舒金凤,bao'qin'bi'zhi'shu'jin'feng
宝琴怀古绝句十首,bao'qin'huai'gu'jue'ju'shi'shou
宝琴桃花行,bao'qin'tao'hua'xing
宝婺情孤洁,bao'wu'qing'gu'jie
宝玉读南华经偈,bao'yu'du'nan'hua'jing'ji
宝玉紫菱洲伤怀,bao'yu'zi'ling'zhou'shang'huai
碑暗定知含雨色,bei'an'ding'zhi'han'yu'se
北风图冷,bei'feng'tu'leng
北风图冷魂难返,bei'feng'tu'leng'hun'nan'fan
备记风月繁华之盛,bei'ji'feng'yue'fan'hua'zhi'sheng
北宋亦有魏野被征不出事,bei'song'yi'you'wei'ye'bei'zheng'bu'chu'shi
被他偷换绿云绡,bei'ta'tou'huan'lv'yun'xiao
迸砌妨阶水,beng'qi'fang'jie'shui
薜萝门巷足烟霞,bi'luo'men'xiang'zu'yan'xia
碧水青山曲径遐,bi'shui'qing'shan'qu'jing'xia
必细朝光透,bi'xi'chao'guang'tou
畀雁,bi'yan
便觉新添异样香,bian'jue'xin'tian'yi'yang'xiang
便是败家的根本,bian'shi'bai'jia'de'gen'ben
便是红颜老死时,bian'shi'hong'yan'lao'si'shi
便是烟消火灭时,bian'shi'yan'xiao'huo'mie'shi
便向人间觅是非,bian'xiang'ren'jian'mi'shi'fei
别圃移来贵比金,bie'pu'yi'lai'gui'bi'jin
别院笙歌转玉绳,bie'yuan'sheng'ge'zhuan'yu'sheng
缤纷入永宵,bin'fen'ru'yong'xiao
病容憔悴胜桃花,bing'rong'qiao'cui'sheng'tao'hua
病容愈觉胜桃花,bing'rong'yu'jue'sheng'tao'hua
冰桃雪藕绿荷包,bing'tao'xue'ou'lv'he'bao
冰弦拨尽曲中愁,bing'xian'bo'jin'qu'zhong'chou
冰雪招来露砌魂,bing'xue'zhao'lai'lu'qi'hun
秉月貌,bing'yue'mao
博得嫦蛾应借问,bo'de'chang'e'ying'jie'wen
博得多情一转眸,bo'de'duo'qing'yi'zhuan'mou
博得个地久天长,bo'de'ge'di'jiu'tian'chang
玻璃槛纳柳风凉,bo'li'kan'na'liu'feng'liang
博物志,bo'wu'zhi
步兵白眼向人斜,bu'bing'bai'yan'xiang'ren'xie
不妨斫地歌王郎,bu'fang'zhuo'di'ge'wang'lang
不管桃飘与李飞,bu'guan'tao'piao'yu'li'fei
不过数十人,bu'guo'shu'shi'ren
不记金钗正幅图,bu'ji'jin'chai'zheng'fu'tu
不教污淖陷渠沟,bu'jiao'wu'nao'xian'qu'gou
不尽知也,bu'jin'zhi'ye
不如着书黄叶村,bu'ru'zhe'shu'huang'ye'cun
不如著书黄叶村,bu'ru'zhu'shu'huang'ye'cun
不识多人何处游,bu'shi'duo'ren'he'chu'you
不是情人不泪流,bu'shi'qing'ren'bu'lei'liu
不识香痕渍也无,bu'shi'xiang'hen'zi'ye'wu
不受封建礼法拘束,bu'shou'feng'jian'li'fa'ju'shu
不似小家拘束态,bu'si'xiao'jia'ju'shu'tai
不闻永昼敲棋声,bu'wen'yong'zhou'qiao'qi'sheng
不惜金龟掷酒垆,bu'xi'jin'gui'zhi'jiu'lu
不下几十家,bu'xia'ji'shi'jia
不消麦饭作清明,bu'xiao'mai'fan'zuo'qing'ming
不语婷婷日又昏,bu'yu'ting'ting'ri'you'hun
不雨亦潇潇,bu'yu'yi'xiao'xiao
不在梅边在柳边,bu'zai'mei'bian'zai'liu'bian
不知风雨几时休,bu'zhi'feng'yu'ji'shi'xiu
不知片片坠行尘,bu'zhi'pian'pian'zhui'xing'chen
采葛,cai'ge
才华阜比仙,cai'hua'fu'bi'xian
彩线难收面上珠,cai'xian'nan'shou'mian'shang'zhu
彩云易散心比天高,cai'yun'yi'san'xin'bi'tian'gao
才自精明志自高,cai'zi'jing'ming'zhi'zi'gao
残杯冷炙有德色,can'bei'leng'zhi'you'de'se
惭愧当年石季伦,can'kui'dang'nian'shi'ji'lun
残漏声催秋雨急,can'lou'sheng'cui'qiu'yu'ji
藏修,cang'xiu
藏焉修焉,cang'yan'xiu'yan
曹练亭为江宁织造,cao'lian'ting'wei'jiang'ning'zhi'zao
曹练亭织造之嗣君也,cao'lian'ting'zhi'zao'zhi'si'jun'ye
