阿贝不变量,a'bei'bu'bian'liang
阿贝成象原理,a'bei'cheng'xiang'yuan'li
阿贝折射计,a'bei'zhe'she'ji
阿贝正弦条件,a'bei'zheng'xian'tiao'jian
阿伏伽德罗常量,a'fu'jia'de'luo'chang'liang
阿伏伽德罗定律,a'fu'jia'de'luo'ding'lv
阿基米德原理,a'ji'mi'de'yuan'li
阿特伍德机,a'te'wu'de'ji
艾里斑,ai'li'ban
爱因斯坦,ai'yin'si'tan
爱因斯坦场方程,ai'yin'si'tan'chang'fang'cheng
爱因斯坦等效原理,ai'yin'si'tan'deng'xiao'yuan'li
爱因斯坦关系,ai'yin'si'tan'guan'xi
爱因斯坦积分,ai'yin'si'tan'ji'fen
爱因斯坦凝聚,ai'yin'si'tan'ning'ju
爱因斯坦求和约定,ai'yin'si'tan'qiu'he'yue'ding
爱因斯坦同步,ai'yin'si'tan'tong'bu
爱因斯坦系数,ai'yin'si'tan'xi'shu
安培,an'pei
安培定律,an'pei'ding'lv
安培环路定理,an'pei'huan'lu'ding'li
安培计,an'pei'ji
安培力,an'pei'li
安培天平,an'pei'tian'ping
昂内斯方程,ang'nei'si'fang'cheng
昂萨格倒易关系,ang'sa'ge'dao'yi'guan'xi
凹面光栅,ao'mian'guang'shan
凹面镜,ao'mian'jing
凹透镜,ao'tou'jing
奥温电桥,ao'wen'dian'qiao
巴比涅补偿器,ba'bi'nie'bu'chang'qi
巴耳末系,ba'er'mo'xi
巴克效应,ba'ke'xiao'ying
白光,bai'guang
半波片,ban'bo'pian
半波损失,ban'bo'sun'shi
半波天线,ban'bo'tian'xian
半导体,ban'dao'ti
半导体激光器,ban'dao'ti'ji'guang'qi
板极,ban'ji
半衰期,ban'shuai'qi
半透,ban'tou
伴线,ban'xian
半影,ban'ying
半周期带,ban'zhou'qi'dai
傍轴近似,bang'zhou'jin'si
傍轴区,bang'zhou'qu
傍轴条件,bang'zhou'tiao'jian
曝光量,bao'guang'liang
饱和,bao'he
饱和磁化强度,bao'he'ci'hua'qiang'du
薄膜干涉,bao'mo'gan'she
薄膜光学,bao'mo'guang'xue
保守力,bao'shou'li
保守系,bao'shou'xi
薄透镜,bao'tou'jing
北极,bei'ji
本底,ben'di
本体瞬心迹,ben'ti'shun'xin'ji
本影,ben'ying
本征函数,ben'zheng'han'shu
本征频率,ben'zheng'pin'lv
本征矢,ben'zheng'shi
本征振荡,ben'zheng'zhen'dang
本征振动,ben'zheng'zhen'dong
本征值,ben'zheng'zhi
本征值方程,ben'zheng'zhi'fang'cheng
毕奥,bi'ao
比长仪,bi'chang'yi
闭管,bi'guan
比荷,bi'he
避雷针,bi'lei'zhen
比热,bi're
比容,bi'rong
比色高温计,bi'se'gao'wen'ji
比体积,bi'ti'ji
比耶对切透镜,bi'ye'dui'qie'tou'jing
比重,bi'zhong
比重瓶,bi'zhong'ping
变电,bian'dian
变分法,bian'fen'fa
边界条件,bian'jie'tiao'jian
遍历假说,bian'li'jia'shuo
遍历性,bian'li'xing
变量,bian'liang
变形体,bian'xing'ti
变压器,bian'ya'qi
边缘效应,bian'yuan'xiao'ying
边值关系,bian'zhi'guan'xi
变质量系,bian'zhi'liang'xi
边值问题,bian'zhi'wen'ti
变阻器,bian'zu'qi
标定,biao'ding
表观功率,biao'guan'gong'lv
表观形状,biao'guan'xing'zhuang
标量,biao'liang
标量波理论,biao'liang'bo'li'lun
标量衍射理论,biao'liang'yan'she'li'lun
表面电阻,biao'mian'dian'zu
表面张力,biao'mian'zhang'li
表面张力系数,biao'mian'zhang'li'xi'shu
表示,biao'shi
标势,biao'shi
表述,biao'shu
表象,biao'xiang
标准大气压,biao'zhun'da'qi'ya
标准电池,biao'zhun'dian'chi
标准偏差,biao'zhun'pian'cha
标准误差,biao'zhun'wu'cha
标准钟,biao'zhun'zhong
冰点,bing'dian
并联,bing'lian
并联共振,bing'lian'gong'zhen
并协原理,bing'xie'yuan'li
波包,bo'bao
波长,bo'chang
波带片,bo'dai'pian
波导,bo'dao
波动方程,bo'dong'fang'cheng
波动光学,bo'dong'guang'xue
波动力学,bo'dong'li'xue
波动说,bo'dong'shuo
波动性,bo'dong'xing
玻恩近似,bo'en'jin'si
玻尔半径,bo'er'ban'jing
玻尔磁子,bo'er'ci'zi
玻尔量子化条件,bo'er'liang'zi'hua'tiao'jian
玻尔频率条件,bo'er'pin'lv'tiao'jian
玻尔原子模型,bo'er'yuan'zi'mo'xing
玻耳兹曼,bo'er'zi'man
玻耳兹曼常量,bo'er'zi'man'chang'liang
玻耳兹曼定律,bo'er'zi'man'ding'lv
玻耳兹曼分布,bo'er'zi'man'fen'bu
玻耳兹曼关系,bo'er'zi'man'guan'xi
玻耳兹曼统计法,bo'er'zi'man'tong'ji'fa
玻耳兹曼因子,bo'er'zi'man'yin'zi
波峰,bo'feng
波腹,bo'fu
波谷,bo'gu
波函数,bo'han'shu
波节,bo'jie
波粒二象性,bo'li'er'xiang'xing
波面,bo'mian
波模,bo'mo
伯努利方程,bo'nu'li'fang'cheng
波片,bo'pian
波前,bo'qian
玻色,bo'se
玻色子,bo'shai'zi
波矢,bo'shi
波数,bo'shu
泊松比,bo'song'bi
泊松分布,bo'song'fen'bu
泊松括号,bo'song'kuo'hao
泊肃叶定律,bo'su'ye'ding'lv
玻意耳定律,bo'yi'er'ding'lv
波阵面,bo'zhen'mian
波阵面分割,bo'zhen'mian'fen'ge
补偿板,bu'chang'ban
部分偏振,bu'fen'pian'zhen
部分相干性,bu'fen'xiang'gan'xing
布格定律,bu'ge'ding'lv
不含时微扰,bu'han'shi'wei'rao
不可对易性,bu'ke'dui'yi'xing
不可见光,bu'ke'jian'guang
不可逆,bu'ke'ni
不可逆过程,bu'ke'ni'guo'cheng
不可压缩性,bu'ke'ya'suo'xing
不可约表示,bu'ke'yue'biao'shi
不可约张量算符,bu'ke'yue'zhang'liang'suan'fu
布拉格定律,bu'la'ge'ding'lv
布拉格条件,bu'la'ge'tiao'jian
布拉开系,bu'la'kai'xi
布朗运动,bu'lang'yun'dong
布里渊散射,bu'li'yuan'san'she
不良导体,bu'liang'dao'ti
布洛洪光度计,bu'luo'hong'guang'du'ji
不确定,bu'que'ding
不确定度,bu'que'ding'du
布儒斯特窗,bu'ru'si'te'chuang
布儒斯特角,bu'ru'si'te'jiao
补色,bu'se
不稳定平衡,bu'wen'ding'ping'heng
不相干成象,bu'xiang'gan'cheng'xiang
不晕镜,bu'yun'jing
步骤,bu'zhou
参考,can'kao
参考系,can'kao'xi
参考圆,can'kao'yuan
参量,can'liang
测不准关系,ce'bu'zhun'guan'xi
测不准原理,ce'bu'zhun'yuan'li
测高仪,ce'gao'yi
测角计,ce'jiao'ji
测节器,ce'jie'qi
测量,ce'liang
测微目镜,ce'wei'mu'jing
测温性质,ce'wen'xing'zhi
层流,ceng'liu
查理定律,cha'li'ding'lv
颤动,chan'dong
产生,chan'sheng
产生算符,chan'sheng'suan'fu
场点,chang'dian
长度,chang'du
长度收缩,chang'du'shou'suo
常光,chang'guang
场阑,chang'lan
常量,chang'liang
场曲,chang'qu
常数,chang'shu
场源,chang'yuan
常折射率,chang'zhe'she'lv
场致发射,chang'zhi'fa'she
超导,chao'dao
超导体,chao'dao'ti
超静定问题,chao'jing'ding'wen'ti
超精细结构,chao'jing'xi'jie'gou
超距作用,chao'ju'zuo'yong
超声波,chao'sheng'bo
超声速,chao'sheng'su
超重,chao'zhong
衬比度,chen'bi'du
成象,cheng'xiang
弛豫时间,chi'yu'shi'jian
弛豫时间近似,chi'yu'shi'jian'jin'si
充电,chong'dian
重复指标,chong'fu'zhi'biao
冲击摆,chong'ji'bai
冲击电流计,chong'ji'dian'liu'ji
冲量,chong'liang
抽气机,chou'qi'ji
抽运,chou'yun
抽运过程,chou'yun'guo'cheng
触发器,chu'fa'qi
初速,chu'su
传播常量,chuan'bo'chang'liang
传播函数,chuan'bo'han'shu
传导电流,chuan'dao'dian'liu
传感器,chuan'gan'qi
串联,chuan'lian
串联共振,chuan'lian'gong'zhen
传热,chuan're
传输线,chuan'shu'xian
穿透深度,chuan'tou'shen'du
传质,chuan'zhi
垂直轴定理,chui'zhi'zhou'ding'li
纯态,chun'tai
纯虚时间,chun'xu'shi'jian
磁标势,ci'biao'shi
磁场,ci'chang
磁场强度,ci'chang'qiang'du
磁场线,ci'chang'xian
磁畴,ci'chou
磁单极子,ci'dan'ji'zi
磁导计,ci'dao'ji
磁导率,ci'dao'lv
磁动势,ci'dong'shi
磁感,ci'gan
磁光效应,ci'guang'xiao'ying
磁荷,ci'he
磁化,ci'hua
磁化电流,ci'hua'dian'liu
磁化率,ci'hua'lv
磁化强度,ci'hua'qiang'du
磁化曲线,ci'hua'qu'xian
磁极,ci'ji
次极大,ci'ji'da
磁极化强度,ci'ji'hua'qiang'du
次级子波,ci'ji'zi'bo
磁介质,ci'jie'zhi
磁镜,ci'jing
磁阱,ci'jing
磁矩,ci'ju
磁聚焦,ci'ju'jiao
磁壳,ci'ke
磁控管,ci'kong'guan
磁库仑定律,ci'ku'lun'ding'lv
磁链,ci'lian
磁路,ci'lu
磁路定律,ci'lu'ding'lv
磁能,ci'neng
磁能密度,ci'neng'mi'du
磁偶极辐射,ci'ou'ji'fu'she
磁偶极矩,ci'ou'ji'ju
磁偶极子,ci'ou'ji'zi
磁偏转,ci'pian'zhuan
磁瓶,ci'ping
磁屏蔽,ci'ping'bi
磁倾计,ci'qing'ji
次声波,ci'sheng'bo
磁体,ci'ti
磁通计,ci'tong'ji
磁通量,ci'tong'liang
磁通势,ci'tong'shi
磁透镜,ci'tou'jing
磁性材料,ci'xing'cai'liao
磁旋比,ci'xuan'bi
磁学,ci'xue
磁压,ci'ya
磁针,ci'zhen
磁滞回线,ci'zhi'hui'xian
磁滞损耗,ci'zhi'sun'hao
磁致旋光,ci'zhi'xuan'guang
磁阻,ci'zu
磁阻率,ci'zu'lv
辏力,cou'li
辏力场,cou'li'chang
粗调,cu'diao
达尔文,da'er'wen
达朗贝尔方程,da'lang'bei'er'fang'cheng
达朗贝尔惯性力,da'lang'bei'er'guan'xing'li
达朗贝尔原理,da'lang'bei'er'yuan'li
带电粒子,dai'dian'li'zi
带电体,dai'dian'ti
戴维南定理,dai'wei'nan'ding'li
带状谱,dai'zhuang'pu
单摆,dan'bai
单侧约束,dan'ce'yue'shu
弹道,dan'dao
单道分析器,dan'dao'fen'xi'qi
单缝衍射,dan'feng'yan'she
单粒子分布函数,dan'li'zi'fen'bu'han'shu
丹聂耳电池,dan'nie'er'dian'chi
单色波,dan'se'bo
单色光源,dan'se'guang'yuan
单色仪,dan'se'yi
单态,dan'tai
单位,dan'wei
单位制,dan'wei'zhi
单轴晶体,dan'zhou'jing'ti
导电介质,dao'dian'jie'zhi
道尔顿,dao'er'dun
导纳,dao'na
导体,dao'ti
导线,dao'xian
倒象,dao'xiang
倒象棱镜,dao'xiang'leng'jing
德拜,de'bai
德布罗意波长,de'bu'luo'yi'bo'chang
德布罗意关系,de'bu'luo'yi'guan'xi
的位矢,de'wei'shi
等电子序,deng'dian'zi'xu
等概率假设,deng'gai'lv'jia'she
等厚干涉,deng'hou'gan'she
等厚条纹,deng'hou'tiao'wen
等离,deng'li
等倾干涉,deng'qing'gan'she
等倾条纹,deng'qing'tiao'wen
等容过程,deng'rong'guo'cheng
等容线,deng'rong'xian
等时摆,deng'shi'bai
等势面,deng'shi'mian
等势线,deng'shi'xian
等体,deng'ti
等温过程,deng'wen'guo'cheng
等温线,deng'wen'xian
等效电子,deng'xiao'dian'zi
等效力系,deng'xiao'li'xi
等压过程,deng'ya'guo'cheng
