爱河,ai'he
八千坪,ba'qian'ping
八一街,ba'yi'jie
百货大楼,bai'huo'da'lou
鲍家,bao'jia
北地广场,bei'di'guang'chang
本钢,ben'gang
本钢党校,ben'gang'dang'xiao
本钢二宿,ben'gang'er'su
本钢文化中心,ben'gang'wen'hua'zhong'xin
本钢液压缸厂,ben'gang'ye'ya'gang'chang
本溪报社,ben'xi'bao'she
宾馆,bin'guan
彩北,cai'bei
彩屯,cai'tun
彩屯门诊,cai'tun'men'zhen
彩屯南站,cai'tun'nan'zhan
残联,can'lian
长江购物,chang'jiang'gou'wu
长山,chang'shan
车管所,che'guan'suo
成德家园,cheng'de'jia'yuan
程家,cheng'jia
传染病院,chuan'ran'bing'yuan
崔东,cui'dong
崔东办事处,cui'dong'ban'shi'chu
崔家哨,cui'jia'shao
大河市场,da'he'shi'chang
大峪,da'yu
德太,de'tai
第四高中,di'si'gao'zhong
电化学,dian'hua'xue
电力安装,dian'li'an'zhuang
电信,dian'xin
东芬,dong'fen
东来顺,dong'lai'shun
东明,dong'ming
动物园,dong'wu'yuan
二电,er'dian
二纺,er'fang
二钢,er'gang
二高中,er'gao'zhong
二十二中,er'shi'er'zhong
二十三中,er'shi'san'zhong
儿童乐园,er'tong'le'yuan
二药,er'yao
法庭,fa'ting
丰华新城,feng'hua'xin'cheng
缝纫机厂,feng'ren'ji'chang
枫叶广场,feng'ye'guang'chang
妇儿商厦,fu'er'shang'sha
妇幼保健所,fu'you'bao'jian'suo
钢管车队,gang'guan'che'dui
高程寨,gao'cheng'zhai
高台子,gao'tai'zi
高台子新村,gao'tai'zi'xin'cun
高台子镇,gao'tai'zi'zhen
高峪,gao'yu
革新,ge'xin
工会大厦,gong'hui'da'sha
工具厂,gong'ju'chang
工学院高中,gong'xue'yuan'gao'zhong
工源水泥厂,gong'yuan'shui'ni'chang
骨科医院,gu'ke'yi'yuan
关家胡同,guan'jia'hu'tong
观山悦,guan'shan'yue
广电大厦,guang'dian'da'sha
广裕,guang'yu
号门,hao'men
河畔花园,he'pan'hua'yuan
河西,he'xi
河沿,he'yan
红十字会医院,hong'shi'zi'hui'yi'yuan
红十字医院,hong'shi'zi'yi'yuan
后湖,hou'hu
化肥厂,hua'fei'chang
华兴热力,hua'xing're'li
花园,hua'yuan
惠民社区,hui'min'she'qu
稽查局,ji'cha'ju
继电器厂,ji'dian'qi'chang
计控厂,ji'kong'chang
技校,ji'xiao
家具城,jia'ju'cheng
建材厂,jian'cai'chang
检查站,jian'cha'zhan
建工,jian'gong
交通分局,jiao'tong'fen'ju
锦程馨苑,jin'cheng'xin'yuan
金色年华,jin'se'nian'hua
金山办事处,jin'shan'ban'shi'chu
金山医院,jin'shan'yi'yuan
井东,jing'dong
酒歌城,jiu'ge'cheng
绢纺,juan'fang
开发区政府,kai'fa'qu'zheng'fu
科技学院,ke'ji'xue'yuan
科技学院北门,ke'ji'xue'yuan'bei'men
坑木厂,keng'mu'chang
立信,li'xin
烈士陵园,lie'shi'ling'yuan
柳塘,liu'tang
煤气输配厂,mei'qi'shu'pei'chang
民生,min'sheng
明山分局,ming'shan'fen'ju
明山区政府,ming'shan'qu'zheng'fu
模板厂,mu'ban'chang
木材,mu'cai
耐火厂,nai'huo'chang
南地,nan'di
南台子生态园,nan'tai'zi'sheng'tai'yuan
酿造厂,niang'zao'chang
牛心台,niu'xin'tai
平山,ping'shan
平山城建,ping'shan'cheng'jian
平山交警大队,ping'shan'jiao'jing'da'dui
平山消防大队,ping'shan'xiao'fang'da'dui
汽车四厂,qi'che'si'chang
前进,qian'jin
千金,qian'jin
清平社区,qing'ping'she'qu
清荣,qing'rong
青沙岭,qing'sha'ling
青少年宫,qing'shao'nian'gong
区一站,qu'yi'zhan
群山调味品,qun'shan'tiao'wei'pin
人大,ren'da
三合小区,san'he'xiao'qu
三江小区,san'jiang'xiao'qu
森林公园,sen'lin'gong'yuan
山城大药房,shan'cheng'da'yao'fang
山城子,shan'cheng'zi
山水人家,shan'shui'ren'jia
上海大众,shang'hai'da'zhong
商贸学校,shang'mao'xue'xiao
上三合,shang'san'he
上石村,shang'shi'cun
上卧龙,shang'wo'long
商业大厦,shang'ye'da'sha
社区,she'qu
胜建,sheng'jian
市高中分部,shi'gao'zhong'fen'bu
石桥子,shi'qiao'zi
石桥子派出所,shi'qiao'zi'pai'chu'suo
石桥子停车场,shi'qiao'zi'ting'che'chang
市委党校,shi'wei'dang'xiao
竖井,shu'jing
水泵,shui'beng
水塔,shui'ta
顺山,shun'shan
四厂,si'chang
丝绸厂,si'chou'chang
塔东,ta'dong
太子城,tai'zi'cheng
太子城一期,tai'zi'cheng'yi'qi
唐家,tang'jia
天福苑,tian'fu'yuan
铁路器材,tie'lu'qi'cai
铁路转盘,tie'lu'zhuan'pan
铁通,tie'tong
铁通公司,tie'tong'gong'si
铁小,tie'xiao
团山,tuan'shan
威宁营,wei'ning'ying
威宁营桥头,wei'ning'ying'qiao'tou
卫校,wei'xiao
文化宫,wen'hua'gong
文化广场,wen'hua'guang'chang
卧龙办事处,wo'long'ban'shi'chu
西泊子,xi'bo'zi
西芬,xi'fen
溪湖,xi'hu
下石村,xia'shi'cun
响山子,xiang'shan'zi
向阳山,xiang'yang'shan
小堡,xiao'bao
消防,xiao'fang
小河口,xiao'he'kou
小华山,xiao'hua'shan
小桥,xiao'qiao
新立屯,xin'li'tun
新岭,xin'ling
新岭车站,xin'ling'che'zhan
新兴佳园,xin'xing'jia'yuan
馨园,xin'yuan
兴安,xing'an
行政服务中心,xing'zheng'fu'wu'zhong'xin
胸科医院,xiong'ke'yi'yuan
烟草大厦,yan'cao'da'sha
盐库,yan'ku
一队,yi'dui
一钢厂,yi'gang'chang
艺术宫,yi'shu'gong
一铁,yi'tie
义乌小商品城,yi'wu'xiao'shang'pin'cheng
医院,yi'yuan
一站,yi'zhan
一中,yi'zhong
银座商厦,yin'zuo'shang'sha
樱桃小区,ying'tao'xiao'qu
英勇,ying'yong
永丰,yong'feng
育东,yu'dong
榆林华苑,yu'lin'hua'yuan
育明,yu'ming
育新,yu'xin
站前,zhan'qian
站前三角地,zhan'qian'san'jiao'di
赵家沟,zhao'jia'gou
郑家,zheng'jia
郑家化工厂,zheng'jia'hua'gong'chang
职业病院,zhi'ye'bing'yuan
中国银行,zhong'guo'yin'hang
中心学校,zhong'xin'xue'xiao
中心医院,zhong'xin'yi'yuan
中学,zhong'xue
中医院,zhong'yi'yuan
住房公积金,zhu'fang'gong'ji'jin
转山,zhuan'shan
转山社区,zhuan'shan'she'qu
紫东,zi'dong
紫金,zi'jin
紫金水厂,zi'jin'shui'chang
笫十中学,zi'shi'zhong'xue
紫西,zi'xi
