艾虎,ai'hu
暗八仙,an'ba'xian
安居乐业,an'ju'le'ye
八宝花,ba'bao'hua
八宝生辉,ba'bao'sheng'hui
八宝纹,ba'bao'wen
八卦图,ba'gua'tu
八吉,ba'ji
八吉祥,ba'ji'xiang
八骏,ba'jun
霸下,ba'xia
八仙,ba'xian
八仙过海,ba'xian'guo'hai
白虎,bai'hu
百禄,bai'lu
百事如意,bai'shi'ru'yi
百寿图,bai'shou'tu
白头富贵,bai'tou'fu'gui
百子同室,bai'zi'tong'shi
百子图,bai'zi'tu
宝花花,bao'hua'hua
宝仙花,bao'xian'hua
宝相花,bao'xiang'hua
本固枝荣,ben'gu'zhi'rong
狴犴,bi'an
必得其寿,bi'dei'qi'shou
比目鱼纹,bi'mu'yu'wen
贔屃,bi'xi
辟邪,bi'xie
比翼鸟,bi'yi'niao
遍地杂花,bian'di'za'hua
蝙蝠纹,bian'fu'wen
并蒂同心,bing'di'tong'xin
博古纹,bo'gu'wen
苍龙,cang'long
蟾蜍纹,chan'chu'wen
缠枝莲,chan'zhi'lian
缠枝牡丹,chan'zhi'mu'dan
缠枝葡萄,chan'zhi'pu'tao
缠枝纹,chan'zhi'wen
长乐未央,chang'le'wei'yang
长命富贵,chang'ming'fu'gui
长寿,chang'shou
嘲风,chao'feng
朝阳鸣凤,chao'yang'ming'feng
螭纹,chi'wen
赤乌,chi'wu
春牛,chun'niu
踆乌,cun'wu
大吉,da'ji
丹凤朝阳,dan'feng'chao'yang
丹山彩凤,dan'shan'cai'feng
斗牛纹,dou'niu'wen
独占鳌头,du'zhan'ao'tou
二十八宿青龙白虎纹,er'shi'ba'xiu'qing'long'bai'hu'wen
二十四孝,er'shi'si'xiao
方胜纹,fang'sheng'wen
飞天纹,fei'tian'wen
飞鱼纹,fei'yu'wen
凤穿牡丹,feng'chuan'mu'dan
封侯挂印,feng'hou'gua'yin
凤凰纹,feng'huang'wen
凤喜牡丹,feng'xi'mu'dan
符拔,fu'ba
富贵功名,fu'gui'gong'ming
富贵荣华,fu'gui'rong'hua
富贵寿考,fu'gui'shou'kao
福鹿,fu'lu
福禄,fu'lu
福禄寿三星,fu'lu'shou'san'xing
福禄双全,fu'lu'shuang'quan
福寿双全,fu'shou'shuang'quan
福增贵子,fu'zeng'gui'zi
功名富贵,gong'ming'fu'gui
共命鸟,gong'ming'niao
瓜瓞绵绵,gua'die'mian'mian
龟蛇,gui'she
龟纹,gui'wen
国花,guo'hua
和合二圣,he'he'er'sheng
和合二仙,he'he'er'xian
和合如意,he'he'ru'yi
