爱克而受克,ai'ke'er'shou'ke
暗禄马以荣华,an'lu'ma'yi'rong'hua
白虎备润下之水,bai'hu'bei'run'xia'zhi'shui
奔波之徒,ben'bo'zhi'tu
比肩多见官煞,bi'jian'duo'jian'guan'sha
便是甲宿,bian'shi'jia'su
丙丁冬盛水源清,bing'ding'dong'sheng'shui'yuan'qing
丙丁生于冬月,bing'ding'sheng'yu'dong'yue
丙丁水多嫌北地,bing'ding'shui'duo'xian'bei'di
病乃魁星,bing'nai'kui'xing
病去方能成就,bing'qu'fang'neng'cheng'jiu
播四时,bo'si'shi
不及失生扶者刑夭,bu'ji'shi'sheng'fu'zhe'xing'yao
不及要生扶,bu'ji'yao'sheng'fu
不可覆临伤以破,bu'ke'fu'lin'shang'yi'po
补衲之僧,bu'na'zhi'seng
不越八字中和之外,bu'yue'ba'zi'zhong'he'zhi'wai
尝闻分二气,chang'wen'fen'er'qi
辰戌丑未遇刑冲,chen'xu'chou'wei'yu'xing'chong
冲伤命贵便登科,chong'shang'ming'gui'bian'deng'ke
春金多火,chun'jin'duo'huo
春木重重,chun'mu'chong'chong
春木多而水浅,chun'mu'duo'er'shui'qian
春木专遇水多,chun'mu'zhuan'yu'shui'duo
此辈宜登甲第,ci'bei'yi'deng'jia'di
次看财官之向背,ci'kan'cai'guan'zhi'xiang'bei
大人之德,da'ren'zhi'de
当推科甲之星,dang'tui'ke'jia'zhi'xing
当为贵论,dang'wei'gui'lun
倒冲遥合栏叉,dao'chong'yao'he'lan'cha
定是困穷,ding'shi'kun'qiong
冬水独逢金盛,dong'shui'du'feng'jin'sheng
冬水盛金,dong'shui'sheng'jin
冬水洋洋专可美,dong'shui'yang'yang'zhuan'ke'mei
断作栋梁之任,duan'zuo'dong'liang'zhi'ren
而成万物,er'cheng'wan'wu
而唾手成名,er'tuo'shou'cheng'ming
凡人命内,fan'ren'ming'nei
犯者多淫,fan'zhe'duo'yin
逢大海为九五之尊,feng'da'hai'wei'jiu'wu'zhi'zun
逢戊己反作贵推,feng'wu'ji'fan'zuo'gui'tui
富贵荣华,fu'gui'rong'hua
富贵无亏,fu'gui'wu'kui
富贵无疑,fu'gui'wu'yi
富有千钟,fu'you'qian'zhong
盖为人强马劣,gai'wei'ren'qiang'ma'lie
高坐玉堂荣翰苑,gao'zuo'yu'tang'rong'han'yuan
庚逢水重,geng'feng'shui'zhong
庚辛产在夏间,geng'xin'chan'zai'xia'jian
庚辛火盛怕南方,geng'xin'huo'sheng'pa'nan'fang
庚辛局全巳酉丑,geng'xin'ju'quan'si'you'chou
庚辛夏长,geng'xin'xia'zhang
更寻三合禄马之年,geng'xun'san'he'lu'ma'zhi'nian
更值德秀三奇,geng'zhi'de'xiu'san'qi
拱禄拱贵夹丘,gong'lu'gong'gui'jia'qiu
功名半喜足田庄,gong'ming'ban'xi'zu'tian'zhuang
功名显达,gong'ming'xian'da
功名已成,gong'ming'yi'cheng
功名自有,gong'ming'zi'you
勾陈局全润下,gou'chen'ju'quan'run'xia
官来始见升腾,guan'lai'shi'jian'sheng'teng
官年印岁拟登科,guan'nian'yin'sui'ni'deng'ke
官煞重遇印伤,guan'sha'zhong'yu'yin'shang
官胜印,guan'sheng'yin
贵而可取,gui'er'ke'qu
贵行木运,gui'xing'mu'yun
贵宜元武,gui'yi'yuan'wu
贵于戊己当头,gui'yu'wu'ji'dang'tou
亥卯未逢于甲乙,hai'mao'wei'feng'yu'jia'yi
寒弱之辈,han'ruo'zhi'bei
好去求名,hao'qu'qiu'ming
号曰体全之象,hao'yue'ti'quan'zhi'xiang
合岁冲官及第,he'sui'chong'guan'ji'di
合中逢战,he'zhong'feng'zhan
后学君子,hou'xue'jun'zi
后学须要变通,hou'xue'xu'yao'bian'tong
火长夏天金叠叠,huo'chang'xia'tian'jin'die'die
火带水多,huo'dai'shui'duo
火炼秋金,huo'lian'qiu'jin
火临巳午未之域,huo'lin'si'wu'wei'zhi'yu
火宿如值岁干炎,huo'su'ru'zhi'sui'gan'yan
火向春林逢木旺,huo'xiang'chun'lin'feng'mu'wang
火炎有水,huo'yan'you'shui
吉而堪言,ji'er'kan'yan
甲榜状元归此辈,jia'bang'zhuang'yuan'gui'ci'bei
甲乙秋生,jia'yi'qiu'sheng
甲乙秋生透丙丁,jia'yi'qiu'sheng'tou'bing'ding
甲乙夏荣土星厚,jia'yi'xia'rong'tu'xing'hou
皆因鬼以成功,jie'yin'gui'yi'cheng'gong
金备申酉戌之地,jin'bei'shen'you'xu'zhi'di
金寒水冷,jin'han'shui'leng
金坚爱水之相涵,jin'jian'ai'shui'zhi'xiang'han
金坚火弱,jin'jian'huo'ruo
金生秋月土重重,jin'sheng'qiu'yue'tu'chong'chong
尽在五行生克之中,jin'zai'wu'xing'sheng'ke'zhi'zhong
究一理而察百端,jiu'yi'li'er'cha'bai'duan
聚贵岁苗,ju'gui'sui'miao
局全风虎,ju'quan'feng'hu
爵禄丰饶,jue'lu'feng'rao
爵禄全欣荣锦绣,jue'lu'quan'xin'rong'jin'xiu
决知贫贱,jue'zhi'pin'jian
堪来出仕,kan'lai'chu'shi
克我制我有功,ke'wo'zhi'wo'you'gong
魁胜官,kui'sheng'guan
困弱之辈,kun'ruo'zhi'bei
李广非侯,li'guang'fei'hou
利名之客,li'ming'zhi'ke
良将之材,liang'jiang'zhi'cai
刘责不第,liu'ze'bu'di
