安监局,an'jian'ju
八中,ba'zhong
北道埠,bei'dao'bu
滨河路幼儿园,bin'he'lu'you'er'yuan
伯阳镇,bo'yang'zhen
财产保险公司,cai'chan'bao'xian'gong'si
财政局,cai'zheng'ju
残联,can'lian
档案局,dang'an'ju
党川乡,dang'chuan'xiang
道北,dao'bei
道北小学,dao'bei'xiao'xue
道南小学,dao'nan'xiao'xue
地税局,di'shui'ju
地震局,di'zhen'ju
电力局,dian'li'ju
电信局,dian'xin'ju
东岔镇,dong'cha'zhen
二中,er'zhong
发改局,fa'gai'ju
法院,fa'yuan
扶贫办,fu'pin'ban
副区长王晓琴,fu'qu'zhang'wang'xiao'qin
甘泉,gan'quan
甘泉镇,gan'quan'zhen
甘泉中校,gan'quan'zhong'xiao
甘泉中学,gan'quan'zhong'xue
公安分局,gong'an'fen'ju
工行,gong'hang
工商局,gong'shang'ju
供销联社,gong'xiao'lian'she
公证处,gong'zheng'chu
广电局,guang'dian'ju
国税局,guo'shui'ju
国土资源局,guo'tu'zi'yuan'ju
琥珀乡,hu'po'xiang
花牛镇,hua'niu'zhen
花牛中心学校,hua'niu'zhong'xin'xue'xiao
花牛中学,hua'niu'zhong'xue
环保局,huan'bao'ju
环卫局,huan'wei'ju
计生局,ji'sheng'ju
检察院,jian'cha'yuan
建行,jian'hang
建设局,jian'she'ju
建新路幼儿园,jian'xin'lu'you'er'yuan
交警队,jiao'jing'dui
交通局,jiao'tong'ju
教育局科技局,jiao'yu'ju'ke'ji'ju
九中,jiu'zhong
科技局,ke'ji'ju
利桥乡,li'qiao'xiang
粮食局,liang'shi'ju
林业局,lin'ye'ju
龙园,long'yuan
旅游局,lv'you'ju
马跑泉,ma'pao'quan
马跑泉镇,ma'pao'quan'zhen
马跑泉中心学校,ma'pao'quan'zhong'xin'xue'xiao
马跑泉中学,ma'pao'quan'zhong'xue
麦积,mai'ji
麦积初中,mai'ji'chu'zhong
麦积山风景局,mai'ji'shan'feng'jing'ju
麦积镇,mai'ji'zhen
麦积中校,mai'ji'zhong'xiao
民政局,min'zheng'ju
廿铺工业示范区,nian'pu'gong'ye'shi'fan'qu
农办,nong'ban
农发行,nong'fa'hang
农行,nong'hang
农牧局,nong'mu'ju
潘集寨学校,pan'ji'zhai'xue'xiao
蒲甸小学,pu'dian'xiao'xue
气象局,qi'xiang'ju
七中,qi'zhong
桥南办,qiao'nan'ban
桥南街道办事处,qiao'nan'jie'dao'ban'shi'chu
桥南商管会,qiao'nan'shang'guan'hui
桥南小学,qiao'nan'xiao'xue
区府路小学,qu'fu'lu'xiao'xue
区委,qu'wei
区委办,qu'wei'ban
区委常委,qu'wei'chang'wei
区语委主任,qu'yu'wei'zhu'ren
区政府,qu'zheng'fu
人大办,ren'da'ban
人防办,ren'fang'ban
人事局编办,ren'shi'ju'bian'ban
人寿保险,ren'shou'bao'xian
三岔乡,san'cha'xiang
商务局,shang'wu'ju
社保局建设局,she'bao'ju'jian'she'ju
社棠镇,she'tang'zhen
审计局,shen'ji'ju
市场建设中心,shi'chang'jian'she'zhong'xin
石佛中校,shi'fo'zhong'xiao
石佛中学,shi'fo'zhong'xue
市十中,shi'shi'zhong
实验小学,shi'yan'xiao'xue
史志办,shi'zhi'ban
水利局,shui'li'ju
司法局,si'fa'ju
天水高新工业园,tian'shui'gao'xin'gong'ye'yuan
天水火车站,tian'shui'huo'che'zhan
统计局,tong'ji'ju
渭南镇,wei'nan'zhen
渭南中校,wei'nan'zhong'xiao
卫生监督局,wei'sheng'jian'du'ju
卫生局,wei'sheng'ju
文体局,wen'ti'ju
物价局,wu'jia'ju
五龙乡,wu'long'xiang
乡企局,xiang'qi'ju
乡镇企业局,xiang'zhen'qi'ye'ju
新阳镇,xin'yang'zhen
信用联社,xin'yong'lian'she
宣传部,xuan'chuan'bu
药监局,yao'jian'ju
移动公司,yi'dong'gong'si
邮政局,you'zheng'ju
元龙镇,yuan'long'zhen
招商局,zhao'shang'ju
政府办,zheng'fu'ban
政协办,zheng'xie'ban
执法局,zhi'fa'ju
职教中心,zhi'jiao'zhong'xin
质量监督局,zhi'liang'jian'du'ju
中行,zhong'hang
中滩镇,zhong'tan'zhen
中滩中校,zhong'tan'zhong'xiao
中滩中学,zhong'tan'zhong'xue
中小企业发展局,zhong'xiao'qi'ye'fa'zhan'ju
综合执法局,zong'he'zhi'fa'ju
