创意指导,chuang'yi'zhi'dao
创意总监,chuang'yi'zong'jian
到达率,dao'da'lv
点击成本,dian'ji'cheng'ben
点击次数,dian'ji'ci'shu
点击率,dian'ji'lv
定向,ding'xiang
富媒体,fu'mei'ti
关键字,guan'jian'zi
横幅广告,heng'fu'guang'gao
客户执行,ke'hu'zhi'xing
浏览量,liu'lan'liang
流量,liu'liang
媒体总监,mei'ti'zong'jian
千人成本,qian'ren'cheng'ben
搜索引擎,sou'suo'yin'qing
唯一用户,wei'yi'yong'hu
文案,wen'an
站点,zhan'dian
