安定性,an'ding'xing
暗沟,an'gou
安全措施,an'quan'cuo'shi
安全岛,an'quan'dao
安全监理,an'quan'jian'li
安全设施及预埋管线工程,an'quan'she'shi'ji'yu'mai'guan'xian'gong'cheng
凹缝,ao'feng
拔桩机,ba'zhuang'ji
八字形桥台,ba'zi'xing'qiao'tai
半盾构,ban'dun'gou
半刚性护栏,ban'gang'xing'hu'lan
半刚性基层,ban'gang'xing'ji'ceng
拌和站,ban'he'zhan
拌和厂,ban'huo'chang
拌和法,ban'huo'fa
半填半挖,ban'tian'ban'wa
半填半挖式路基,ban'tian'ban'wa'shi'lu'ji
半压力式涵洞,ban'ya'li'shi'han'dong
半永久性桥,ban'yong'jiu'xing'qiao
饱和度,bao'he'du
饱和面干吸水率试模,bao'he'mian'gan'xi'shui'lv'shi'mo
保留金,bao'liu'jin
爆破漏斗,bao'po'lou'dou
爆破作用圈,bao'po'zuo'yong'quan
保险费,bao'xian'fei
被交道,bei'jiao'dao
贝克曼当弯沉仪,bei'ke'man'dang'wan'chen'yi
贝克曼梁,bei'ke'man'liang
本桩利用,ben'zhuang'li'yong
比较线,bi'jiao'xian
毕业设计,bi'ye'she'ji
毕业设计任务书,bi'ye'she'ji'ren'wu'shu
便道,bian'dao
变截面,bian'jie'mian
变坡点,bian'po'dian
边坡防护,bian'po'fang'hu
边坡加固,bian'po'jia'gu
边坡平台,bian'po'ping'tai
边坡坡度,bian'po'po'du
边墙,bian'qiang
边墙马口,bian'qiang'ma'kou
变速车道,bian'su'che'dao
边滩,bian'tan
编组线,bian'zu'xian
表观密度,biao'guan'mi'du
标准差,biao'zhun'cha
标准稠度及凝结时间测定仪,biao'zhun'chou'du'ji'ning'jie'shi'jian'ce'ding'yi
标准工业粘度计,biao'zhun'gong'ye'nian'du'ji
标准横断面,biao'zhun'heng'duan'mian
标准恒温恒湿养护箱,biao'zhun'heng'wen'heng'shi'yang'hu'xiang
标准跨径,biao'zhun'kua'jing
标准筛,biao'zhun'shai
标准碎石筛,biao'zhun'sui'shi'shai
标准养护室,biao'zhun'yang'hu'shi
标准轴载,biao'zhun'zhou'zai
泊松比,bo'song'bi
波形护栏,bo'xing'hu'lan
播种草籽,bo'zhong'cao'zi
补强层,bu'qiang'ceng
不填不挖,bu'tian'bu'wa
糙率,cao'lv
测量,ce'liang
测站,ce'zhan
层铺法,ceng'pu'fa
产量定额,chan'liang'ding'e
铲运机,chan'yun'ji
厂拌法,chang'ban'fa
厂拌法施工,chang'ban'fa'shi'gong
场地硬化,chang'di'ying'hua
长杆贯入仪,chang'gan'guan'ru'yi
长隧道,chang'sui'dao
长台阶,chang'tai'jie
超车视距,chao'che'shi'ju
超高缓和段,chao'gao'huan'he'duan
超前锚杆,chao'qian'mao'gan
超前小导管,chao'qian'xiao'dao'guan
超挖,chao'wa
潮汐河流,chao'xi'he'liu
超载预压,chao'zai'yu'ya
车道,che'dao
车间净距,che'jian'jing'ju
车辆荷载标准,che'liang'he'zai'biao'zhun
车辆事故率,che'liang'shi'gu'lv
车流,che'liu
车流密度,che'liu'mi'du
车头间距,che'tou'jian'ju
车头时距,che'tou'shi'ju
车辙,che'zhe
车辙试验,che'zhe'shi'yan
沉管法,chen'guan'fa
沉降缝,chen'jiang'feng
沉井基础,chen'jing'ji'chu
沉埋法,chen'mai'fa
衬砌,chen'qi
沉陷,chen'xian
成果表,cheng'guo'biao
城市道路标线,cheng'shi'dao'lu'biao'xian
城市噪声,cheng'shi'zao'sheng
承台,cheng'tai
承载板,cheng'zai'ban
承载板试验,cheng'zai'ban'shi'yan
承载比,cheng'zai'bi
承载力,cheng'zai'li
冲刷系数,chong'shua'xi'shu
冲突点,chong'tu'dian
稠度界限,chou'du'jie'xian
初测,chu'ce
除根机,chu'gen'ji
初凝时间,chu'ning'shi'jian
初期支护,chu'qi'zhi'hu
触探,chu'tan
触探试验,chu'tan'shi'yan
出行,chu'xing
除雪机,chu'xue'ji
出渣,chu'zha
初支,chu'zhi
传力杆,chuan'li'gan
次高级路面,ci'gao'ji'lu'mian
粗集料,cu'ji'liao
粗粒式,cu'li'shi
粗粒土,cu'li'tu
促凝剂,cu'ning'ji
错车道,cuo'che'dao
错台,cuo'tai
错位,cuo'wei
错位交叉,cuo'wei'jiao'cha
打夯机,da'hang'ji
大中修周期,da'zhong'xiu'zhou'qi
打桩机,da'zhuang'ji
代表值,dai'biao'zhi
袋装砂井,dai'zhuang'sha'jing
单侧壁,dan'ce'bi
单斗挖掘机,dan'dou'wa'jue'ji
单级配,dan'ji'pei
单位工程,dan'wei'gong'cheng
单项工程,dan'xiang'gong'cheng
单向推力墩,dan'xiang'tui'li'dun
单轴抗压强度,dan'zhou'kang'ya'qiang'du
挡土墙,dang'tu'qiang
倒虹吸,dao'hong'xi
倒虹吸管涵,dao'hong'xi'guan'han
倒虹吸涵,dao'hong'xi'han
导坑,dao'keng
导坑法,dao'keng'fa
导流岛,dao'liu'dao
道路标线,dao'lu'biao'xian
道路标志,dao'lu'biao'zhi
道路服务设施,dao'lu'fu'wu'she'shi
道路工程,dao'lu'gong'cheng
道路环境,dao'lu'huan'jing
道路交通标志,dao'lu'jiao'tong'biao'zhi
道路景观,dao'lu'jing'guan
道路绿化,dao'lu'lv'hua
道路美化设施,dao'lu'mei'hua'she'shi
道路设施,dao'lu'she'shi
道路诱导设施,dao'lu'you'dao'she'shi
导线测量,dao'xian'ce'liang
导线网,dao'xian'wang
等高线,deng'gao'xian
等级公路,deng'ji'gong'lu
地表锚杆,di'biao'mao'gan
地点速度,di'dian'su'du
狄法尔磨耗试验机,di'fa'er'mo'hao'shi'yan'ji
底基层,di'ji'ceng
低级路面,di'ji'lu'mian
地沥青,di'li'qing
地面高程,di'mian'gao'cheng
地面控制点测量,di'mian'kong'zhi'dian'ce'liang
地面立体摄影测量,di'mian'li'ti'she'ying'ce'liang
第三方责任险,di'san'fang'ze'ren'xian
地物,di'wu
地下连续墙,di'xia'lian'xu'qiang
地形测量,di'xing'ce'liang
第一次工地会议,di'yi'ci'gong'di'hui'yi
垫层,dian'ceng
电动抗折试验机,dian'dong'kang'zhe'shi'yan'ji
电焊机,dian'han'ji
点控制,dian'kong'zhi
电子天平,dian'zi'tian'ping
吊桥,diao'qiao
跌水,die'shui
丁坝,ding'ba
定测,ding'ce
定额编制管理费,ding'e'bian'zhi'guan'li'fei
定量分析,ding'liang'fen'xi
定期养护,ding'qi'yang'hu
顶入法,ding'ru'fa
顶推法,ding'tui'fa
顶推施工,ding'tui'shi'gong
定线,ding'xian
定向式立体交叉,ding'xiang'shi'li'ti'jiao'cha
洞门,dong'men
冻土,dong'tu
动员预付款,dong'yuan'yu'fu'kuan
堵填,du'tian
断背曲线,duan'bei'qu'xian
断链,duan'lian
断面尺寸,duan'mian'chi'cun
断面形式,duan'mian'xing'shi
短隧道,duan'sui'dao
短台阶,duan'tai'jie
断桩,duan'zhuang
对焊机,dui'han'ji
盾构,dun'gou
盾构法,dun'gou'fa
盾构千斤顶,dun'gou'qian'jin'ding
盾构挖掘机,dun'gou'wa'jue'ji
墩帽,dun'mao
墩身,dun'shen
墩台,dun'tai
多年冻土,duo'nian'dong'tu
二衬,er'chen
二灰土,er'hui'tu
二级路改建工程,er'ji'lu'gai'jian'gong'cheng
耳墙,er'qiang
发车位,fa'che'wei
发电机,fa'dian'ji
翻斗车,fan'dou'che
反光标志,fan'guang'biao'zhi
反光路钮,fan'guang'lu'niu
反光膜,fan'guang'mo
反光涂料,fan'guang'tu'liao
翻浆,fan'jiang
反坡,fan'po
反射裂缝,fan'she'lie'feng
反向曲线,fan'xiang'qu'xian
反压护道,fan'ya'hu'dao
泛油,fan'you
防护栅,fang'hu'shan
房建工程,fang'jian'gong'cheng
防沙设施,fang'sha'she'shi
防水层,fang'shui'ceng
方位角,fang'wei'jiao
方向角,fang'xiang'jiao
防眩板,fang'xuan'ban
防眩设施,fang'xuan'she'shi
防眩网,fang'xuan'wang
防雪设施,fang'xue'she'shi
防汛,fang'xun
放张,fang'zhang
防撞护栏,fang'zhuang'hu'lan
非数理统计,fei'shu'li'tong'ji
非弹性变形,fei'tan'xing'bian'xing
沸煮法,fei'zhu'fa
分部工程,fen'bu'gong'cheng
分隔带,fen'ge'dai
分离式立交,fen'li'shi'li'jiao
分离式立体交叉,fen'li'shi'li'ti'jiao'cha
分离式行车道,fen'li'shi'xing'che'dao
分流,fen'liu
粉煤灰,fen'mei'hui
粉喷桩,fen'pen'zhuang
分歧人孔,fen'qi'ren'kong
分项工程,fen'xiang'gong'cheng
封层,feng'ceng
封锚,feng'mao
蜂窝,feng'wo
腹板,fu'ban
复拌沥青混合料摊铺机,fu'ban'li'qing'hun'he'liao'tan'pu'ji
扶壁式挡土墙,fu'bi'shi'dang'tu'qiang
扶壁式桥台,fu'bi'shi'qiao'tai
辅道,fu'dao
腹拱,fu'gong
复合式衬砌,fu'he'shi'chen'qi
复曲线,fu'qu'xian
辐射式公路,fu'she'shi'gong'lu
服务区,fu'wu'qu
服务设施,fu'wu'she'shi
服务性,fu'wu'xing
浮运架桥法,fu'yun'jia'qiao'fa
辅助标志,fu'zhu'biao'zhi
辅助坑道,fu'zhu'keng'dao
辅助眼,fu'zhu'yan
附着力,fu'zhuo'li
盖板涵,gai'ban'han
改建工程,gai'jian'gong'cheng
盖梁,gai'liang
改良土,gai'liang'tu
改善工程,gai'shan'gong'cheng
概算定额,gai'suan'ding'e
改性,gai'xing
改性沥青,gai'xing'li'qing
改性沥青混凝土面层,gai'xing'li'qing'hun'ning'tu'mian'ceng
干密度,gan'mi'du
干缩系数,gan'suo'xi'shu
干缩应变,gan'suo'ying'bian
干线公路,gan'xian'gong'lu
干硬性混凝土,gan'ying'xing'hun'ning'tu
钢板,gang'ban
杠杆弯沉仪,gang'gan'wan'chen'yi
刚构桥,gang'gou'qiao
钢架支撑,gang'jia'zhi'cheng
钢绞线,gang'jiao'xian
钢筋,gang'jin
钢筋混凝土,gang'jin'hun'ning'tu
钢筋混凝土沉井,gang'jin'hun'ning'tu'chen'jing
钢筋混凝土沉桩,gang'jin'hun'ning'tu'chen'zhuang
钢筋混凝土挡土墙,gang'jin'hun'ning'tu'dang'tu'qiang
钢筋混凝土结构,gang'jin'hun'ning'tu'jie'gou
钢筋混凝土桥,gang'jin'hun'ning'tu'qiao
钢筋锯断机,gang'jin'ju'duan'ji
钢筋拉伸机,gang'jin'la'shen'ji
钢筋冷拔机,gang'jin'leng'ba'ji
钢筋冷镦机,gang'jin'leng'dun'ji
钢筋冷拉机,gang'jin'leng'la'ji
钢筋冷轧机,gang'jin'leng'zha'ji
钢筋切断机,gang'jin'qie'duan'ji
钢筋调直机,gang'jin'tiao'zhi'ji
钢筋弯曲机,gang'jin'wan'qu'ji
钢桥,gang'qiao
钢纤维,gang'xian'wei
刚性护栏,gang'xing'hu'lan
刚性基层,gang'xing'ji'ceng
刚性路面,gang'xing'lu'mian
钢支撑,gang'zhi'cheng
高程,gao'cheng
高级工程师,gao'ji'gong'cheng'shi
高级路面,gao'ji'lu'mian
高架桥,gao'jia'qiao
高强钢丝,gao'qiang'gang'si
高强螺栓,gao'qiang'luo'shuan
高速公路管理局,gao'su'gong'lu'guan'li'ju
隔离栅,ge'li'shan
隔离设施,ge'li'she'shi
隔水层,ge'shui'ceng
隔温层,ge'wen'ceng
