愛愛惜,ai'ai'xi
矮躉,ai'dun
捱更抵夜,ai'geng'di'ye
矮瓜,ai'gua
捱饑抵餓,ai'ji'di'e
嗌交,ai'jiao
餲堪堪,ai'kan'kan
挨年近晚,ai'nian'jin'wan
挨拼,ai'pin
挨拼椅,ai'pin'yi
捱世界,ai'shi'jie
挨晚,ai'wan
捱眼瞓,ai'yan'fen
捱夜捱齋,ai'ye'ai'zhai
暗瘡,an'chuang
安樂,an'le
揞脈,an'mai
暗渠,an'qu
安人,an'ren
安士,an'shi
暗啞抵,an'ya'di
巴閉,ba'bi
八公,ba'gong
八卦,ba'gua
八卦妹,ba'gua'mei
八卦婆,ba'gua'po
把鬼,ba'gui
巴辣,ba'la
巴黎帽,ba'li'mao
把脈,ba'mai
八妹,ba'mei
把炮,ba'pao
八婆,ba'po
扒錢,ba'qian
巴士,ba'shi
扒頭,ba'tou
霸王,ba'wang
霸王花,ba'wang'hua
巴仙,ba'xian
八音,ba'yin
巴喳,ba'zha
八珍,ba'zhen
白皚皚,bai'ai'ai
白皚嘥,bai'ai'sai
擺白,bai'bai
白板,bai'ban
白鼻哥,bai'bi'ge
擺檔,bai'dang
擺檔口,bai'dang'kou
白豆,bai'dou
擺甫士,bai'fu'shi
白鴿,bai'ge
白鴿籠,bai'ge'long
白鴿眼,bai'ge'yan
白瓜,bai'gua
白話,bai'hua
白霍,bai'huo
敗家精,bai'jia'jing
敗家仔,bai'jia'zi
擺景,bai'jing
白淨,bai'jing
擺酒,bai'jiu
擺款,bai'kuan
擺闊佬,bai'kuo'lao
白蘭,bai'lan
白欖,bai'lan
白蒙蒙,bai'meng'meng
擺平,bai'ping
拜山,bai'shan
拜神唔見鷄,bai'shen'wu'jian'ji
白蝕,bai'shi
白頭郞,bai'tou'lang
擺烏龍,bai'wu'long
百厭,bai'yan
白斬鷄,bai'zhan'ji
白粥,bai'zhou
白撞,bai'zhuang
白撞雨,bai'zhuang'yu
百足,bai'zu
班兵,ban'bing
班房,ban'fang
板斧,ban'fu
半里,ban'li
班馬,ban'ma
半賣,ban'mai
扮懵,ban'meng
半天弔,ban'tian'di
半條命,ban'tiao'ming
半桶水,ban'tong'shui
扮蟹,ban'xie
扮嘢,ban'ye
板障,ban'zhang
幫補,bang'bu
幫襯,bang'chen
幫口,bang'kou
磅龍,bang'long
幫手,bang'shou
磅水,bang'shui
幫吓眼,bang'xia'yan
傍友,bang'you
暴暴,bao'bao
爆煲,bao'bao
飽飽滯滯,bao'bao'zhi'zhi
爆坼,bao'che
爆大鑊,bao'da'huo
煲電話粥,bao'dian'hua'zhou
包頂頸,bao'ding'geng
菢竇,bao'dou
煲飯仔,bao'fan'zi
爆格,bao'ge
爆穀,bao'gu
剝光豬,bao'guang'zhu
剝花生,bao'hua'sheng
爆火,bao'huo
爆冷,bao'leng
爆冷門,bao'leng'men
包屘,bao'man
爆滿,bao'man
煲冇米粥,bao'mao'mi'zhou
保你大,bao'ni'da
爆棚,bao'peng
爆竊,bao'qie
薄絨,bao'rong
刨書,bao'shu
飽死,bao'si
包檯,bao'tai
包尾油,bao'wei'you
薄削,bao'xue
薄英英,bao'ying'ying
包種,bao'zhong
被袋,bei'dai
被竇,bei'dou
杯葛,bei'ge
背角,bei'jiao
北佬,bei'lao
被鋪,bei'pu
被鋪蚊帳,bei'pu'wen'zhang
北芪,bei'qi
背手影,bei'shou'ying
被套,bei'tao
本地狀元,ben'di'zhuang'yuan
本嚟,ben'li
本事,ben'shi
笨屎蟲,ben'shi'chong
本銀,ben'yin
揼工,beng'gong
崩口,beng'kou
崩口人忌食崩口碗,beng'kou'ren'ji'shi'beng'kou'wan
崩沙,beng'sha
嗶嗶機,bi'bi'ji
弊弊冇咁弊,bi'bi'mao'gan'bi
鼻腍,bi'dian
鼻哥,bi'ge
鼻哥竉,bi'ge'long
避忌,bi'ji
弊家伙,bi'jia'huo
畀面,bi'mian
逼人,bi'ren
鼻水,bi'shui
筆塔,bi'ta
鼻涕蟲,bi'ti'chong
髀罅,bi'xia
畀心機,bi'xin'ji
閉翳,bi'yi
筆嘴,bi'zui
辯駁,bian'bo
邊處,bian'chu
邊度,bian'du
邊個,bian'ge
邊位,bian'wei
鯿魚,bian'yu
標參,biao'can
表錯情,biao'cu'qing
表蓋,biao'gai
標冷汗,biao'leng'han
表面,biao'mian
標青,biao'qing
表肉,biao'rou
檳榔芋,bin'lang'yu
賓妹,bin'mei
病軍,bing'jun
餅印,bing'yin
波鉢,bo'bo
搏彩,bo'cai
發達,bo'da
擘大個口得個竉,bo'da'ge'kou'de'ge'long
駁艔,bo'dao
發癲,bo'dian
發風,bo'feng
伯父,bo'fu
伯公,bo'gong
駁古,bo'gu
缽櫃,bo'gui
發吽哣,bo'hong'pou
發花癲,bo'hua'dian
駁火,bo'huo
發鷄盲,bo'ji'mang
跛腳佬,bo'jiao'lao
搏盡,bo'jin
缽酒,bo'jiu
泊車,bo'ju
發開口夢,bo'kai'kou'meng
發爛渣,bo'lan'zha
發狼戾,bo'lang'li
發冷,bo'leng
波路,bo'lu
搏亂,bo'luan
駁輪,bo'lun
菠蘿蓋,bo'luo'gai
菠蘿蔴,bo'luo'ma
發毛,bo'mao
發矛,bo'mao
搏懵,bo'meng
發夢,bo'meng
發懵,bo'meng
搏命,bo'ming
伯母,bo'mu
發木獨,bo'mu'du
伯娘,bo'niang
薄皮,bo'pi
發錢寒,bo'qian'han
發青光,bo'qing'guang
發軟蹄,bo'ruan'ti
搏傻,bo'sha
發燒友,bo'shao'you
發神經,bo'shen'jing
波士,bo'shi
發市,bo'shi
駁艇,bo'ting
膊頭,bo'tou
缽頭,bo'tou
發瘟,bo'wen
發噏風發喑話,bo'xi'feng'bo'yin'hua
發硝,bo'xiao
波裇,bo'xu
發牙痕,bo'ya'hen
