矮子过河安淹了心的,ai'zi'guo'he'an'yan'le'xin'de
半天云挂口袋装疯,ban'tian'yun'gua'kou'dai'zhuang'feng
厕所里插秤杆过粪,ce'suo'li'cha'cheng'gan'guo'fen
厕所头点灯找屎,ce'suo'tou'dian'deng'zhao'shi
成都到华阳现过现,cheng'du'dao'hua'yang'xian'guo'xian
大阳沟的鲫壳死的多活的少,da'yang'gou'de'ji'ke'si'de'duo'huo'de'shao
大阳沟的鲫鱼不摆了,da'yang'gou'de'ji'yu'bu'bai'le
动物园的熊猫是他妈个国宝,dong'wu'yuan'de'xiong'mao'shi'ta'ma'ge'guo'bao
对倒墙壁屙屎粪发涂强,dui'dao'qiang'bi'e'shi'fen'fa'tu'qiang
屙屎不拿纸想不揩,e'shi'bu'na'zhi'xiang'bu'kai
丰都城拉二胡鬼扯,feng'du'cheng'la'er'hu'gui'che
狗戴眼镜装斯文,gou'dai'yan'jing'zhuang'si'wen
耗儿啃菜刀死路一条,hao'er'ken'cai'dao'si'lu'yi'tiao
耗子爬秤钩自称,hao'zi'pa'cheng'gou'zi'cheng
耗子钻风箱两头受气,hao'zi'zuan'feng'xiang'liang'tou'shou'qi
较场口的旗杆光棍一条,jiao'chang'kou'de'qi'gan'guang'gun'yi'tiao
糠壳揩沟子倒粑一坨,kang'ke'kai'gou'zi'dao'ba'yi'tuo
癞疙宝吃豇豆悬吊吊的,lai'ge'bao'chi'jiang'dou'xuan'diao'diao'de
癞疙宝打呵欠好大的口气,lai'ge'bao'da'he'qian'hao'da'de'kou'qi
老黄瓜刷绿漆装嫩,lao'huang'gua'shua'lv'qi'zhuang'nen
两斤花椒炒二两肉肉麻,liang'jin'hua'jiao'chao'er'liang'rou'rou'ma
麻雀跳到糠堆上空欢喜,ma'que'tiao'dao'kang'dui'shang'kong'huan'xi
猫翻甑子跟狗办的,mao'fan'zeng'zi'gen'gou'ban'de
茅斯边搭扑爬离死不远,mao'si'bian'da'pu'pa'li'si'bu'yuan
茅斯坎栽菜将就屎用,mao'si'kan'zai'cai'jiang'jiu'shi'yong
毛厮头游泳粪涌前进,mao'si'tou'you'yong'fen'yong'qian'jin
猫抓糍粑脱不了爪爪,mao'zhua'ci'ba'tuo'bu'liao'zhao'zhao
墨蚊咬菩萨认错人了,mo'wen'yao'pu'sa'ren'cuo'ren'le
泥菩萨过河自身难保,ni'pu'sa'guo'he'zi'shen'nan'bao
驼背滚阳沟七拱八撬,tuo'bei'gun'yang'gou'qi'gong'ba'qiao
脱了裤耳打屁多此一举,tuo'le'ku'er'da'pi'duo'ci'yi'ju
瓦片装稀饭二流二流的,wa'pian'zhuang'xi'fan'er'liu'er'liu'de
王大娘的裹脚又臭又长,wang'da'niang'de'guo'jiao'you'chou'you'chang
蚊子拿称砣操练手脚,wen'zi'na'cheng'tuo'cao'lian'shou'jiao
瞎子打婆娘丢不到手,xia'zi'da'po'niang'diu'bu'dao'shou
虾子过河谦虚牵须,xia'zi'guo'he'qian'xu'qian'xu
哑巴吃汤圆心头有数,ya'ba'chi'tang'yuan'xin'tou'you'shu
牙儿喝酒醉锤子,ya'er'he'jiu'zui'chui'zi
牙刷脱毛板眼儿多,ya'shua'tuo'mao'ban'yan'er'duo
鸭子死到田坎上嘴壳子硬,ya'zi'si'dao'tian'kan'shang'zui'ke'zi'ying
夜明珠笨酱油宝得来有盐有味的,ye'ming'zhu'ben'jiang'you'bao'de'lai'you'yan'you'wei'de
夜明珠笨酱油宝得有盐有味的,ye'ming'zhu'ben'jiang'you'bao'dei'you'yan'you'wei'de
夜明珠打飞机宝上了天,ye'ming'zhu'da'fei'ji'bao'shang'le'tian
夜明珠放屁宝气,ye'ming'zhu'fang'pi'bao'qi
夜明珠塞床脚宝塞塞的,ye'ming'zhu'sai'chuang'jiao'bao'sai'sai'de
月亮坝儿耍弯刀明砍,yue'liang'ba'er'shua'wan'dao'ming'kan
猪八戒过火焰山倒打一钉耙,zhu'ba'jie'guo'huo'yan'shan'dao'da'yi'ding'ba
猪八戒照镜子里外不是人,zhu'ba'jie'zhao'jing'zi'li'wai'bu'shi'ren
