暗色鰟鮍,an'se'pang'pi
白河鱊,bai'he'yu
白臀鱊,bai'tun'yu
白缘鱊,bai'yuan'yu
彩副鱊,cai'fu'yu
彩石鰟鮍,cai'shi'pang'pi
彩鱊,cai'yu
长鳍鱊,chang'qi'yu
朝鲜鱊,chao'xian'yu
橙鱊,cheng'yu
刺鳍鱊,ci'qi'yu
粗纹暗色鰟鮍,cu'wen'an'se'pang'pi
大口鱊,da'kou'yu
大鳍鱊,da'qi'yu
东京鱊,dong'jing'yu
短须鱊,duan'xu'yu
多鳞鱊,duo'lin'yu
峨眉鱊,e'mei'yu
方氏,fang'shi
方氏鰟鮍,fang'shi'pang'pi
粉鰭鱊,fen'qi'yu
高丽鱊,gao'li'yu
高体,gao'ti
高体鰟鮍,gao'ti'pang'pi
革条田中鱊,ge'tiao'tian'zhong'yu
寡鳞鱊,gua'lin'yu
广西鱊,guang'xi'yu
韩鱊,han'yu
黑腹鱊,hei'fu'yu
黑龙江鰟鮍,hei'long'jiang'pang'pi
黑线鱊,hei'xian'yu
红鳍鱊,hong'qi'yu
红尾鱊,hong'wei'yu
红线鱊,hong'xian'yu
红鱊,hong'yu
金臀鱊,jin'tun'yu
巨口鱊,ju'kou'yu
巨线鱊,ju'xian'yu
刘氏鰟鮍,liu'shi'pang'pi
绿鱊,lv'yu
矛鱊,mao'yu
拟斯氏鰟鮍,ni'si'shi'pang'pi
齐氏鰟鮍,qi'shi'pang'pi
石台,shi'tai
石台鰟鮍,shi'tai'pang'pi
思氏鰟鮍,si'shi'pang'pi
无白缘鱊,wu'bai'yuan'yu
无须鱊,wu'xu'yu
细鳞鱊,xi'lin'yu
斜方鱊,xie'fang'yu
兴凯鱊,xing'kai'yu
须鱊,xu'yu
银菩鱊,yin'pu'yu
油鱊,you'yu
缘鱊,yuan'yu
越南鱊,yue'nan'yu
纵带鱊,zong'dai'yu
