埃洛石,ai'luo'shi
硫镍钴矿,liu'nie'gu'kuang
硫镍矿,liu'nie'kuang
硫砷铅矿,liu'shen'qian'kuang
硫砷铜矿,liu'shen'tong'kuang
硫砷铜银矿,liu'shen'tong'yin'kuang
硫锑铅矿,liu'ti'qian'kuang
硫锑铁矿,liu'ti'tie'kuang
硫锑铜银矿,liu'ti'tong'yin'kuang
硫铜钴矿,liu'tong'gu'kuang
硫铜锑矿,liu'tong'ti'kuang
硫锡铁铜矿,liu'xi'tie'tong'kuang
硫银铋矿,liu'yin'bi'kuang
硫银锡矿,liu'yin'xi'kuang
硫银锗矿,liu'yin'zhe'kuang
绿高岭石,lv'gao'ling'shi
铝硅酸盐,lv'gui'suan'yan
绿辉石,lv'hui'shi
绿帘石,lv'lian'shi
铝绿泥石,lv'lv'ni'shi
绿泥石,lv'ni'shi
氯铜矿,lv'tong'kuang
绿脱石,lv'tuo'shi
绿纤石,lv'xian'shi
铝直闪石,lv'zhi'shan'shi
马基诺矿,ma'ji'nuo'kuang
麦硫锑铅矿,mai'liu'ti'qian'kuang
毛矿,mao'kuang
镁橄榄石,mei'gan'lan'shi
镁黄长石,mei'huang'chang'shi
镁尖晶石,mei'jian'jing'shi
镁铝榴石,mei'lv'liu'shi
镁铁尖晶石,mei'tie'jian'jing'shi
镁铁闪石,mei'tie'shan'shi
锰钡矿,meng'bei'kuang
锰钾矿,meng'jia'kuang
锰尖晶石,meng'jian'jing'shi
锰铝榴石,meng'lv'liu'shi
蒙脱石,meng'tuo'shi
蒙皂石,meng'zao'shi
明矾石,ming'fan'shi
默硅镁钙石,mo'gui'mei'gai'shi
莫来石,mo'lai'shi
墨铜矿,mo'tong'kuang
钼华,mu'hua
钠长石,na'chang'shi
钠闪石,na'shan'shi
钠铁矾,na'tie'fan
钠铁闪石,na'tie'shan'shi
钠云母,na'yun'mu
囊脱石,nang'tuo'shi
霓石,ni'shi
铌钽铁矿,ni'tan'tie'kuang
粘土,nian'tu
镍黄铁矿,nie'huang'tie'kuang
镍自然铁,nie'zi'ran'tie
钕铌易解石,nv'ni'yi'jie'shi
泡铋矿,pao'bi'kuang
硼镁石,peng'mei'shi
硼镁铁矿,peng'mei'tie'kuang
片沸石,pian'fei'shi
葡萄石,pu'tao'shi
普通辉石,pu'tong'hui'shi
普通角闪石,pu'tong'jiao'shan'shi
契尔马克分子,qi'er'ma'ke'fen'zi
铅矾,qian'fan
浅闪石,qian'shan'shi
羟铁云母,qiang'tie'yun'mu
蔷薇辉石,qiang'wei'hui'shi
蔷薇石,qiang'wei'shi
青铝闪石,qing'lv'shan'shi
软锰矿,ruan'meng'kuang
三水铝石,san'shui'lv'shi
烧绿石,shao'lv'shi
少银黄铁矿,shao'yin'huang'tie'kuang
蛇纹石,she'wen'shi
深红银矿,shen'hong'yin'kuang
砷华,shen'hua
砷镍钴矿,shen'nie'gu'kuang
砷镍矿,shen'nie'kuang
砷铅矿,shen'qian'kuang
砷铜矿,shen'tong'kuang
史碲银矿,shi'di'yin'kuang
石膏,shi'gao
石榴石,shi'liu'shi
石榴子石,shi'liu'zi'shi
石墨,shi'mo
石英,shi'ying
十字石,shi'zi'shi
水晶,shui'jing
水铝氧石,shui'lv'yang'shi
水镁石,shui'mei'shi
水锰矿,shui'meng'kuang
水锌矿,shui'xin'kuang
丝光沸石,si'guang'fei'shi
燧石,sui'shi
塔菲石,ta'fei'shi
钛磁铁矿,tai'ci'tie'kuang
钛铁矿,tai'tie'kuang
碳酸盐矿物,tan'suan'yan'kuang'wu
锑硫镍矿,ti'liu'nie'kuang
锑银矿,ti'yin'kuang
天蓝石,tian'lan'shi
条纹长石,tiao'wen'chang'shi
铁白云石,tie'bai'yun'shi
铁电气石,tie'dian'qi'shi
铁橄榄石,tie'gan'lan'shi
铁辉石,tie'hui'shi
铁锂云母,tie'li'yun'mu
铁菱镁矿,tie'ling'mei'kuang
铁铝榴石,tie'lv'liu'shi
铁闪石,tie'shan'shi
铜蓝,tong'lan
透长石,tou'chang'shi
透闪石,tou'shan'shi
透铁橄榄石,tou'tie'gan'lan'shi
钍石,tu'shi
歪长石,wai'chang'shi
顽火辉石,wan'huo'hui'shi
微晶高岭石,wei'jing'gao'ling'shi
微斜长石,wei'xie'chang'shi
文石,wen'shi
钨锰矿,wu'meng'kuang
钨锰铁矿,wu'meng'tie'kuang
钨铁矿,wu'tie'kuang
硒碲铋矿,xi'di'bi'kuang
硒金银矿,xi'jin'yin'kuang
细硫砷铅矿,xi'liu'shen'qian'kuang
锡石,xi'shi
硒铜银矿,xi'tong'yin'kuang
矽线石,xi'xian'shi
硒银矿,xi'yin'kuang
锡黝铜矿,xi'you'tong'kuang
霞石,xia'shi
纤硫锑铅矿,xian'liu'ti'qian'kuang
纤锰柱石,xian'meng'zhu'shi
纤蛇纹石,xian'she'wen'shi
霰石,xian'shi
纤铁矿,xian'tie'kuang
纤锌矿,xian'xin'kuang
香花石,xiang'hua'shi
斜长石,xie'chang'shi
斜方碲金矿,xie'fang'di'jin'kuang
斜方辉铅铋矿,xie'fang'hui'qian'bi'kuang
斜方辉石,xie'fang'hui'shi
斜方角闪石,xie'fang'jiao'shan'shi
斜方砷钴矿,xie'fang'shen'gu'kuang
斜方砷镍矿,xie'fang'shen'nie'kuang
斜方砷铁矿,xie'fang'shen'tie'kuang
斜钙榴石,xie'gai'liu'shi
斜硅钙石,xie'gui'gai'shi
斜硅镁石,xie'gui'mei'shi
斜绿泥石,xie'lv'ni'shi
榍石,xie'shi
斜黝帘石,xie'you'lian'shi
锌尖晶石,xin'jian'jing'shi
雄黄,xiong'huang
烟晶,yan'jing
氧角闪石,yang'jiao'shan'shi
阳起石,yang'qi'shi
叶碲铋矿,ye'di'bi'kuang
叶碲金矿,ye'di'jin'kuang
叶腊石,ye'la'shi
叶蛇纹石,ye'she'wen'shi
易变辉石,yi'bian'hui'shi
伊丁石,yi'ding'shi
异极矿,yi'ji'kuang
伊利石,yi'li'shi
伊利水云母,yi'li'shui'yun'mu
银金矿,yin'jin'kuang
硬绿泥石,ying'lv'ni'shi
萤石,ying'shi
硬石膏,ying'shi'gao
硬水铝石,ying'shui'lv'shi
硬玉,ying'yu
硬柱石,ying'zhu'shi
黝方石,you'fang'shi
黝帘石,you'lian'shi
黝锑银矿,you'ti'yin'kuang
黝锡矿,you'xi'kuang
玉髓,yu'sui
圆柱锡矿,yuan'zhu'xi'kuang
晕长石,yun'chang'shi
云母,yun'mu
针碲金银矿,zhen'di'jin'yin'kuang
针硫铋铅矿,zhen'liu'bi'qian'kuang
针镍矿,zhen'nie'kuang
珍珠云母,zhen'zhu'yun'mu
