安北将军,an'bei'jiang'jun
安国将军,an'guo'jiang'jun
安南将军,an'nan'jiang'jun
安西将军,an'xi'jiang'jun
安远将军,an'yuan'jiang'jun
奥义忍稻妻,ao'yi'ren'dao'qi
八卦灯,ba'gua'deng
八卦二象阵,ba'gua'er'xiang'zhen
八卦符兵,ba'gua'fu'bing
八卦符兵阵,ba'gua'fu'bing'zhen
八卦灵灯,ba'gua'ling'deng
八卦六角阵,ba'gua'liu'jiao'zhen
八卦四方阵,ba'gua'si'fang'zhen
八卦突斩,ba'gua'tu'zhan
八卦斩,ba'gua'zhan
八卦阵斩,ba'gua'zhen'zhan
八门金锁,ba'men'jin'suo
白虎傲啸,bai'hu'ao'xiao
百兽奔双月斩,bai'shou'ben'shuang'yue'zhan
半月斩,ban'yue'zhan
北院大王,bei'yuan'da'wang
秉中将军,bing'zhong'jiang'jun
博士,bo'shi
不死神术,bu'si'shen'shu
参轒轀车,can'fen'wen'che
参议,can'yi
单于,chan'yu
长枪突击,chang'qiang'tu'ji
超地龙极震,chao'di'long'ji'zhen
超风龙天旋,chao'feng'long'tian'xuan
超火龙怒焰,chao'huo'long'nu'yan
超龙牙车阵,chao'long'ya'che'zhen
超忍二连击,chao'ren'er'lian'ji
超忍灭绝阵,chao'ren'mie'jue'zhen
超噬血魔刃,chao'shi'xue'mo'ren
超水龙狂涛,chao'shui'long'kuang'tao
超天剑神威,chao'tian'jian'shen'wei
超血魔刃,chao'xue'mo'ren
车将军,che'jiang'jun
丞相,cheng'xiang
赤焰,chi'yan
赤焰火海,chi'yan'huo'hai
赤焰火轮,chi'yan'huo'lun
赤焰火轮诀,chi'yan'huo'lun'jue
赤焰火轮阵,chi'yan'huo'lun'zhen
赤焰燃,chi'yan'ran
冲车,chong'che
冲射龙炮,chong'she'long'pao
大当户,da'dang'hu
大地狂啸,da'di'kuang'xiao
大洞主,da'dong'zhu
大都尉,da'du'wei
大将军,da'jiang'jun
大纳言,da'na'yan
大司马,da'si'ma
大司农,da'si'nong
大头目,da'tou'mu
荡寇将军,dang'kou'jiang'jun
地龙,di'long
地龙极震,di'long'ji'zhen
地龙震,di'long'zhen
地茅遍地,di'mao'bian'di
地茅刺,di'mao'ci
地茅乱刺,di'mao'luan'ci
地泉,di'quan
地泉冲,di'quan'chong
地泉鲸浪,di'quan'jing'lang
地水双龙,di'shui'shuang'long
地狱之门,di'yu'zhi'men
二洞主,er'dong'zhu
藩士,fan'shi
返天术,fan'tian'shu
飞鬼戟,fei'gui'ji
分身斩,fen'shen'zhan
奋威将军,fen'wei'jiang'jun
轒轀车,fen'wen'che
奋武将军,fen'wu'jiang'jun
风火双龙,feng'huo'shuang'long
风雷齐啸,feng'lei'qi'xiao
风龙,feng'long
风龙天旋,feng'long'tian'xuan
风龙旋,feng'long'xuan
符兵,fu'bing
伏兵班阵,fu'bing'ban'zhen
伏兵夹击,fu'bing'jia'ji
符兵连引,fu'bing'lian'yin
伏兵连阵,fu'bing'lian'zhen
伏兵排阵,fu'bing'pai'zhen
伏兵奇袭,fu'bing'qi'xi
符兵引,fu'bing'yin
伏波将军,fu'bo'jiang'jun
辅国将军,fu'guo'jiang'jun
符节令,fu'jie'ling
抚军将军,fu'jun'jiang'jun
浮雷,fu'lei
浮雷光阵,fu'lei'guang'zhen
浮雷阵,fu'lei'zhen
符玺郎,fu'xi'lang
骨都侯,gu'dou'hou
谷螽王,gu'zhong'wang
关白摄政,guan'bai'she'zheng
光禄丞,guang'lu'cheng
光禄勋,guang'lu'xun
鬼哭神号,gui'ku'shen'hao
鬼面盾,gui'mian'dun
贵族,gui'zu
滚石,gun'shi
滚石剧压,gun'shi'ju'ya
滚石怒冲,gun'shi'nu'chong
国士,guo'shi
国主,guo'zhu
憾宇雷光剑,han'yu'lei'guang'jian
横江将军,heng'jiang'jiang'jun
横野将军,heng'ye'jiang'jun
轰雷冲车,hong'lei'chong'che
红莲地狱,hong'lian'di'yu
轰天一剑,hong'tian'yi'jian
後伏班阵,hou'fu'ban'zhen
後伏连阵,hou'fu'lian'zhen
後伏排阵,hou'fu'pai'zhen
后将军,hou'jiang'jun
护军将军,hu'jun'jiang'jun
虎烈将军,hu'lie'jiang'jun
虎威将军,hu'wei'jiang'jun
虎翼将军,hu'yi'jiang'jun
黄龙天翔,huang'long'tian'xiang
黄门郎,huang'men'lang
黄门令,huang'men'ling
毁天灭地,hui'tian'mie'di
回天术,hui'tian'shu
火箭烈,huo'jian'lie
火箭强袭,huo'jian'qiang'xi
火箭天袭,huo'jian'tian'xi
火雷鬼玉,huo'lei'gui'yu
火雷鬼玉破,huo'lei'gui'yu'po
火雷玉,huo'lei'yu
活疗术,huo'liao'shu
火龙,huo'long
火龙怒焰,huo'long'nu'yan
火龙焰,huo'long'yan
火轮,huo'lun
火轮冲,huo'lun'chong
火轮涛杀,huo'lun'tao'sha
火牛烈崩,huo'niu'lie'beng
火牛群舞,huo'niu'qun'wu
火牛阵,huo'niu'zhen
活天术,huo'tian'shu
机关冲,ji'guan'chong
机关灭绝冲,ji'guan'mie'jue'chong
机关杀阵,ji'guan'sha'zhen
机关阵,ji'guan'zhen
集火柱,ji'huo'zhu
剑轮舞,jian'lun'wu
剑论斩,jian'lun'zhan
箭石雨,jian'shi'yu
箭石坠,jian'shi'zhui
建文将军,jian'wen'jiang'jun
剑无敌,jian'wu'di
建武将军,jian'wu'jiang'jun
剑无量,jian'wu'liang
谏议大夫,jian'yi'dai'fu
箭雨冲,jian'yu'chong
箭雨天罗,jian'yu'tian'luo
