长安,chang'an
崇文街,chong'wen'jie
大孝堡乡,da'xiao'bao'xiang
东许办事处,dong'xu'ban'shi'chu
杜村乡,du'cun'xiang
兑镇镇,dui'zhen'zhen
府东,fu'dong
府南,fu'nan
府西,fu'xi
府中,fu'zhong
高阳镇,gao'yang'zhen
工程处,gong'cheng'chu
和平庄,he'ping'zhuang
吕梁,lv'liang
南阳乡,nan'yang'xiang
七二,qi'er
三贤路,san'xian'lu
胜溪湖,sheng'xi'hu
梧桐镇,wu'tong'zhen
西辛庄镇,xi'xin'zhuang'zhen
下堡镇,xia'bao'zhen
下栅乡,xia'ce'xiang
孝义,xiao'yi
孝义市,xiao'yi'shi
新乐巷,xin'le'xiang
新义街,xin'yi'jie
阳泉曲镇,yang'quan'qu'zhen
驿马乡,yi'ma'xiang
艺宛,yi'wan
迎宾街,ying'bin'jie
振兴街,zhen'xing'jie
中阳楼街,zhong'yang'lou'jie
柱濮镇,zhu'pu'zhen
