阿贝尔富度,a'bei'er'fu'du
阿尔文波,a'er'wen'bo
阿格兰德法,a'ge'lan'de'fa
巴尔末减幅,ba'er'mo'jian'fu
巴径向脉动,ba'jing'xiang'mai'dong
白洞,bai'dong
半长径,ban'chang'jing
半宽,ban'kuan
半影,ban'ying
半影食,ban'ying'shi
暴缩,bao'suo
贝寒尔恒星常数,bei'han'er'heng'xing'chang'shu
贝寒尔年,bei'han'er'nian
贝寒尔日数,bei'han'er'ri'shu
北极星序,bei'ji'xing'xu
背景辐射,bei'jing'fu'she
背景星,bei'jing'xing
本初子午线,ben'chu'zi'wu'xian
本动,ben'dong
本影,ben'ying
本影食,ben'ying'shi
比较星,bi'jiao'xing
标准星,biao'zhun'xing
标准坐标,biao'zhun'zuo'biao
不变平面,bu'bian'ping'mian
不明飞行体,bu'ming'fei'xing'ti
不透明度,bu'tou'ming'du
参考星,can'kao'xing
测地岁差,ce'di'sui'cha
测光,ce'guang
测光系统,ce'guang'xi'tong
测光序,ce'guang'xu
测时,ce'shi
测向天体,ce'xiang'tian'ti
长期光行差,chang'qi'guang'xing'cha
长期极移,chang'qi'ji'yi
长期加速度,chang'qi'jia'su'du
长期摄动,chang'qi'she'dong
长期视差,chang'qi'shi'cha
长周期摄动,chang'zhou'qi'she'dong
潮汐变形,chao'xi'bian'xing
潮汐摩擦,chao'xi'mo'ca
称动点,cheng'dong'dian
赤道,chi'dao
赤道地位视差,chi'dao'di'wei'shi'cha
赤道隆起,chi'dao'long'qi
赤道坐标系,chi'dao'zuo'biao'xi
赤经,chi'jing
赤经岁差,chi'jing'sui'cha
赤经章动,chi'jing'zhang'dong
赤纬,chi'wei
赤纬岁差,chi'wei'sui'cha
出差,chu'chai
初轨,chu'gui
初亏,chu'kui
出凌,chu'ling
春分点,chun'fen'dian
瓷阻尼,ci'zu'ni
大冲,da'chong
大距,da'ju
大气食,da'qi'shi
大气视宁度,da'qi'shi'ning'du
大气透明度,da'qi'tou'ming'du
大气吸收,da'qi'xi'shou
大气折射,da'qi'zhe'she
氮碳循环,dan'tan'xun'huan
导星,dao'xing
等边三角形点,deng'bian'san'jiao'xing'dian
等光度测量,deng'guang'du'ce'liang
等龄线,deng'ling'xian
等效温度,deng'xiao'wen'du
第二宇宙速度,di'er'yu'zhou'su'du
地方时,di'fang'shi
地固坐标系,di'gu'zuo'biao'xi
地极,di'ji
地面观测,di'mian'guan'ce
底片比例尺,di'pian'bi'li'chi
底片常数,di'pian'chang'shu
地平经圈,di'ping'jing'quan
地平图,di'ping'tu
地平星,di'ping'xing
地平坐标系,di'ping'zuo'biao'xi
地球力学系,di'qiu'li'xue'xi
地球偏率,di'qiu'pian'lv
地球自转参数,di'qiu'zi'zhuan'can'shu
地球坐标系,di'qiu'zuo'biao'xi
第三宇宙速度,di'san'yu'zhou'su'du
地外生命搜寻,di'wai'sheng'ming'sou'xun
地外文明,di'wai'wen'ming
地心历表,di'xin'li'biao
地心引力常数,di'xin'yin'li'chang'shu
地心坐标,di'xin'zuo'biao
第一宇宙速度,di'yi'yu'zhou'su'du
定标,ding'biao
定标星,ding'biao'xing
定标源,ding'biao'yuan
东大距,dong'da'ju
东方照,dong'fang'zhao
动力学参考系,dong'li'xue'can'kao'xi
冬至点,dong'zhi'dian
陡谱,dou'pu
独立积分,du'li'ji'fen
独立日数,du'li'ri'shu
短缺质量,duan'que'zhi'liang
对流过冲,dui'liu'guo'chong
多钵问题,duo'bo'wen'ti
多曾勒频移,duo'ceng'le'pin'yi
多方球,duo'fang'qiu
多色测光,duo'se'ce'guang
二分点,er'fen'dian
二均差,er'jun'cha
二体问题,er'ti'wen'ti
二至点,er'zhi'dian
二至圈,er'zhi'quan
法定时,fa'ding'shi
反照率,fan'zhao'lv
仿视星等,fang'shi'xing'deng
方位角,fang'wei'jiao
方照,fang'zhao
非灰大气,fei'hui'da'qi
非局部热动平稳,fei'ju'bu're'dong'ping'wen
非热辐射,fei're'fu'she
分裂碎块,fen'lie'sui'kuai
分至月,fen'zhi'yue
富度指数,fu'du'zhi'shu
覆盖效应,fu'gai'xiao'ying
富氦核,fu'hai'he
复合,fu'he
负氢离子,fu'qing'li'zi
辐射温度,fu'she'wen'du
辐射转移,fu'she'zhuan'yi
辐身转移方程,fu'shen'zhuan'yi'fang'cheng
复圆,fu'yuan
高斯引力常数,gao'si'yin'li'chang'shu
高速测光,gao'su'ce'guang
格里历,ge'li'li
格林尼治极限,ge'lin'ni'zhi'ji'xian
格林尼治平恒星,ge'lin'ni'zhi'ping'heng'xing
格林尼治平时,ge'lin'ni'zhi'ping'shi
格林尼治子午线,ge'lin'ni'zhi'zi'wu'xian
拱点,gong'dian
拱极星,gong'ji'xing
拱线,gong'xian
共线点,gong'xian'dian
公转,gong'zhuan
观测,guan'ce
观测站,guan'ce'zhan
观象台,guan'xiang'tai
光变曲线,guang'bian'qu'xian
光变周期,guang'bian'zhou'qi
光电测光,guang'dian'ce'guang
光电成象,guang'dian'cheng'xiang
光度,guang'du
光度函数,guang'du'han'shu
光度级,guang'du'ji
光厚介质,guang'hou'jie'zhi
光谱分析,guang'pu'fen'xi
光谱光度图,guang'pu'guang'du'tu
光谱型,guang'pu'xing
光深,guang'shen
光行差,guang'xing'cha
光行差常数,guang'xing'cha'chang'shu
光行时,guang'xing'shi
光行时差,guang'xing'shi'cha
光学窗口,guang'xue'chuang'kou
光学对应体,guang'xue'dui'ying'ti
光学认证,guang'xue'ren'zheng
广义主序,guang'yi'zhu'xu
光质介质,guang'zhi'jie'zhi
轨道改进,gui'dao'gai'jin
轨道根数,gui'dao'gen'shu
轨道共振,gui'dao'gong'zhen
国际极移日期,guo'ji'ji'yi'ri'qi
国际时间局,guo'ji'shi'jian'ju
国际协议原点,guo'ji'xie'yi'yuan'dian
国际原子时,guo'ji'yuan'zi'shi
哈佛分类,ha'fo'fen'lei
氦燃料,hai'ran'liao
航海天文历,hang'hai'tian'wen'li
耗散,hao'san
赫罗图,he'luo'tu
核生成,he'sheng'cheng
赫氏空隙,he'shi'kong'xi
黑洞,hei'dong
恒星光行差,heng'xing'guang'xing'cha
恒星日,heng'xing'ri
恒星月,heng'xing'yue
红化,hong'hua
红外超,hong'wai'chao
红外窗口,hong'wai'chuang'kou
红外星等,hong'wai'xing'deng
环绕速度,huan'rao'su'du
黄赤交角,huang'chi'jiao'jiao
黄道,huang'dao
黄道带,huang'dao'dai
黄道坐标系,huang'dao'zuo'biao'xi
黄极,huang'ji
黄经,huang'jing
黄经章动,huang'jing'zhang'dong
黄经总岁差,huang'jing'zong'sui'cha
黄纬,huang'wei
灰大气,hui'da'qi
灰洞,hui'dong
回归年,hui'gui'nian
回旋加速辐射,hui'xuan'jia'su'fu'she
火卫,huo'wei
基本星表,ji'ben'xing'biao
激发温度,ji'fa'wen'du
激光测月,ji'guang'ce'yue
极距,ji'ju
积日,ji'ri
计时,ji'shi
极限暴光时间,ji'xian'bao'guang'shi'jian
极限分辩率,ji'xian'fen'bian'lv
极限星等,ji'xian'xing'deng
极向天体,ji'xiang'tian'ti
极移,ji'yi
纪元,ji'yuan
简化暴光日期,jian'hua'bao'guang'ri'qi
简略历书日期,jian'lue'li'shu'ri'qi
降交点,jiang'jiao'dian
较差测光,jiao'cha'ce'guang
较差观测,jiao'cha'guan'ce
较差星表,jiao'cha'xing'biao
较差自转,jiao'cha'zi'zhuan
交点,jiao'dian
交点西退,jiao'dian'xi'tui
交点线,jiao'dian'xian
交点月,jiao'dian'yue
角动量极,jiao'dong'liang'ji
交角章动,jiao'jiao'zhang'dong
交食概况,jiao'shi'gai'kuang
交食要素,jiao'shi'yao'su
截断因子,jie'duan'yin'zi
近地点,jin'di'dian
近点角,jin'dian'jiao
近点年,jin'dian'nian
近点月,jin'dian'yue
近日点,jin'ri'dian
近日点辐角,jin'ri'dian'fu'jiao
近日点进动,jin'ri'dian'jin'dong
禁线,jin'xian
近心点,jin'xin'dian
近星点,jin'xing'dian
经典积分,jing'dian'ji'fen
经度,jing'du
经天平动,jing'tian'ping'dong
径向脉动,jing'xiang'mai'dong
局部热动平衡,ju'bu're'dong'ping'heng
距角,ju'jiao
距离模数,ju'li'mo'shu
绝对测光,jue'dui'ce'guang
绝对星表,jue'dui'xing'biao
绝对星等,jue'dui'xing'deng
卡西尼定律,ka'xi'ni'ding'lv
开普勒定律,kai'pu'le'ding'lv
开普勒方程,kai'pu'le'fang'cheng
克尔黑洞,ke'er'hei'dong
空固坐标系,kong'gu'zuo'biao'xi
空间,kong'jian
宽带测光,kuan'dai'ce'guang
拉格郎日点,la'ge'lang'ri'dian
累积星等,lei'ji'xing'deng
历表,li'biao
力函数,li'han'shu
离解,li'jie
历书时,li'shu'shi
力学分点,li'xue'fen'dian
力学偏率,li'xue'pian'lv
力学时,li'xue'shi
历元,li'yuan
历元赤道,li'yuan'chi'dao
亮度,liang'du
两色测光,liang'se'ce'guang
两色图,liang'se'tu
亮温度,liang'wen'du
临边昏暗,lin'bian'hun'an
临边增亮,lin'bian'zeng'liang
临界幅角,lin'jie'fu'jiao
临界倾角,lin'jie'qing'jiao
零龄主序,ling'ling'zhu'xu
凌日,ling'ri
零速度面,ling'su'du'mian
流星密度,liu'xing'mi'du
洛希极限,luo'xi'ji'xian
氯闪,lv'shan
脉动不稳定带,mai'dong'bu'wen'ding'dai
卯酉圈,mao'you'quan
面地观测站,mian'di'guan'ce'zhan
面积定律,mian'ji'ding'lv
秒差距,miao'cha'ju
民用晨昏蒙影,min'yong'chen'hun'meng'ying
民用日,min'yong'ri
木村项,mu'cun'xiang
目视测光,mu'shi'ce'guang
目视星等,mu'shi'xing'deng
木卫,mu'wei
内变,nei'bian
内拉格郎日点,nei'la'ge'lang'ri'dian
能层,neng'ceng
逆行,ni'xing
鸟呼鲁,niao'hu'lu
帕洛马天图,pa'luo'ma'tian'tu
喷流,pen'liu
偏进点角,pian'jin'dian'jiao
偏食,pian'shi
偏心率,pian'xin'lv
偏置导星,pian'zhi'dao'xing
平赤道,ping'chi'dao
平分春点,ping'fen'chun'dian
平根数,ping'gen'shu
平恒星时,ping'heng'xing'shi
平黄赤交角,ping'huang'chi'jiao'jiao
平极,ping'ji
平近点角,ping'jin'dian'jiao
平均动动,ping'jun'dong'dong
平均法,ping'jun'fa
平年,ping'nian
平谱,ping'pu
平太阳,ping'tai'yang
平太阳日,ping'tai'yang'ri
平太阳时,ping'tai'yang'shi
平位置,ping'wei'zhi
平正午,ping'zheng'wu
泼恩星表,po'en'xing'biao
普遍摄动,pu'bian'she'dong
谱线分裂,pu'xian'fen'lie
谱线覆盖,pu'xian'fu'gai
谱线认证,pu'xian'ren'zheng
谱线位移,pu'xian'wei'yi
钱德勒周期,qian'de'le'zhou'qi
前景星,qian'jing'xing
倾角,qing'jiao
氢燃料,qing'ran'liao
秋分点,qiu'fen'dian
区时,qu'shi
全食,quan'shi
全时带,quan'shi'dai
热斑,re'ban
热辐射,re'fu'she
热星等,re'xing'deng
人造地理卫星,ren'zao'di'li'wei'xing
认证,ren'zheng
认证图,ren'zheng'tu
韧致辐射,ren'zhi'fu'she
日城,ri'cheng
日环时,ri'huan'shi
日界线,ri'jie'xian
日年,ri'nian
日偏时,ri'pian'shi
日全食,ri'quan'shi
日食,ri'shi
日食限,ri'shi'xian
日时限,ri'shi'xian
日心体系,ri'xin'ti'xi
日心引力常数,ri'xin'yin'li'chang'shu
日心坐标,ri'xin'zuo'biao
日月岁差,ri'yue'sui'cha
日运动,ri'yun'dong
容许跃迁,rong'xu'yue'qian
肉眼观测,rou'yan'guan'ce
肉眼日期,rou'yan'ri'qi
肉眼日数,rou'yan'ri'shu
肉眼世纪,rou'yan'shi'ji
入凌,ru'ling
闰秒,run'miao
闰年,run'nian
闰日,run'ri
闰余,run'yu
闰月,run'yue
三角视差,san'jiao'shi'cha
三体碰撞,san'ti'peng'zhuang
三体问题,san'ti'wen'ti
三星会聚,san'xing'hui'ju
色温度,se'wen'du
色余,se'yu
色指数,se'zhi'shu
沙哈方程,sha'ha'fang'cheng
闪烁,shan'shuo
上合,shang'he
上弦,shang'xian
上中天,shang'zhong'tian
射电,she'dian
射电窗口,she'dian'chuang'kou
射电亮度,she'dian'liang'du
射电温度,she'dian'wen'du
射电指数,she'dian'zhi'shu
射电转移,she'dian'zhuan'yi
摄动,she'dong
摄动函数,she'dong'han'shu
摄动理论,she'dong'li'lun
摄动体,she'dong'ti
生光,sheng'guang
升交点,sheng'jiao'dian
升交点经度,sheng'jiao'dian'jing'du
视差,shi'cha
时差,shi'cha
视差动,shi'cha'dong
视差天平动,shi'cha'tian'ping'dong
视差椭圆,shi'cha'tuo'yuan
视差位移,shi'cha'wei'yi
视场,shi'chang
食典,shi'dian
食分,shi'fen
时号,shi'hao
时号改正数,shi'hao'gai'zheng'shu
食既,shi'ji
时间,shi'jian
时间同步,shi'jian'tong'bu
时角,shi'jiao
世界时,shi'jie'shi
食年,shi'nian
视宁度,shi'ning'du
视宁象,shi'ning'xiang
视宁圆面,shi'ning'yuan'mian
食甚,shi'shen
视天平动,shi'tian'ping'dong
视位差,shi'wei'cha
视向速度,shi'xiang'su'du
视星等,shi'xing'deng
时延,shi'yan
食圆,shi'yuan
受迫跃迁,shou'po'yue'qian
受摄体,shou'she'ti
束缚束缚跃进,shu'fu'shu'fu'yue'jin
水平支,shui'ping'zhi
顺留,shun'liu
瞬时赤道,shun'shi'chi'dao
顺行,shun'xing
朔望月,shuo'wang'yue
四色测光,si'se'ce'guang
岁差,sui'cha
碎裂,sui'lie
太阳日,tai'yang'ri
太阳时,tai'yang'shi
逃逸速度,tao'yi'su'du
特殊摄动,te'shu'she'dong
天赤道,tian'chi'dao
天底,tian'di
天顶,tian'ding
天顶距,tian'ding'ju
天极,tian'ji
天空背景,tian'kong'bei'jing
天空亮度,tian'kong'liang'du
天平动,tian'ping'dong
天球,tian'qiu
天球历书极,tian'qiu'li'shu'ji
天球坐标系,tian'qiu'zuo'biao'xi
天体,tian'ti
天体测光,tian'ti'ce'guang
天体测星位置,tian'ti'ce'xing'wei'zhi
天体化学,tian'ti'hua'xue
天体力学,tian'ti'li'xue
天体偏振测置,tian'ti'pian'zhen'ce'zhi
天文常数系数,tian'wen'chang'shu'xi'shu
天文晨昏蒙影,tian'wen'chen'hun'meng'ying
天文单位,tian'wen'dan'wei
天文导航,tian'wen'dao'hang
天文馆,tian'wen'guan
天文年历,tian'wen'nian'li
天文气候,tian'wen'qi'hou
天文日,tian'wen'ri
天文台,tian'wen'tai
天文纬度,tian'wen'wei'du
筒并气体,tong'bing'qi'ti
同步观测,tong'bu'guan'ce
同步加速辐射,tong'bu'jia'su'fu'she
通带,tong'dai
图象处理,tu'xiang'chu'li
图象综合,tu'xiang'zong'he
外拉格郎日点,wai'la'ge'lang'ri'dian
网状结构,wang'zhuang'jie'gou
纬度,wei'du
纬度变化,wei'du'bian'hua
位力定理,wei'li'ding'li
卫生激光测距,wei'sheng'ji'guang'ce'ju
纬天平动,wei'tian'ping'dong
位置角,wei'zhi'jiao
温度效应,wen'du'xiao'ying
吻切根数,wen'qie'gen'shu
吻切平面,wen'qie'ping'mian
吻切椭圆,wen'qie'tuo'yuan
误差棒,wu'cha'bang
误差框,wu'cha'kuang
物理天平动,wu'li'tian'ping'dong
无限红移面,wu'xian'hong'yi'mian
西大距,xi'da'ju
希尔稳定性,xi'er'wen'ding'xing
希尔问题,xi'er'wen'ti
西方照,xi'fang'zhao
稀化因子,xi'hua'yin'zi
吸积,xi'ji
吸积盘,xi'ji'pan
下合,xia'he
夏令时,xia'ling'shi
下弦,xia'xian
下中天,xia'zhong'tian
线心,xian'xin
限制性三体问题,xian'zhi'xing'san'ti'wen'ti
消光,xiao'guang
协调世界时,xie'tiao'shi'jie'shi
星表,xing'biao
星表分点,xing'biao'fen'dian
星等,xing'deng
星等标,xing'deng'biao
星图,xing'tu
星图集,xing'tu'ji
