阿会喃,a'hui'nan
岑晊公孝岑壁岑威岑昏,cen'zhi'gong'xiao'cen'bi'cen'wei'cen'hun
成廉成宜成何成倅成济,cheng'lian'cheng'yi'cheng'he'cheng'cui'cheng'ji
淳于琼淳于导淳于丹,chun'yu'qiong'chun'yu'dao'chun'yu'dan
鄂焕俄何烧戈,e'huan'e'he'shao'ge
逢纪法正孝直,feng'ji'fa'zheng'xiao'zhi
汉灵帝,han'ling'di
沮授沮鹄句安蹇硕纪灵简雍,ju'shou'ju'hu'ju'an'jian'shuo'ji'ling'jian'yong
牛辅牛金宁随南华老仙,niu'fu'niu'jin'ning'sui'nan'hua'lao'xian
裴景普净濮阳兴,pei'jing'pu'jing'pu'yang'xing
牵弘麹义清河公主曹操女,qian'hong'qu'yi'qing'he'gong'zhu'cao'cao'nv
区星,qu'xing
任峻任夔,ren'jun'ren'kui
三国演义人物大全,san'guo'yan'yi'ren'wu'da'quan
土安,tu'an
毋丘俭仲恭毋丘甸,wu'qiu'jian'zhong'gong'wu'qiu'dian
羊祜,yang'hu
