扳不倒儿,ban'bu'dao'er
帮黑子,bang'hei'zi
棒子,bang'zi
包子,bao'zi
北边儿,bei'bian'er
别胡,bie'hu
簸西,bo'xi
不得劲儿,bu'de'jin'er
不接,bu'jie
不认怎门儿,bu'ren'zen'men'er
成天介,cheng'tian'jie
吃马虎,chi'ma'hu
抽头儿,chou'tou'er
出其,chu'qi
大辈,da'bei
大后儿,da'hou'er
掉蛋,diao'dan
吊歪,diao'wai
东边儿,dong'bian'er
逗是,dou'shi
干么捏,gan'me'nie
咯了败儿,ge'le'bai'er
个人儿,ge'ren'er
哈喇子,ha'la'zi
寒碜,han'chen
好些个,hao'xie'ge
黑介,hei'jie
黑呀爱,hei'ya'ai
齁地荒,hou'di'huang
后儿,hou'er
后脊娘,hou'ji'niang
后晌,hou'shang
滑结,hua'jie
活眼儿,huo'yan'er
鲫瓜子,ji'gua'zi
叽鸟儿,ji'niao'er
家巧儿,jia'qiao'er
嚼牙,jiao'ya
妗子,jin'zi
舅儿,jiu'er
咔叉粥,ka'cha'zhou
卡拉簸西,ka'la'bo'xi
可其了儿地,ke'qi'le'er'di
哭车,ku'che
辣卜丝的,la'bu'si'de
烙饼,lao'bing
列个,lie'ge
蚂楞,ma'leng
麦秋,mai'qiu
没盐经儿,mei'yan'jing'er
没找对,mei'zhao'dui
门儿咧,men'er'lie
面条味儿,mian'tiao'wei'er
明个儿,ming'ge'er
那会儿,na'hui'er
南边儿,nan'bian'er
难揍,nan'zou
恼心,nao'xin
能太,neng'tai
你给我半拉子去,ni'gei'wo'ban'la'zi'qu
腻外,ni'wai
年下咧,nian'xia'lie
捏个,nie'ge
前儿个,qian'er'ge
前晌儿,qian'shang'er
筛药,shai'yao
晌活,shang'huo
上其,shang'qi
婶儿,shen'er
收儿,shou'er
水瓢,shui'piao
水绍,shui'shao
水舀子,shui'yao'zi
踏拉板儿,ta'la'ban'er
台起来,tai'qi'lai
腾一下,teng'yi'xia
啼忽,ti'hu
甜咕能的,tian'gu'neng'de
田些,tian'xie
铁锨,tie'xian
听听,ting'ting
土喀拉,tu'ka'la
我逗不介,wo'dou'bu'jie
西边儿,xi'bian'er
喜看,xi'kan
喜巧,xi'qiao
夏粮,xia'liang
馅儿包子,xian'er'bao'zi
小旦子儿,xiao'dan'zi'er
小闺尼儿,xiao'gui'ni'er
宵生,xiao'sheng
小小子儿,xiao'xiao'zi'er
歇虎子,xie'hu'zi
言信儿哎,yan'xin'er'ai
仰吧脚儿周,yang'ba'jue'er'zhou
哉趴趴,zai'pa'pa
早青儿,zao'qing'er
真儿个,zhen'er'ge
蛛蛛,zhu'zhu
自个人,zi'ge'ren
奏饭,zou'fan
揍像儿,zou'xiang'er
