暗鳜,an'gui
暗色东方鲀,an'se'dong'fang'tun
白边鮠,bai'bian'wei
白鳄科,bai'e'ke
白甲鱼,bai'jia'yu
白头鳜,bai'tou'gui
白鲟,bai'xun
斑点叉尾鮰,ban'dian'cha'wei'hui
斑鳜,ban'gui
瓣结鱼,ban'jie'yu
棒花鱼,bang'hua'yu
鳊鱼,bian'yu
彩石鲥,cai'shi'shi
餐,can
草鱼,cao'yu
叉尾斗鱼,cha'wei'dou'yu
岔尾黄颡鱼,cha'wei'huang'sang'yu
长薄鳅,chang'bao'qiu
长春鳊,chang'chun'bian
长江鲟,chang'jiang'xun
长鳍吻鮈,chang'qi'wen'ju
长蛇鮈,chang'she'ju
长体鲂,chang'ti'fang
长体鳜,chang'ti'gui
长吻鮠,chang'wen'wei
长须片唇鮈,chang'xu'pian'chun'ju
成都鱲,cheng'du'la
成都暇虎鱼,cheng'du'xia'hu'yu
赤眼梭鲻,chi'yan'suo'zi
赤眼鳟,chi'yan'zun
刺鲃,ci'ba
刺鳅,ci'qiu
刺鳅科,ci'qiu'ke
粗唇鮠,cu'chun'wei
大斑花鳅,da'ban'hua'qiu
大理裂腹鱼,da'li'lie'fu'yu
大鳞副泥鳅,da'lin'fu'ni'qiu
大鳍刺鰟鮍,da'qi'ci'pang'pi
大鳍镬,da'qi'huo
达氏鲟,da'shi'xun
大眼鳜,da'yan'gui
大银鱼,da'yin'yu
带半刺厚唇鱼,dai'ban'ci'hou'chun'yu
刀鲚,dao'ji
洞庭棒花鱼,dong'ting'bang'hua'yu
杜父鱼科,du'fu'yu'ke
短颌鲚,duan'he'ji
短身间吸鳅,duan'shen'jian'xi'qiu
短身鳅鮀,duan'shen'qiu'tuo
短体条鳅,duan'ti'tiao'qiu
短臀近红鮈,duan'tun'jin'hong'ju
短尾鮠,duan'wei'wei
短须颌须鮈,duan'xu'he'xu'ju
钝吻棒花鱼,dun'wen'bang'hua'yu
钝吻鮠,dun'wen'wei
多鳞刺鰟鮍,duo'lin'ci'pang'pi
峨嵋刺鰟鮍,e'mei'ci'pang'pi
峨嵋后平鳅,e'mei'hou'ping'qiu
方正银鲫,fang'zheng'yin'ji
鲱科,fei'ke
丰鲤,feng'li
芙蓉鲤,fu'rong'li
鱤,gan
高体白甲鱼,gao'ti'bai'jia'yu
高体近红鮈,gao'ti'jin'hong'ju
工程鲫,gong'cheng'ji
寡鳞刺鰟鮍,gua'lin'ci'pang'pi
寡鳞飘鱼,gua'lin'piao'yu
鳤,guan
光唇蛇鮈,guang'chun'she'ju
光泽黄颡鱼,guang'ze'huang'sang'yu
鳜,gui
鳜鱼,gui'yu
