阿尔巴特站,a'er'ba'te'zhan
阿尔图菲耶沃站,a'er'tu'fei'ye'wo'zhan
阿列克谢轻轨站,a'lie'ke'xie'qing'gui'zhan
阿列克谢站,a'lie'ke'xie'zhan
安宁诺站,an'ning'nuo'zhan
巴布什金站,ba'bu'shi'jin'zhan
巴格拉季昂站,ba'ge'la'ji'ang'zhan
白俄罗斯站,bai'e'luo'si'zhan
鲍曼站,bao'man'zhan
碧比列沃站,bi'bi'lie'wo'zhan
彼得罗夫拉祖莫夫站,bi'de'luo'fu'la'zu'mo'fu'zhan
别戈沃伊站,bie'ge'wo'yi'zhan
别利亚耶沃站,bie'li'ya'ye'wo'zhan
波德别利斯基街站,bo'de'bie'li'si'ji'jie'zhan
博里索沃站,bo'li'suo'wo'zhan
波列扎耶夫站,bo'lie'zha'ye'fu'zhan
博罗维茨基站,bo'luo'wei'ci'ji'zhan
布拉迪斯拉发站,bu'la'di'si'la'fa'zhan
布拉格站,bu'la'ge'zhan
察里岑诺站,cha'li'cen'nuo'zhan
大学站,da'xue'zhan
德米特里顿斯科伊路站,de'mi'te'li'dun'si'ke'yi'lu'zhan
德米特罗夫站,de'mi'te'luo'fu'zhan
迪纳摩站,di'na'mo'zhan
多勃雷宁站,duo'bo'lei'ning'zhan
多莫杰多沃站,duo'mo'jie'duo'wo'zhan
发电厂站,fa'dian'chang'zhan
纺织工站,fang'zhi'gong'zhan
菲利公园站,fei'li'gong'yuan'zhan
菲利站,fei'li'zhan
分水渠站,fen'shui'qu'zhan
伏尔加格勒大道站,fu'er'jia'ge'le'da'dao'zhan
伏尔加站,fu'er'jia'zhan
弗拉德金诺站,fu'la'de'jin'nuo'zhan
伏龙芝站,fu'long'zhi'zhan
戈尔恰科夫街站,ge'er'qia'ke'fu'jie'zhan
革命广场站,ge'ming'guang'chang'zhan
革新广场站,ge'xin'guang'chang'zhan
工会站,gong'hui'zhan
共青团站,gong'qing'tuan'zhan
国际站,guo'ji'zhan
国经成就展轻轨站,guo'jing'cheng'jiu'zhan'qing'gui'zhan
国经成就展站,guo'jing'cheng'jiu'zhan'zhan
航空发动机站,hang'kong'fa'dong'ji'zhan
和平大道站,he'ping'da'dao'zhan
