便携式,bian'xie'shi
表面沾染,biao'mian'zhan'ran
丙射线照射量,bing'she'xian'zhao'she'liang
车用,che'yong
大面积快速辐射侦察,da'mian'ji'kuai'su'fu'she'zhen'cha
地面照射率,di'mian'zhao'she'lv
地域消毒,di'yu'xiao'du
地域侦察,di'yu'zhen'cha
毒害,du'hai
毒剂云团,du'ji'yun'tuan
毒剂种类,du'ji'zhong'lei
毒区,du'qu
毒性,du'xing
发现射线,fa'xian'she'xian
发烟车,fa'yan'che
发烟地区,fa'yan'di'qu
发烟点,fa'yan'dian
发烟罐,fa'yan'guan
发烟剂,fa'yan'ji
发烟炮弹,fa'yan'pao'dan
发烟器,fa'yan'qi
发烟器材,fa'yan'qi'cai
发烟手榴弹,fa'yan'shou'liu'dan
发烟炸弹,fa'yan'zha'dan
防护保障任务,fang'hu'bao'zhang'ren'wu
防护任务,fang'hu'ren'wu
防护要求,fang'hu'yao'qiu
防化保障,fang'hua'bao'zhang
防化保障计划,fang'hua'bao'zhang'ji'hua
防化保障指示,fang'hua'bao'zhang'zhi'shi
防化兵,fang'hua'bing
防化部队,fang'hua'bu'dui
防化器材,fang'hua'qi'cai
防化学兵,fang'hua'xue'bing
防化预备队,fang'hua'yu'bei'dui
防化侦察车,fang'hua'zhen'cha'che
防化侦察分队,fang'hua'zhen'cha'fen'dui
防化侦察组,fang'hua'zhen'cha'zu
放射性落下灰,fang'she'xing'luo'xia'hui
放射性物质,fang'she'xing'wu'zhi
方向侦察,fang'xiang'zhen'cha
分析化验,fen'xi'hua'yan
辐射仪,fu'she'yi
辐射侦察,fu'she'zhen'cha
辐射侦察器材,fu'she'zhen'cha'qi'cai
副手,fu'shou
概略测量,gai'lue'ce'liang
概略浓度,gai'lue'nong'du
个人剂量检查仪,ge'ren'ji'liang'jian'cha'yi
核爆炸估算,he'bao'zha'gu'suan
核爆炸观测仪,he'bao'zha'guan'ce'yi
核辐射损伤,he'fu'she'sun'shang
核观测,he'guan'ce
核观测分队,he'guan'ce'fen'dui
核观测配系,he'guan'ce'pei'xi
核观测哨,he'guan'ce'shao
核武器防护指示,he'wu'qi'fang'hu'zhi'shi
核袭击警报,he'xi'ji'jing'bao
化学估算,hua'xue'gu'suan
化学观察,hua'xue'guan'cha
化学观察哨,hua'xue'guan'cha'shao
化学武器防护指示,hua'xue'wu'qi'fang'hu'zhi'shi
化学袭击警报,hua'xue'xi'ji'jing'bao
化学侦察,hua'xue'zhen'cha
化学侦察器材毒剂报警器,hua'xue'zhen'cha'qi'cai'du'ji'bao'jing'qi
化验车,hua'yan'che
剂量笔,ji'liang'bi
剂量玻璃,ji'liang'bo'li
剂量检查,ji'liang'jian'cha
剂量监督,ji'liang'jian'du
剂量胶片,ji'liang'jiao'pian
舰用,jian'yong
局部洗消,ju'bu'xi'xiao
淋浴车,lin'yu'che
六偏磷酸钠,liu'pian'lin'suan'na
迷盲敌人,mi'mang'di'ren
迷盲烟幕,mi'mang'yan'mu
灭菌,mie'jun
凝油粉,ning'you'fen
喷火,pen'huo
喷火分队,pen'huo'fen'dui
喷火器,pen'huo'qi
喷火手,pen'huo'shou
喷火油料,pen'huo'you'liao
喷火油料保障,pen'huo'you'liao'bao'zhang
喷洒车,pen'sa'che
喷射,pen'she
全部洗消,quan'bu'xi'xiao
全身照射,quan'shen'zhao'she
群众性洗消,qun'zhong'xing'xi'xiao
染毒程度,ran'du'cheng'du
染毒道路,ran'du'dao'lu
染毒范围,ran'du'fan'wei
染毒空气,ran'du'kong'qi
染毒通路,ran'du'tong'lu
染毒物体,ran'du'wu'ti
染毒样品,ran'du'yang'pin
染毒种类,ran'du'zhong'lei
热释光剂量仪,re'shi'guang'ji'liang'yi
溶剂,rong'ji
溶剂擦洗,rong'ji'ca'xi
杀灭病原体,sha'mie'bing'yuan'ti
杀伤剂,sha'shang'ji
杀伤破坏半径,sha'shang'po'huai'ban'jing
射线报警器,she'xian'bao'jing'qi
射线指示仪,she'xian'zhi'shi'yi
受染,shou'ran
受染地域,shou'ran'di'yu
受染对象,shou'ran'dui'xiang
受染情况,shou'ran'qing'kuang
通路消毒,tong'lu'xiao'du
洗消,xi'xiao
洗消分队,xi'xiao'fen'dui
洗消器材,xi'xiao'qi'cai
洗消通过,xi'xiao'tong'guo
洗消站,xi'xiao'zhan
洗衣粉,xi'yi'fen
消除放射性沾染,xiao'chu'fang'she'xing'zhan'ran
消除剂,xiao'chu'ji
消除率,xiao'chu'lv
消除液,xiao'chu'ye
消除沾染,xiao'chu'zhan'ran
消毒,xiao'du
消毒剂,xiao'du'ji
消毒剂消毒,xiao'du'ji'xiao'du
消毒液,xiao'du'ye
信号烟幕,xin'hao'yan'mu
烟幕,yan'mu
烟幕保障计划,yan'mu'bao'zhang'ji'hua
乙丙射线探测仪,yi'bing'she'xian'tan'ce'yi
隐蔽自己,yin'bi'zi'ji
油料携行量,you'liao'xie'xing'liang
沾染程度,zhan'ran'cheng'du
沾染检查,zhan'ran'jian'cha
沾染检查器材,zhan'ran'jian'cha'qi'cai
战时核辐射参考控制量,zhan'shi'he'fu'she'can'kao'kong'zhi'liang
照射率,zhao'she'lv
遮蔽烟幕,zhe'bi'yan'mu
侦毒剂,zhen'du'ji
侦检毒剂,zhen'jian'du'ji
正手,zheng'shou
专业分队洗消,zhuan'ye'fen'dui'xi'xiao
自动报警仪器,zi'dong'bao'jing'yi'qi
最大剂量,zui'da'ji'liang
