安庆调,an'qing'tiao
白字戏,bai'zi'xi
梆子腔,bang'zi'qiang
梆子秧腔,bang'zi'yang'qiang
并州腔,bing'zhou'qiang
采茶戏,cai'cha'xi
潮调,chao'tiao
池州腔,chi'zhou'qiang
吹腔,chui'qiang
打稻戏,da'dao'xi
道情戏,dao'qing'xi
二黄腔,er'huang'qiang
二簧调,er'huang'tiao
甘肃调,gan'su'tiao
诰猖腔,gao'chang'qiang
高腔,gao'qiang
勾腔,gou'qiang
姑娘腔,gu'niang'qiang
广腔,guang'qiang
过锦,guo'jin
哈哈腔,ha'ha'qiang
虾蟆腔,ha'ma'qiang
海宁调,hai'ning'tiao
海盐腔,hai'yan'qiang
汉调,han'tiao
杭州腔,hang'zhou'qiang
河南调,he'nan'tiao
侯阳高腔,hou'yang'gao'qiang
湖广腔,hu'guang'qiang
胡琴腔,hu'qin'qiang
湖阴曲,hu'yin'qu
花鼓戏,hua'gu'xi
徽调,hui'diao
徽州腔,hui'zhou'qiang
冀州调,ji'zhou'tiao
京腔,jing'qiang
昆山腔,kun'shan'qiang
昆弋腔,kun'yi'qiang
拉魂腔,la'hun'qiang
乐乐腔,le'le'qiang
乐平腔,le'ping'qiang
梁山调,liang'shan'tiao
柳子腔,liu'zi'qiang
咙咚调,long'dong'tiao
锣鼓杂戏,luo'gu'za'xi
罗罗腔,luo'luo'qiang
曼绰,man'chuo
南北路,nan'bei'lu
女儿腔,nv'er'qiang
皮黄腔,pi'huang'qiang
琴腔,qin'qiang
秦腔,qin'qiang
清戏,qing'xi
青阳腔,qing'yang'qiang
泉潮腔,quan'chao'qiang
泉腔,quan'qiang
赛戏,sai'xi
三倒腔,san'dao'qiang
石牌腔,shi'pai'qiang
耍孩儿,shua'hai'er
四平腔,si'ping'qiang
松阳高腔,song'yang'gao'qiang
苏腔,su'qiang
唢呐腔,suo'na'qiang
太平腔,tai'ping'qiang
滩簧戏,tan'huang'xi
调腔,tiao'qiang
卫腔,wei'qiang
巫娘腔,wu'niang'qiang
乌腔,wu'qiang
西安高腔,xi'an'gao'qiang
西皮调,xi'pi'tiao
西秦腔,xi'qin'qiang
西调,xi'tiao
西吴高腔,xi'wu'gao'qiang
下江调,xia'jiang'tiao
下南腔,xia'nan'qiang
弦索腔,xian'suo'qiang
襄阳腔,xiang'yang'qiang
兴化腔,xing'hua'qiang
秧歌戏,yang'ge'xi
宜黄腔,yi'huang'qiang
弋腔,yi'qiang
义乌腔,yi'wu'qiang
弋阳腔,yi'yang'qiang
馀姚腔,yu'yao'qiang
枞阳腔,zong'yang'qiang
