安宁市,an'ning'shi
保山,bao'shan
宾川县,bin'chuan'xian
沧源佤族自治县,cang'yuan'wa'zu'zi'zhi'xian
昌宁县,chang'ning'xian
呈贡县,cheng'gong'xian
澄江县,cheng'jiang'xian
楚雄市,chu'xiong'shi
楚雄彝族自治州,chu'xiong'yi'zu'zi'zhi'zhou
翠云区,cui'yun'qu
大关县,da'guan'xian
大理白族自治州,da'li'bai'zu'zi'zhi'zhou
大理市,da'li'shi
大姚县,da'yao'xian
德宏傣族景颇族自治州,de'hong'dai'zu'jing'po'zu'zi'zhi'zhou
德钦县,de'qin'xian
迪庆藏族自治州,di'qing'zang'zu'zi'zhi'zhou
东川区,dong'chuan'qu
峨山彝族自治县,e'shan'yi'zu'zi'zhi'xian
洱源县,er'yuan'xian
凤庆县,feng'qing'xian
福贡县,fu'gong'xian
富民县,fu'min'xian
富宁县,fu'ning'xian
富源县,fu'yuan'xian
个旧市,ge'jiu'shi
耿马傣族佤族自治县,geng'ma'dai'zu'wa'zu'zi'zhi'xian
贡山独龙族怒族自治县,gong'shan'du'long'zu'nu'zu'zi'zhi'xian
古城区,gu'cheng'qu
官渡区,guan'du'qu
广南县,guang'nan'xian
河口瑶族自治县,he'kou'yao'zu'zi'zhi'xian
鹤庆县,he'qing'xian
红河哈尼族彝族自治州,hong'he'ha'ni'zu'yi'zu'zi'zhi'zhou
红河县,hong'he'xian
红塔区,hong'ta'qu
华宁县,hua'ning'xian
华坪县,hua'ping'xian
会泽县,hui'ze'xian
剑川县,jian'chuan'xian
建水县,jian'shui'xian
江城哈尼族彝族自治县,jiang'cheng'ha'ni'zu'yi'zu'zi'zhi'xian
江川县,jiang'chuan'xian
晋宁县,jin'ning'xian
金平苗族瑶族傣族自治县,jin'ping'miao'zu'yao'zu'dai'zu'zi'zhi'xian
景东彝族自治县,jing'dong'yi'zu'zi'zhi'xian
景谷傣族彝族自治县,jing'gu'dai'zu'yi'zu'zi'zhi'xian
景洪市,jing'hong'shi
开远市,kai'yuan'shi
昆明,kun'ming
澜沧拉祜族自治县,lan'cang'la'hu'zu'zi'zhi'xian
兰坪白族普米族自治县,lan'ping'bai'zu'pu'mi'zu'zi'zhi'xian
丽江,li'jiang
梁河县,liang'he'xian
临沧,lin'cang
临翔区,lin'xiang'qu
六库,liu'ku
陇川县,long'chuan'xian
龙陵县,long'ling'xian
隆阳区,long'yang'qu
鲁甸县,lu'dian'xian
禄丰县,lu'feng'xian
陆良县,lu'liang'xian
路南,lu'nan
禄劝彝族苗族自治县,lu'quan'yi'zu'miao'zu'zi'zhi'xian
泸水县,lu'shui'xian
潞西市,lu'xi'shi
泸西县,lu'xi'xian
罗平县,luo'ping'xian
绿春县,lv'chun'xian
马关县,ma'guan'xian
麻栗坡县,ma'li'po'xian
马龙县,ma'long'xian
孟海,meng'hai
勐海县,meng'hai'xian
孟腊,meng'la
勐腊县,meng'la'xian
孟连傣族拉祜族佤族自治县,meng'lian'dai'zu'la'hu'zu'wa'zu'zi'zhi'xian
蒙自县,meng'zi'xian
弥渡县,mi'du'xian
弥勒县,mi'le'xian
墨江哈尼族自治县,mo'jiang'ha'ni'zu'zi'zhi'xian
牟定县,mou'ding'xian
南华县,nan'hua'xian
南涧彝族自治县,nan'jian'yi'zu'zi'zhi'xian
宁蒗彝族自治县,ning'lang'yi'zu'zi'zhi'xian
怒江傈僳族自治州,nu'jiang'li'su'zu'zi'zhi'zhou
盘龙区,pan'long'qu
屏边苗族自治县,ping'bian'miao'zu'zi'zhi'xian
