安徽省,an'hui'sheng
八宝蜜食,ba'bao'mi'shi
八宝油糕,ba'bao'you'gao
八珍糕,ba'zhen'gao
白蜜食,bai'mi'shi
白米酥,bai'mi'su
白切,bai'qie
百叶酥,bai'ye'su
白圆蛋糕,bai'yuan'dan'gao
百子寿桃,bai'zi'shou'tao
半月,ban'yue
包袱酥,bao'fu'su
宝鸡茶酥,bao'ji'cha'su
北京市,bei'jing'shi
北芪茶酥,bei'qi'cha'su
冰蓼花,bing'liao'hua
藏花饼,cang'hua'bing
槽子糕,cao'zi'gao
茶饼,cha'bing
茶食刀切,cha'shi'dao'qie
常德银片糕,chang'de'yin'pian'gao
嫦娥奔月饼,chang'e'ben'yue'bing
长江月饼,chang'jiang'yue'bing
长寿薄脆,chang'shou'bao'cui
长寿糕,chang'shou'gao
长圆糕,chang'yuan'gao
常州大麻糕,chang'zhou'da'ma'gao
炒米,chao'mi
潮式老婆饼,chao'shi'lao'po'bing
承德名胜蛋糕,cheng'de'ming'sheng'dan'gao
重阳花糕,chong'yang'hua'gao
刺玫瑰,ci'mei'gui
葱饼,cong'bing
葱花缸炉,cong'hua'gang'lu
脆蜜馃,cui'mi'guo
大蛋散,da'dan'san
大方糕,da'fang'gao
大救驾,da'jiu'jia
大麻球,da'ma'qiu
大雪枣,da'xue'zao
大有水绿豆糕,da'you'shui'lv'dou'gao
代黄杏,dai'huang'xing
蛋黄锅盔,dan'huang'guo'kui
蛋黄麻花,dan'huang'ma'hua
蛋黄面包,dan'huang'mian'bao
蛋丝饼,dan'si'bing
蛋松果,dan'song'guo
稻香春南味食品,dao'xiang'chun'nan'wei'shi'pin
德懋恭水晶饼,de'mao'gong'shui'jing'bing
德泰麦芽糕,de'tai'mai'ya'gao
灯芯糕,deng'xin'gao
顶雪贡糕,ding'xue'gong'gao
峨眉糕,e'mei'gao
峨秀糕,e'xiu'gao
儿童茶饼,er'tong'cha'bing
丰城冻米糖,feng'cheng'dong'mi'tang
凤尾酥,feng'wei'su
扶风鹿糕,fu'feng'lu'gao
福建省,fu'jian'sheng
茯苓饼,fu'ling'bing
茯苓糕,fu'ling'gao
阜宁大糕,fu'ning'da'gao
芙蓉糕,fu'rong'gao
腐乳饼,fu'ru'bing
抚州擦酥饼,fu'zhou'ca'su'bing
咖喱牛肉饺,ga'li'niu'rou'jiao
甘露饼,gan'lu'bing
甘露酥,gan'lu'su
甘青宁新藏五省区,gan'qing'ning'xin'cang'wu'sheng'qu
赣州麻通,gan'zhou'ma'tong
高丽人参茶食礼盒,gao'li'ren'shen'cha'shi'li'he
高密蜜枣,gao'mi'mi'zao
高桥松饼,gao'qiao'song'bing
各地糕点名,ge'di'gao'dian'ming
宫饼,gong'bing
功德林素月饼,gong'de'lin'su'yue'bing
贡品麻花,gong'pin'ma'hua
宫廷风味糕点,gong'ting'feng'wei'gao'dian
观我颐猪油糕,guan'wo'yi'zhu'you'gao
广安烘糕,guang'an'hong'gao
光饼,guang'bing
广东省海南省,guang'dong'sheng'hai'nan'sheng
广东酥角,guang'dong'su'jiao
广东酥皮细点,guang'dong'su'pi'xi'dian
广东桃酥,guang'dong'tao'su
广东月饼,guang'dong'yue'bing
广西壮族自治区,guang'xi'zhuang'zu'zi'zhi'qu
桂发祥麻花,gui'fa'xiang'ma'hua
桂花茶饼,gui'hua'cha'bing
桂花果粉,gui'hua'guo'fen
桂花雀蛋,gui'hua'que'dan
桂花酥糖,gui'hua'su'tang
贵州省,gui'zhou'sheng
哈达饼,ha'da'bing
海参饼,hai'shen'bing
杭州绿豆糕,hang'zhou'lv'dou'gao
河北省,he'bei'sheng
荷花蛋糕,he'hua'dan'gao
荷花酥,he'hua'su
河南省,he'nan'sheng
核桃糕和花生糕,he'tao'gao'he'hua'sheng'gao
荷月,he'yue
黑京果,hei'jing'guo
黑龙江省,hei'long'jiang'sheng
洪湖蛋糕,hong'hu'dan'gao
红菊牌萨其玛,hong'ju'pai'sa'qi'ma
红楼糕点,hong'lou'gao'dian
湖北省,hu'bei'sheng
湖南省,hu'nan'sheng
花点果品,hua'dian'guo'pin
花根,hua'gen
花生枣,hua'sheng'zao
淮安茶馓,huai'an'cha'san
黄桥烧饼,huang'qiao'shao'bing
黄石港饼,huang'shi'gang'bing
惠山油酥,hui'shan'you'su
徽州饼,hui'zhou'bing
吉安薄酥饼,ji'an'bo'su'bing
吉林省,ji'lin'sheng
济南蜜三刀,ji'nan'mi'san'dao
甲白皮,jia'bai'pi
夹沙月饼,jia'sha'yue'bing
碱酥饼,jian'su'bing
酱核桃,jiang'he'tao
江米枣,jiang'mi'zao
江苏省,jiang'su'sheng
江西省,jiang'xi'sheng
江阴马蹄酥,jiang'yin'ma'ti'su
焦盖烧饼,jiao'gai'shao'bing
椒盐麻饼,jiao'yan'ma'bing
津八件,jin'ba'jian
金菊,jin'ju
进士糕和状元饼,jin'shi'gao'he'zhuang'yuan'bing
金叶奶油蛋糕,jin'ye'nai'you'dan'gao
金银枣,jin'yin'zao
京八件,jing'ba'jian
京式月饼,jing'shi'yue'bing
井研丝丝糕,jing'yan'si'si'gao
九黄饼,jiu'huang'bing
开平麻花,kai'ping'ma'hua
空心果,kong'xin'guo
赖桃酥,lai'tao'su
老大房月饼,lao'da'fang'yue'bing
老鼎丰月饼,lao'ding'feng'yue'bing
老世泰糕点,lao'shi'tai'gao'dian
醪糟麻花,lao'zao'ma'hua
礼饼,li'bing
连环酥,lian'huan'su
蓼花,liao'hua
燎花,liao'hua
辽宁省,liao'ning'sheng
柳城云片糕,liu'cheng'yun'pian'gao
浏阳茴饼,liu'yang'hui'bing
龙凤饼,long'feng'bing
龙须糕,long'xu'gao
陆家浜糖枣,lu'jia'bang'tang'zao
渌江牌圆蛋糕,lu'jiang'pai'yuan'dan'gao
陆良馓子,lu'liang'san'zi
卢氏麻片,lu'shi'ma'pian
罗汉饼,luo'han'bing
螺丝盒子,luo'si'he'zi
绿豆饼,lv'dou'bing
绿豆糕,lv'dou'gao
麻饼,ma'bing
麻烘糕,ma'hong'gao
马蹄蛋糕,ma'ti'dan'gao
马蹄酥,ma'ti'su
麻芝,ma'zhi
盲公饼,mang'gong'bing
玫瑰猪油松子枣泥麻饼,mei'gui'zhu'you'song'zi'zao'ni'ma'bing
美且有雪片,mei'qie'you'xue'pian
闷炉烧饼,men'lu'shao'bing
蜜芙蓉,mi'fu'rong
蜜三刀,mi'san'dao
蜜食果,mi'shi'guo
蜜制蜂糕,mi'zhi'feng'gao
面筋萨其玛,mian'jin'sa'qi'ma
面鲜,mian'xian
闽北花生酥,min'bei'hua'sheng'su
墨子酥,mo'zi'su
奶油蛋糕,nai'you'dan'gao
奶油核桃糕,nai'you'he'tao'gao
奶油起酥排,nai'you'qi'su'pai
奶油曲奇饼,nai'you'qu'qi'bing
奶油桃式点心,nai'you'tao'shi'dian'xin
南昌麻仁香酥,nan'chang'ma'ren'xiang'su
南椒盐饼,nan'jiao'yan'bing
南康珍珠蜜枣,nan'kang'zhen'zhu'mi'zao
南宁鸡蛋糕,nan'ning'ji'dan'gao
南乳小凤饼,nan'ru'xiao'feng'bing
内蒙古自治区,nei'meng'gu'zi'zhi'qu
宁波豆酥糖,ning'bo'dou'su'tang
琵琶酥,pi'pa'su
破酥缸炉,po'su'gang'lu
葡萄仿,pu'tao'fang
棋子烧饼,qi'zi'shao'bing
千层酥,qian'ceng'su
嵌桃麻糕,qian'tao'ma'gao
犍为酥芙蓉,qian'wei'su'fu'rong
切边缸炉,qie'bian'gang'lu
清宫细点,qing'gong'xi'dian
清华斋糕点,qing'hua'zhai'gao'dian
庆兰馅饼,qing'lan'xian'bing
清真什锦细点,qing'zhen'shi'jin'xi'dian
芮城麻片,rui'cheng'ma'pian
萨其玛,sa'qi'ma
萨其玛桃,sa'qi'ma'tao
三北藕丝糖,san'bei'ou'si'tang
三果酥,san'guo'su
三角火烧,san'jiao'huo'shao
三鲜莲花酥,san'xian'lian'hua'su
三益永糕点,san'yi'yong'gao'dian
三原蓼花,san'yuan'liao'hua
色果子,se'guo'zi
砂仁糕,sha'ren'gao
山东省,shan'dong'sheng
陕西省,shan'xi'sheng
山西省,shan'xi'sheng
山药点心,shan'yao'dian'xin
上海市,shang'hai'shi
上杂拌,shang'za'ban
邵阳广桃酥,shao'yang'guang'tao'su
什锦点心,shi'jin'dian'xin
什锦冬果,shi'jin'dong'guo
什锦肉糕,shi'jin'rou'gao
石狮甜果,shi'shi'tian'guo
狮子糕,shi'zi'gao
双林姑嫂饼,shuang'lin'gu'sao'bing
双酥饼,shuang'su'bing
水晶饼,shui'jing'bing
四川省,si'chuan'sheng
松风,song'feng
松糕,song'gao
素锅盔,su'guo'kui
酥合和羊角蜜,su'he'he'yang'jiao'mi
酥盒子,su'he'zi
苏式百果月饼,su'shi'bai'guo'yue'bing
苏式清水玫瑰月饼,su'shi'qing'shui'mei'gui'yue'bing
宿松雪枣,su'song'xue'zao
泰安煎饼,tai'an'jian'bing
苔菜千层酥,tai'cai'qian'ceng'su
苔菜油占子,tai'cai'you'zhan'zi
太谷饼,tai'gu'bing
太史饼,tai'shi'bing
台湾省,tai'wan'sheng
太阳饼,tai'yang'bing
太原桃酥和主食白面包,tai'yuan'tao'su'he'zhu'shi'bai'mian'bao
糖花蛋糕,tang'hua'dan'gao
糖舌饼,tang'she'bing
糖酥煎饼,tang'su'jian'bing
陶陶居上月,tao'tao'ju'shang'yue
特加饼,te'jia'bing
提浆月饼,ti'jiang'yue'bing
提浆月饼和五仁月饼,ti'jiang'yue'bing'he'wu'ren'yue'bing
天津宫饼,tian'jin'gong'bing
天津市,tian'jin'shi
土沱麻饼,tu'tuo'ma'bing
味精香糕,wei'jing'xiang'gao
渭南水晶饼,wei'nan'shui'jing'bing
威宁荞酥,wei'ning'qiao'su
煨牛肉月饼,wei'niu'rou'yue'bing
闻喜煮饼,wen'xi'zhu'bing
五仁酥,wu'ren'su
五香酥饼,wu'xiang'su'bing
伍佑糖麻花,wu'you'tang'ma'hua
武则天茶食,wu'ze'tian'cha'shi
梧州月饼,wu'zhou'yue'bing
喜庆花糕,xi'qing'hua'gao
西亭脆饼,xi'ting'cui'bing
虾仁酥,xia'ren'su
鲜饼,xian'bing
鲜花饼,xian'hua'bing
鲜花藤萝饼,xian'hua'teng'luo'bing
咸宁桂花糕,xian'ning'gui'hua'gao
咸真酥,xian'zhen'su
香草蛋糕,xiang'cao'dan'gao
湘式酥点,xiang'shi'su'dian
小凤饼,xiao'feng'bing
孝感麻糖,xiao'gan'ma'tang
小红头,xiao'hong'tou
小桃酥,xiao'tao'su
协盛隆萨其玛,xie'sheng'long'sa'qi'ma
新东阳月饼,xin'dong'yang'yue'bing
新都桂花糕,xin'du'gui'hua'gao
忻县瓦酥,xin'xian'wa'su
杏花楼广式月饼,xing'hua'lou'guang'shi'yue'bing
杏仁饼,xing'ren'bing
秀山雪枣,xiu'shan'xue'zao
