巴旦杏,ba'dan'xing
白果,bai'guo
板栗,ban'li
荸荠,bi'qi
槟榔子,bing'lang'zi
菠萝,bo'luo
菠萝蜜,bo'luo'mi
草莓,cao'mei
橙,cheng
橙子,cheng'zi
醋粟,cu'su
袋装水果,dai'zhuang'shui'guo
砀山梨,dang'shan'li
鳄梨,e'li
番石榴,fan'shi'liu
凤梨,feng'li
覆盆子,fu'pen'zi
干果,gan'guo
柑桔,gan'ju
柑桔皮,gan'ju'pi
橄榄,gan'lan
干梅子,gan'mei'zi
拐枣,guai'zao
罐头水果,guan'tou'shui'guo
桂圆,gui'yuan
果肉,guo'rou
哈密瓜,ha'mi'gua
海棠果,hai'tang'guo
呵呵,he'he
核桃仁,he'tao'ren
黑莓,hei'mei
黑樱桃,hei'ying'tao
红橙,hong'cheng
红醋栗,hong'cu'li
胡桃,hu'tao
花生,hua'sheng
火龙果,huo'long'guo
坚果,jian'guo
坚果壳,jian'guo'ke
坚果仁,jian'guo'ren
坚硬,jian'ying
金桔,jin'jie
橘子,ju'zi
可可果,ke'ke'guo
烂果,lan'guo
梨,li
李杏,li'xing
荔枝,li'zhi
荔枝皮,li'zhi'pi
李子,li'zi
栗子,li'zi
梨子,li'zi
廉价,lian'jia
榴梿,liu'lian
绿苹果,lv'ping'guo
麦金托什红苹果,mai'jin'tuo'shi'hong'ping'guo
芒果,mang'guo
毛桃,mao'tao
美国香瓜,mei'guo'xiang'gua
弥猴桃,mi'hou'tao
木瓜,mu'gua
柠檬,ning'meng
欧查果,ou'cha'guo
蟠桃,pan'tao
枇杷,pi'pa
苹果,ping'guo
苹果核,ping'guo'he
苹果皮,ping'guo'pi
苹果汁,ping'guo'zhi
葡萄,pu'tao
葡萄干,pu'tao'gan
葡萄皮,pu'tao'pi
葡萄柚,pu'tao'you
葡萄汁,pu'tao'zhi
脐橙,qi'cheng
奇异果弥猴桃,qi'yi'guo'mi'hou'tao
青梅,qing'mei
仁,ren
肉质果,rou'zhi'guo
桑椹,sang'shen
沙枣,sha'zao
山核桃,shan'he'tao
山毛榉坚果,shan'mao'ju'jian'guo
山霉,shan'mei
山楂,shan'zha
山楂果,shan'zha'guo
石榴,shi'liu
柿子,shi'zi
水果,shui'guo
水果刀,shui'guo'dao
水果商,shui'guo'shang
粟子,su'zi
酸橙,suan'cheng
酸莓,suan'mei
桃,tao
桃子,tao'zi
乌饭果,wu'fan'guo
无核桔,wu'he'ju
无核小葡萄,wu'he'xiao'pu'tao
无花果,wu'hua'guo
西瓜,xi'gua
西洋李子,xi'yang'li'zi
鲜荔枝,xian'li'zhi
仙人掌果,xian'ren'zhang'guo
香瓜,xiang'gua
香蕉,xiang'jiao
香蕉皮,xiang'jiao'pi
新鲜,xin'xian
杏,xing
杏核,xing'he
杏仁,xing'ren
杏肉,xing'rou
杏子,xing'zi
杨梅,yang'mei
杨桃,yang'tao
椰奶,ye'nai
椰枣,ye'zao
椰子,ye'zi
椰子汁,ye'zi'zhi
樱桃,ying'tao
樱桃肉,ying'tao'rou
油葵,you'kui
油桃,you'tao
柚子,you'zi
越蔓橘,yue'man'ju
枣核,zao'he
枣子,zao'zi
榛子,zhen'zi
