埃尔米特变换,ai'er'mi'te'bian'huan
埃尔米特对称矩阵,ai'er'mi'te'dui'chen'ju'zhen
埃尔米特对称型,ai'er'mi'te'dui'chen'xing
埃尔米特对称,ai'er'mi'te'dui'cheng
按行按列展开,an'xing'an'lie'zhan'kai
半负定的,ban'fu'ding'de
伴随矩阵,ban'sui'ju'zhen
伴随映射,ban'sui'ying'she
半线性,ban'xian'xing
半正定的,ban'zheng'ding'de
保距同构,bao'ju'tong'gou
保距映射,bao'ju'ying'she
倍法变换,bei'fa'bian'huan
倍法矩阵,bei'fa'ju'zhen
倍式,bei'shi
本原单位根,ben'yuan'dan'wei'gen
变换,bian'huan
变换矩阵,bian'huan'ju'zhen
变换群,bian'huan'qun
标准分解式,biao'zhun'fen'jie'shi
标准基底,biao'zhun'ji'di
标准正交基,biao'zhun'zheng'jiao'ji
标准正交组,biao'zhun'zheng'jiao'zu
不变因子组,bu'bian'yin'zi'zu
不变子空间,bu'bian'zi'kong'jian
不定的,bu'ding'de
不定元,bu'ding'yuan
不可约,bu'ke'yue
补子空间,bu'zi'kong'jian
参数方程,can'shu'fang'cheng
尺码,chi'ma
重根,chong'gen
初等变换,chu'deng'bian'huan
初等反射矩阵,chu'deng'fan'she'ju'zhen
初等矩阵,chu'deng'ju'zhen
初等列变换,chu'deng'lie'bian'huan
初等行变换,chu'deng'xing'bian'huan
初等旋转矩阵,chu'deng'xuan'zhuan'ju'zhen
初等因子组,chu'deng'yin'zi'zu
除环,chu'huan
纯量变换,chun'liang'bian'huan
纯量积,chun'liang'ji
纯量矩阵,chun'liang'ju'zhen
次数,ci'shu
次数公式,ci'shu'gong'shi
代数重数,dai'shu'chong'shu
代数基本定理,dai'shu'ji'ben'ding'li
代数系统,dai'shu'xi'tong
代数余子式,dai'shu'yu'zi'shi
单根,dan'gen
单射,dan'she
单同态,dan'tong'tai
单位,dan'wei
单位根,dan'wei'gen
单位矩阵,dan'wei'ju'zhen
单位理想,dan'wei'li'xiang
单位向量,dan'wei'xiang'liang
单位正法向量,dan'wei'zheng'fa'xiang'liang
等价标准形,deng'jia'biao'zhun'xing
等价不变量,deng'jia'bu'bian'liang
等价类,deng'jia'lei
典型埃尔米特内积,dian'xing'ai'er'mi'te'nei'ji
典型基矩阵,dian'xing'ji'ju'zhen
典型内积,dian'xing'nei'ji
定比分点,ding'bi'fen'dian
顶点,ding'dian
对称变换,dui'chen'bian'huan
对称的,dui'chen'de
对称矩阵,dui'chen'ju'zhen
对换矩阵,dui'huan'ju'zhen
对角行列式,dui'jiao'hang'lie'shi
对角矩阵,dui'jiao'ju'zhen
对偶空间,dui'ou'kong'jian
对偶命题,dui'ou'ming'ti
对偶射影平面,dui'ou'she'ying'ping'mian
对偶图形,dui'ou'tu'xing
对偶原理,dui'ou'yuan'li
对应齐次线性方程组,dui'ying'qi'ci'xian'xing'fang'cheng'zu
多重线性,duo'chong'xian'xing
多项式环,duo'xiang'shi'huan
多项式矩阵,duo'xiang'shi'ju'zhen
二重外积公式,er'chong'wai'ji'gong'shi
二次齐式,er'ci'qi'shi
二次曲面,er'ci'qu'mian
二次曲线,er'ci'qu'xian
二次型,er'ci'xing
二次型的标准型,er'ci'xing'de'biao'zhun'xing
二次型的秩,er'ci'xing'de'zhi
二次锥面,er'ci'zhui'mian
法方向角,fa'fang'xiang'jiao
法方向数,fa'fang'xiang'shu
法距,fa'ju
法线,fa'xian
法线式方程,fa'xian'shi'fang'cheng
法向量,fa'xiang'liang
范德蒙德行列式,fan'de'meng'de'hang'lie'shi
反对称矩阵,fan'dui'chen'ju'zhen
反射矩阵,fan'she'ju'zhen
范数,fan'shu
仿射变换群,fang'she'bian'huan'qun
仿射几何,fang'she'ji'he
仿射子空间,fang'she'zi'kong'jian
仿射坐标系,fang'she'zuo'biao'xi
方向角,fang'xiang'jiao
方向数,fang'xiang'shu
方向向量,fang'xiang'xiang'liang
方向余弦,fang'xiang'yu'xian
方阵,fang'zhen
非齐次线性方程组,fei'qi'ci'xian'xing'fang'cheng'zu
非退化二次型,fei'tui'hua'er'ci'xing
非退化矩阵,fei'tui'hua'ju'zhen
分量,fen'liang
负定的,fu'ding'de
负惯性指数,fu'guan'xing'zhi'shu
复矩阵,fu'ju'zhen
复数域,fu'shu'yu
复向量空间,fu'xiang'liang'kong'jian
高斯消去法,gao'si'xiao'qu'fa
高斯引理,gao'si'yin'li
高斯整数环,gao'si'zheng'shu'huan
格拉姆矩阵,ge'la'mu'ju'zhen
共轭映射,gong'e'ying'she
共面,gong'mian
共线,gong'xian
公因式,gong'yin'shi
关联,guan'lian
惯性定理,guan'xing'ding'li
广义逆,guang'yi'ni
广义逆定理,guang'yi'ni'ding'li
过渡矩阵,guo'du'ju'zhen
行列式,hang'lie'shi
行列式因子,hang'lie'shi'yin'zi
行秩,hang'zhi
合同,he'tong
合同变换,he'tong'bian'huan
合同标准型,he'tong'biao'zhun'xing
和子空间,he'zi'kong'jian
恒等变换,heng'deng'bian'huan
恒等自同构,heng'deng'zi'tong'gou
互素,hu'su
环同态,huan'tong'tai
混合积,hun'he'ji
基础解系,ji'chu'jie'xi
极大线性无关集,ji'da'xian'xing'wu'guan'ji
极大线性无关组,ji'da'xian'xing'wu'guan'zu
基底,ji'di
几何重数,ji'he'chong'shu
基数,ji'shu
极小多项式,ji'xiao'duo'xiang'shi
极小生成集,ji'xiao'sheng'cheng'ji
夹角,jia'jiao
渐近锥面,jian'jin'zhui'mian
降秩矩阵,jiang'zhi'ju'zhen
交错性,jiao'cuo'xing
交换环,jiao'huan'huan
交换群,jiao'huan'qun
解空间,jie'kong'jian
阶梯矩阵,jie'ti'ju'zhen
解向量,jie'xiang'liang
解子空间,jie'zi'kong'jian
镜面反射,jing'mian'fan'she
距离,ju'li
矩阵,ju'zhen
矩阵乘法,ju'zhen'cheng'fa
矩阵的型,ju'zhen'de'xing
矩阵的秩,ju'zhen'de'zhi
矩阵多项式,ju'zhen'duo'xiang'shi
矩阵分块运算,ju'zhen'fen'kuai'yun'suan
矩阵减法,ju'zhen'jian'fa
可对角化,ke'dui'jiao'hua
克拉默定理,ke'la'mo'ding'li
克隆涅克尔符号,ke'long'nie'ke'er'fu'hao
可逆矩阵,ke'ni'ju'zhen
