庵杰村,an'jie'cun
庵杰乡,an'jie'xiang
庵杰乡庵杰村,an'jie'xiang'an'jie'cun
庵杰乡涵前村,an'jie'xiang'han'qian'cun
庵杰乡黄坑村,an'jie'xiang'huang'keng'cun
庵杰乡上赤村,an'jie'xiang'shang'chi'cun
庵杰乡长科村,an'jie'xiang'zhang'ke'cun
安仁村,an'ren'cun
坝尾村,ba'wei'cun
百坪村,bai'ping'cun
白头村,bai'tou'cun
百丈村,bai'zhang'cun
半坑村,ban'keng'cun
北极楼,bei'ji'lou
扁岭村,bian'ling'cun
别哩村,bie'li'cun
伯湖村,bo'hu'cun
礤头村,ca'tou'cun
蔡坊村,cai'fang'cun
蔡屋村,cai'wu'cun
草坪村,cao'ping'cun
策田村,ce'tian'cun
策武镇,ce'wu'zhen
策武镇策田村,ce'wu'zhen'ce'tian'cun
策武镇策星村,ce'wu'zhen'ce'xing'cun
策武镇陈坊村,ce'wu'zhen'chen'fang'cun
策武镇当坑村,ce'wu'zhen'dang'keng'cun
策武镇德联村,ce'wu'zhen'de'lian'cun
策武镇高田村,ce'wu'zhen'gao'tian'cun
策武镇河梁村,ce'wu'zhen'he'liang'cun
策武镇红江村,ce'wu'zhen'hong'jiang'cun
策武镇红江村河背,ce'wu'zhen'hong'jiang'cun'he'bei
策武镇红江村下江西片,ce'wu'zhen'hong'jiang'cun'xia'jiang'xi'pian
策武镇黄馆村,ce'wu'zhen'huang'guan'cun
策武镇李城村,ce'wu'zhen'li'cheng'cun
策武镇李田村,ce'wu'zhen'li'tian'cun
策武镇林田村,ce'wu'zhen'lin'tian'cun
策武镇南坑村,ce'wu'zhen'nan'keng'cun
策武镇南溪村,ce'wu'zhen'nan'xi'cun
策星村,ce'xing'cun
曾坊村,ceng'fang'cun
长坝村,chang'ba'cun
长春村,chang'chun'cun
长段村,chang'duan'cun
长科村,chang'ke'cun
长窠头村,chang'ke'tou'cun
长兰村,chang'lan'cun
长桥村,chang'qiao'cun
长汀县策武镇,chang'ting'xian'ce'wu'zhen
长汀县策武镇红江村,chang'ting'xian'ce'wu'zhen'hong'jiang'cun
长巫村,chang'wu'cun
朝斗岩,chao'dou'yan
车僚村,che'liao'cun
陈坊村,chen'fang'cun
晨光村,chen'guang'cun
陈莲村,chen'lian'cun
陈屋村,chen'wu'cun
塍背村,cheng'bei'cun
赤坑村,chi'keng'cun
赤土村,chi'tu'cun
慈坑村,ci'keng'cun
翠峰村,cui'feng'cun
大埔村,da'bu'cun
大坑村,da'keng'cun
大坪村,da'ping'cun
大田村,da'tian'cun
大同镇,da'tong'zhen
大同镇草坪村,da'tong'zhen'cao'ping'cun
大同镇翠峰村,da'tong'zhen'cui'feng'cun
大同镇东关村,da'tong'zhen'dong'guan'cun
大同镇东街村,da'tong'zhen'dong'jie'cun
大同镇东埔村,da'tong'zhen'dong'pu'cun
大同镇高坑村,da'tong'zhen'gao'keng'cun
大同镇光明村,da'tong'zhen'guang'ming'cun
大同镇红湖村,da'tong'zhen'hong'hu'cun
大同镇红卫村,da'tong'zhen'hong'wei'cun
大同镇红星村,da'tong'zhen'hong'xing'cun
大同镇黄麻畲村,da'tong'zhen'huang'ma'she'cun
大同镇黄屋村,da'tong'zhen'huang'wu'cun
大同镇计升村,da'tong'zhen'ji'sheng'cun
大同镇建明村,da'tong'zhen'jian'ming'cun
大同镇李岭村,da'tong'zhen'li'ling'cun
大同镇利星村,da'tong'zhen'li'xing'cun
大同镇罗坊村,da'tong'zhen'luo'fang'cun
大同镇南里村,da'tong'zhen'nan'li'cun
大同镇南寨村,da'tong'zhen'nan'zhai'cun
大同镇七古村,da'tong'zhen'qi'gu'cun
大同镇七里村,da'tong'zhen'qi'li'cun
大同镇荣丰村,da'tong'zhen'rong'feng'cun
大同镇师福村,da'tong'zhen'shi'fu'cun
大同镇天邻村,da'tong'zhen'tian'lin'cun
大同镇新峰村,da'tong'zhen'xin'feng'cun
大同镇新民村,da'tong'zhen'xin'min'cun
大同镇新庄村,da'tong'zhen'xin'zhuang'cun
大同镇印黄村,da'tong'zhen'yin'huang'cun
大同镇郑坊村,da'tong'zhen'zheng'fang'cun
大同镇正平村,da'tong'zhen'zheng'ping'cun
戴坊村,dai'fang'cun
当坑村,dang'keng'cun
德联村,de'lian'cun
邓坊村,deng'fang'cun
丁黄村,ding'huang'cun
东关村,dong'guan'cun
东华山,dong'hua'shan
东街村,dong'jie'cun
东门社区,dong'men'she'qu
东埔村,dong'pu'cun
东山村,dong'shan'cun
东庄村,dong'zhuang'cun
段上村,duan'shang'cun
对畔村,dui'pan'cun
丰口村,feng'kou'cun
福建省龙岩市长汀县,fu'jian'sheng'long'yan'shi'chang'ting'xian
复兴村,fu'xing'cun
岗头村,gang'tou'cun
高坑村,gao'keng'cun
高田村,gao'tian'cun
葛坪村,ge'ping'cun
根溪村,gen'xi'cun
古城村,gu'cheng'cun
古城镇,gu'cheng'zhen
古城镇长段村,gu'cheng'zhen'chang'duan'cun
古城镇丁黄村,gu'cheng'zhen'ding'huang'cun
古城镇古城村,gu'cheng'zhen'gu'cheng'cun
古城镇黄泥坪村,gu'cheng'zhen'huang'ni'ping'cun
古城镇黄陂村,gu'cheng'zhen'huang'pi'cun
古城镇井头村,gu'cheng'zhen'jing'tou'cun
古城镇苦竹村,gu'cheng'zhen'ku'zhu'cun
古城镇梁坑村,gu'cheng'zhen'liang'keng'cun
古城镇溜下村,gu'cheng'zhen'liu'xia'cun
古城镇马头山村,gu'cheng'zhen'ma'tou'shan'cun
古城镇南岩村,gu'cheng'zhen'nan'yan'cun
古城镇青山村,gu'cheng'zhen'qing'shan'cun
古城镇下增村,gu'cheng'zhen'xia'zeng'cun
古城镇杨梅溪村,gu'cheng'zhen'yang'mei'xi'cun
古城镇元坑村,gu'cheng'zhen'yuan'keng'cun
古城镇元口村,gu'cheng'zhen'yuan'kou'cun
古城镇中都村,gu'cheng'zhen'zhong'du'cun
官坊村,guan'fang'cun
官坑村,guan'keng'cun
馆前镇,guan'qian'zhen
馆前镇陈莲村,guan'qian'zhen'chen'lian'cun
馆前镇赤坑村,guan'qian'zhen'chi'keng'cun
馆前镇东庄村,guan'qian'zhen'dong'zhuang'cun
馆前镇复兴村,guan'qian'zhen'fu'xing'cun
馆前镇黄湖村,guan'qian'zhen'huang'hu'cun
馆前镇马坪村,guan'qian'zhen'ma'ping'cun
馆前镇南材村,guan'qian'zhen'nan'cai'cun
馆前镇坪埔村,guan'qian'zhen'ping'pu'cun
馆前镇珊坑村,guan'qian'zhen'shan'keng'cun
馆前镇汀东村,guan'qian'zhen'ting'dong'cun
馆前镇小洋村,guan'qian'zhen'xiao'yang'cun
馆前镇严坊村,guan'qian'zhen'yan'fang'cun
馆前镇义家村,guan'qian'zhen'yi'jia'cun
馆前镇云峰村,guan'qian'zhen'yun'feng'cun
光明村,guang'ming'cun
圭田村,gui'tian'cun
寒坊村,han'fang'cun
涵前村,han'qian'cun
河背,he'bei
河东村,he'dong'cun
河甫村,he'fu'cun
河梁村,he'liang'cun
禾生村,he'sheng'cun
河田农场,he'tian'nong'chang
河田镇,he'tian'zhen
河田镇半坑村,he'tian'zhen'ban'keng'cun
河田镇伯湖村,he'tian'zhen'bo'hu'cun
河田镇蔡坊村,he'tian'zhen'cai'fang'cun
河田镇车僚村,he'tian'zhen'che'liao'cun
河田镇晨光村,he'tian'zhen'chen'guang'cun
河田镇根溪村,he'tian'zhen'gen'xi'cun
河田镇寒坊村,he'tian'zhen'han'fang'cun
河田镇红中村,he'tian'zhen'hong'zhong'cun
河田镇黄坑村,he'tian'zhen'huang'keng'cun
河田镇迳背村,he'tian'zhen'jing'bei'cun
河田镇刘源村,he'tian'zhen'liu'yuan'cun
河田镇露湖村,he'tian'zhen'lu'hu'cun
河田镇芦竹村,he'tian'zhen'lu'zhu'cun
河田镇罗地村,he'tian'zhen'luo'di'cun
河田镇马坑村,he'tian'zhen'ma'keng'cun
河田镇明光村,he'tian'zhen'ming'guang'cun
河田镇南段村,he'tian'zhen'nan'duan'cun
河田镇南山下村,he'tian'zhen'nan'shan'xia'cun
河田镇南塘村,he'tian'zhen'nan'tang'cun
河田镇潘屋村,he'tian'zhen'pan'wu'cun
河田镇上街村,he'tian'zhen'shang'jie'cun
河田镇上修村,he'tian'zhen'shang'xiu'cun
河田镇松林村,he'tian'zhen'song'lin'cun
河田镇下街村,he'tian'zhen'xia'jie'cun
河田镇下修村,he'tian'zhen'xia'xiu'cun
河田镇窑下村,he'tian'zhen'yao'xia'cun
河田镇游坊村,he'tian'zhen'you'fang'cun
河田镇余地村,he'tian'zhen'yu'di'cun
河田镇中坊村,he'tian'zhen'zhong'fang'cun
河田镇中街村,he'tian'zhen'zhong'jie'cun
河田镇朱溪村,he'tian'zhen'zhu'xi'cun
横坑村,heng'keng'cun
横田村,heng'tian'cun
