按钮面板,an'niu'mian'ban
按钮站,an'niu'zhan
摆碾机,bai'nian'ji
半螺母,ban'luo'mu
板式冷却器,ban'shi'leng'que'qi
包装箱,bao'zhuang'xiang
本体,ben'ti
泵固定座,beng'gu'ding'zuo
泵架,beng'jia
泵架上端盖,beng'jia'shang'duan'gai
泵架上盖板,beng'jia'shang'gai'ban
泵架下端盖,beng'jia'xia'duan'gai
泵组支架,beng'zu'zhi'jia
边框,bian'kuang
编码器座底板,bian'ma'qi'zuo'di'ban
编码器座立板,bian'ma'qi'zuo'li'ban
编码器座上板,bian'ma'qi'zuo'shang'ban
编码器座中板,bian'ma'qi'zuo'zhong'ban
标牌,biao'pai
侧缸,ce'gang
侧滑块,ce'hua'kuai
插齿,cha'chi
插销座,cha'xiao'zuo
车床,che'chuang
齿轮,chi'lun
齿轮箱,chi'lun'xiang
齿轮箱盖板,chi'lun'xiang'gai'ban
冲头连接件,chong'tou'lian'jie'jian
充液阀法兰,chong'ye'fa'fa'lan
充液筒,chong'ye'tong
充液系统,chong'ye'xi'tong
充液箱,chong'ye'xiang
初滚旋轮,chu'gun'xuan'lun
初旋轮,chu'xuan'lun
淬火,cui'huo
大阀杆,da'fa'gan
大法兰,da'fa'lan
大阀芯,da'fa'xin
大阀座,da'fa'zuo
打磨,da'mo
大锁母,da'suo'mu
大销,da'xiao
单动薄板拉伸液压机,dan'dong'bao'ban'la'shen'ye'ya'ji
单柱液压机,dan'zhu'ye'ya'ji
档端架,dang'duan'jia
档铁,dang'tie
档位轴,dang'wei'zhou
档销,dang'xiao
导杆,dao'gan
导轨板,dao'gui'ban
导轨架,dao'gui'jia
导轨调整版,dao'gui'tiao'zheng'ban
导轨座,dao'gui'zuo
导套,dao'tao
导向块,dao'xiang'kuai
导向套,dao'xiang'tao
导柱,dao'zhu
灯笼壳,deng'long'ke
底板,di'ban
地基图,di'ji'tu
地脚螺栓,di'jiao'luo'shuan
低压法兰,di'ya'fa'lan
垫板,dian'ban
电机底座,dian'ji'di'zuo
电机连接座,dian'ji'lian'jie'zuo
电机输出齿轮,dian'ji'shu'chu'chi'lun
电机轴垫,dian'ji'zhou'dian
垫块,dian'kuai
垫片,dian'pian
电器柜,dian'qi'gui
电气系统,dian'qi'xi'tong
电器箱,dian'qi'xiang
蝶阀,die'fa
蝶阀法兰,die'fa'fa'lan
