沉檀龙麝,chen'tan'long'she
倒架,dao'jia
富森,fu'sen
惠安系,hui'an'xi
活沉,huo'chen
名木香释,ming'mu'xiang'shi
名香小姐,ming'xiang'xiao'jie
内伤树脂沟,nei'shang'shu'zhi'gou
朴木名香,pu'mu'ming'xiang
朴木先生,pu'mu'xian'sheng
生结,sheng'jie
熟结,shu'jie
水沉香,shui'chen'xiang
土沉,tu'chen
星洲系,xing'zhou'xi
芽庄,ya'zhuang
蚁沉,yi'chen
越南红土,yue'nan'hong'tu
