八公里,ba'gong'li
碧津,bi'jin
长福路,chang'fu'lu
陈家桥,chen'jia'qiao
重庆北站,chong'qing'bei'zhan
磁器口,ci'qi'kou
翠云,cui'yun
大渡口,da'du'kou
大龙山,da'long'shan
大坪,da'ping
大山村,da'shan'cun
大溪沟,da'xi'gou
大学城,da'xue'cheng
大堰,da'yan
大竹林,da'zhu'lin
动物园,dong'wu'yuan
朵力名都,duo'li'ming'du
鹅岭,e'ling
二塘,er'tang
佛图关,fo'tu'guan
高庙村,gao'miao'cun
工贸,gong'mao
观音桥,guan'yin'qiao
光电园,guang'dian'yuan
红旗河沟,hong'qi'he'gou
红土地,hong'tu'di
花卉园,hua'hui'yuan
华新街,hua'xin'jie
黄花园,huang'hua'yuan
黄泥塝,huang'ni'bang
回兴,hui'xing
嘉州,jia'zhou
江北机场,jiang'bei'ji'chang
较场口,jiao'chang'kou
金童路,jin'tong'lu
金渝,jin'yu
九公里,jiu'gong'li
康庄,kang'zhuang
赖家桥,lai'jia'qiao
礼嘉,li'jia
李子坝,li'zi'ba
两路口,liang'lu'kou
烈士墓,lie'shi'mu
临江门,lin'jiang'men
六公里,liu'gong'li
龙头寺,long'tou'si
南坪,nan'ping
牛角沱,niu'jiao'tuo
平安,ping'an
麒龙站,qi'long'zhan
七星岗,qi'xing'gang
沙坪坝,sha'ping'ba
石桥铺,shi'qiao'pu
石油路,shi'you'lu
狮子坪,shi'zi'ping
双碑,shuang'bei
双龙,shuang'long
四公里,si'gong'li
唐家院子,tang'jia'yuan'zi
童家院子,tong'jia'yuan'zi
铜元局,tong'yuan'ju
微电园,wei'dian'yuan
五公里,wu'gong'li
五里店,wu'li'dian
小龙坎,xiao'long'kan
小什字,xiao'shen'zi
谢家湾,xie'jia'wan
歇台子,xie'tai'zi
新山村,xin'shan'cun
学堂湾,xue'tang'wan
杨公桥,yang'gong'qiao
杨家坪,yang'jia'ping
鱼洞,yu'dong
鱼胡路,yu'hu'lu
园博园,yuan'bo'yuan
袁家岗,yuan'jia'gang
鸳鸯,yuan'yang
曾家岩,zeng'jia'yan
郑家院子,zheng'jia'yuan'zi
